X,Y,Z,formation,section
1,0,-263,topo,sectiona
99,0,-264,topo,sectiona
232,0,-259,topo,sectiona
398,0,-235,topo,sectiona
582,0,-177,topo,sectiona
667,0,-94,topo,sectiona
766,0,0,topo,sectiona
811,0,-14,topo,sectiona
911,0,-82,topo,sectiona
972,0,-130,topo,sectiona
1064,0,-57,topo,sectiona
1203,0,-53,topo,sectiona
1361,0,-68,topo,sectiona
1428,0,-74,topo,sectiona
1535,0,-149,topo,sectiona
1572,0,-133,topo,sectiona
1726,0,-112,topo,sectiona
1930,0,-120,topo,sectiona
2121,0,-109,topo,sectiona
1595,0,-117,lowercenomonian,sectiona
1615,0,-126,lowercenomonian,sectiona
1665,0,-139,lowercenomonian,sectiona
1733,0,-151,lowercenomonian,sectiona
1793,0,-154,lowercenomonian,sectiona
1840,0,-154,lowercenomonian,sectiona
1886,0,-154,lowercenomonian,sectiona
1926,0,-143,lowercenomonian,sectiona
2009,0,-132,lowercenomonian,sectiona
2056,0,-126,lowercenomonian,sectiona
2124,0,-114,lowercenomonian,sectiona
1010,0,-45,upperliassic,sectiona
1057,0,-75,upperliassic,sectiona
1113,0,-79,upperliassic,sectiona
1142,0,-89,upperliassic,sectiona
1210,0,-96,upperliassic,sectiona
1302,0,-97,upperliassic,sectiona
1367,0,-98,upperliassic,sectiona
1443,0,-111,upperliassic,sectiona
1479,0,-111,upperliassic,sectiona
1495,0,-111,upperliassic,sectiona
1515,0,-118,upperliassic,sectiona
1526,0,-139,upperliassic,sectiona
1543,0,-162,upperliassic,sectiona
1589,0,-184,upperliassic,sectiona
1642,0,-206,upperliassic,sectiona
1705,0,-218,upperliassic,sectiona
1757,0,-222,upperliassic,sectiona
1800,0,-222,upperliassic,sectiona
1846,0,-221,upperliassic,sectiona
1915,0,-205,upperliassic,sectiona
1974,0,-196,upperliassic,sectiona
2044,0,-187,upperliassic,sectiona
859,0,-43,middleliassic,sectiona
883,0,-65,middleliassic,sectiona
895,0,-85,middleliassic,sectiona
923,0,-114,middleliassic,sectiona
961,0,-140,middleliassic,sectiona
1033,0,-178,middleliassic,sectiona
1106,0,-199,middleliassic,sectiona
1197,0,-206,middleliassic,sectiona
1286,0,-203,middleliassic,sectiona
1356,0,-199,middleliassic,sectiona
1440,0,-217,middleliassic,sectiona
1517,0,-240,middleliassic,sectiona
1595,0,-273,middleliassic,sectiona
1677,0,-305,middleliassic,sectiona
1758,0,-309,middleliassic,sectiona
1856,0,-310,middleliassic,sectiona
1919,0,-303,middleliassic,sectiona
1981,0,-278,middleliassic,sectiona
2040,0,-264,middleliassic,sectiona
2095,0,-255,middleliassic,sectiona
629,0,-118,lowerliassic,sectiona
650,0,-144,lowerliassic,sectiona
697,0,-177,lowerliassic,sectiona
740,0,-211,lowerliassic,sectiona
805,0,-234,lowerliassic,sectiona
922,0,-280,lowerliassic,sectiona
1037,0,-321,lowerliassic,sectiona
1167,0,-344,lowerliassic,sectiona
1298,0,-339,lowerliassic,sectiona
1393,0,-343,lowerliassic,sectiona
1481,0,-377,lowerliassic,sectiona
1630,0,-417,lowerliassic,sectiona
