X,Y,Z,dip,azimuth,polarity,formation,section
1,0,-263,0,90,1,topo,sectiona
232,0,-259,0,90,1,topo,sectiona
582,0,-177,-20,90,1,topo,sectiona
766,0,0,10,90,1,topo,sectiona
911,0,-82,20,90,1,topo,sectiona
1064,0,-57,-20,90,1,topo,sectiona
1361,0,-68,10,90,1,topo,sectiona
1535,0,-149,0,90,1,topo,sectiona
1726,0,-112,0,90,1,topo,sectiona
2121,0,-109,0,90,1,topo,sectiona
1595,0,-117,30,90,1,lowercenomonian,sectiona
1665,0,-139,30,90,1,lowercenomonian,sectiona
1793,0,-154,-10,90,1,lowercenomonian,sectiona
1886,0,-154,-10,90,1,lowercenomonian,sectiona
2009,0,-132,-10,90,1,lowercenomonian,sectiona
2124,0,-114,-10,90,1,lowercenomonian,sectiona

1010,0,-45,10,90,4,upperliassic,sectiona
1113,0,-79,10,90,4,upperliassic,sectiona
1210,0,-96,10,90,4,upperliassic,sectiona
1367,0,-98,10,90,4,upperliassic,sectiona
1479,0,-111,30,90,4,upperliassic,sectiona
1515,0,-118,30,90,2,upperliassic,sectiona
1543,0,-162,30,90,2,upperliassic,sectiona
1642,0,-206,10,90,2,upperliassic,sectiona
1757,0,-222,0,90,2,upperliassic,sectiona
1846,0,-221,-10,90,2,upperliassic,sectiona
1974,0,-196,-10,90,2,upperliassic,sectiona
2103,0,-171,-10,90,2,upperliassic,sectiona
859,0,-43,30,90,1,middleliassic,sectiona
895,0,-85,30,90,1,middleliassic,sectiona
961,0,-140,30,90,1,middleliassic,sectiona
1106,0,-199,10,90,1,middleliassic,sectiona
1286,0,-203,0,90,1,middleliassic,sectiona
1440,0,-217,20,90,1,middleliassic,sectiona
1595,0,-273,0,90,1,middleliassic,sectiona
1758,0,-309,10,90,1,middleliassic,sectiona
1919,0,-303,-10,90,1,middleliassic,sectiona
2040,0,-264,-10,90,1,middleliassic,sectiona
2095,0,-255,-10,90,1,middleliassic,sectiona
629,0,-118,30,90,1,lowerliassic,sectiona
697,0,-177,30,90,1,lowerliassic,sectiona
805,0,-234,30,90,1,lowerliassic,sectiona
1037,0,-321,30,90,1,lowerliassic,sectiona
1298,0,-339,30,90,1,lowerliassic,sectiona
1481,0,-377,30,90,1,lowerliassic,sectiona
1823,0,-431,30,90,1,lowerliassic,sectiona
2096,0,-388,30,90,1,lowerliassic,sectiona
257,0,-237,30,90,1,permiantriassic,sectiona
379,0,-260,30,90,1,permiantriassic,sectiona
470,0,-283,30,90,1,permiantriassic,sectiona
527,0,-335,30,90,1,permiantriassic,sectiona
760,0,-421,30,90,1,permiantriassic,sectiona
1129,0,-453,30,90,1,permiantriassic,sectiona
0,0,-322,180,90,1,lowererosion,sectiona
482,0,-325,180,90,1,lowererosion,sectiona
745,0,-207,150,90,1,lowererosion,sectiona
960,0,-160,190,90,1,lowererosion,sectiona
1047,0,-177,200,90,1,lowererosion,sectiona
1393,0,-205,190,90,1,lowererosion,sectiona
1807,0,-322,180,90,1,lowererosion,sectiona
2101,0,-246,150,90,1,lowererosion,sectiona
1.0033,1500,-253.1725,0,90,1,topo,sectionb
171.5643,1500,-244.9615,0,90,1,topo,sectionb
363.1946,1500,-83.4785,0,90,1,topo,sectionb
477.5708,1500,-27.37,0,90,1,topo,sectionb
614.0196,1500,-114.954,0,90,1,topo,sectionb
736.4222,1500,-119.0595,0,90,1,topo,sectionb
856.8182,1500,-147.798,0,90,1,topo,sectionb
1010.3231,1500,-116.3225,0,90,1,topo,sectionb
1292.2504,1500,-119.0595,0,90,1,topo,sectionb
1519.9995,1500,-146.4295,0,90,1,topo,sectionb
1705.61,1500,-143.6925,0,90,1,topo,sectionb
1948.4086,1500,-110.8485,0,90,1,topo,sectionb
2123.9861,1500,-88.9525,0,90,1,topo,sectionb
1259.1415,1500,-91.6895,30,90,1,lowercenomonian,sectionb
1463.8147,1500,-162.8515,20,90,1,lowercenomonian,sectionb
1610.2965,1500,-194.327,10,90,1,lowercenomonian,sectionb
1745.742,1500,-182.0105,10,90,1,lowercenomonian,sectionb
1855.1017,1500,-217.5915,0,90,1,lowercenomonian,sectionb
1908.2766,1500,-238.119,-10,90,1,lowercenomonian,sectionb
2027.6693,1500,-136.85,-30,90,1,lowercenomonian,sectionb
2064.7914,1500,-84.847,-30,90,1,lowercenomonian,sectionb

989.2538,1500,-123.165,30,90,1,upperliassic,sectionb
1066.5079,1500,-171.0625,20,90,1,upperliassic,sectionb
1163.828,1500,-191.59,10,90,1,upperliassic,sectionb
1248.1052,1500,-168.3255,0,90,1,upperliassic,sectionb
1309.3065,1500,-179.2735,-10,90,1,upperliassic,sectionb
1375.5243,1500,-201.1695,10,90,1,upperliassic,sectionb
1461.8081,1500,-231.2765,10,90,1,upperliassic,sectionb
1560.1315,1500,-269.5945,10,90,1,upperliassic,sectionb
1646.4153,1500,-287.385,-10,90,1,upperliassic,sectionb
1741.7288,1500,-273.7,0,90,1,upperliassic,sectionb
1823.9994,1500,-279.174,0,90,1,upperliassic,sectionb
1920.3162,1500,-327.0715,0,90,1,upperliassic,sectionb
2078.8376,1500,-350.336,10,90,1,upperliassic,sectionb
603.9866,1500,-83.4785,30,90,1,middleliassic,sectionb
643.1153,1500,-150.535,30,90,1,middleliassic,sectionb
744.4486,1500,-221.697,30,90,1,middleliassic,sectionb
