,X,Y,Z,grade,borehole
0,726.0,341.0,-230.6,2.5426889185060157,1.0
5,726.0,341.0,-172.60000000000002,2.529896762997066,1.0
10,726.0,341.0,-114.60000000000002,2.520077891448431,1.0
15,1958.0,465.0,-195.8,2.701652077936878,2.0
20,2046.0,155.0,-242.2,2.8204435543847746,4.0
25,2046.0,155.0,-184.2,2.8362346566819947,4.0
30,1034.0,1953.0,-184.2,2.6478380317857835,5.0
35,1034.0,1953.0,-126.19999999999999,2.6474201078443804,5.0
40,1738.0,3007.0,-230.6,2.714519761472756,6.0
45,1738.0,3007.0,-172.60000000000002,2.6946988981276383,6.0
50,1122.0,2387.0,-195.8,2.6305768320094027,7.0
55,1122.0,2387.0,-137.8,2.632010476176726,7.0
60,1034.0,1333.0,-230.6,2.68001373128956,8.0
65,1034.0,1333.0,-172.60000000000002,2.6807063977095593,8.0
70,462.0,93.0,-230.6,2.5318364794760706,9.0
75,1826.0,2263.0,-242.2,2.656305110468646,10.0
80,1122.0,2263.0,-184.2,2.637947972116024,11.0
85,1122.0,2263.0,-126.19999999999999,2.6385312747156524,11.0
90,990.0,2015.0,-195.8,2.6350205834905354,12.0
95,990.0,2015.0,-137.8,2.63476956528758,12.0
100,1034.0,2821.0,-161.0,2.586418352146281,13.0
105,1034.0,2821.0,-103.0,2.5989716753705743,13.0
110,2002.0,2635.0,-358.2,2.6779091351025053,14.0
115,2002.0,2635.0,-300.2,2.6718963655929575,14.0
120,2002.0,3069.0,-416.2,2.730929998405893,15.0
125,2002.0,3069.0,-358.2,2.714395763172668,15.0
130,2002.0,3069.0,-300.2,2.6995423909962044,15.0
135,638.0,2821.0,-137.8,2.593189886595517,17.0
140,638.0,2821.0,-79.80000000000001,2.60262616239245,17.0
145,638.0,2821.0,-21.80000000000001,2.610178316371055,17.0
150,1078.0,1891.0,-172.60000000000002,2.6690025019176398,18.0
155,462.0,2325.0,-195.8,2.6158506915593693,19.0
160,462.0,2325.0,-137.8,2.6165227228555286,19.0
165,462.0,2325.0,-79.80000000000001,2.6173968010147366,19.0
170,1122.0,2821.0,-172.60000000000002,2.598795335086015,20.0
175,1122.0,2821.0,-114.60000000000002,2.608030491089161,20.0
180,1474.0,31.0,-219.0,2.8409043435849677,21.0
185,1474.0,31.0,-161.0,2.8596905897639506,21.0
190,902.0,2015.0,-207.39999999999998,2.6182128025712434,22.0
195,902.0,2015.0,-149.39999999999998,2.6176133856131374,22.0
200,1210.0,2325.0,-230.6,2.6396680483177337,23.0
205,1210.0,2325.0,-172.60000000000002,2.640218835467146,23.0
210,1210.0,2325.0,-114.60000000000002,2.640587788890986,23.0
215,1298.0,2759.0,-172.60000000000002,2.6367408591410753,24.0
220,1298.0,2759.0,-114.60000000000002,2.6363349650847105,24.0
225,418.0,1271.0,-219.0,2.4258406794156953,25.0
230,418.0,1271.0,-161.0,2.4021974332672507,25.0
235,418.0,1271.0,-103.0,2.3884191146241385,25.0
240,418.0,1767.0,-230.6,2.460116478316278,26.0
245,418.0,1767.0,-172.60000000000002,2.440875143453799,26.0
