,X,Y,Z,grade,formation,borehole
0,1606.0,651.0,-253.79999999999998,3.0550843135476384,5,1
1,1606.0,651.0,-242.2,3.0551130915825073,5,1
2,1782.0,403.0,-277.0,3.0528295742111333,5,2
3,1782.0,403.0,-265.4,3.052955249268946,5,2
4,1782.0,403.0,-253.79999999999998,3.05309146349751,5,2
5,1782.0,403.0,-242.2,3.053237539411614,5,2
6,1782.0,403.0,-230.6,3.0533926680343573,5,2
7,1782.0,403.0,-219.0,3.0535559176146143,5,2
8,1782.0,403.0,-207.39999999999998,3.0537262456328182,5,2
9,1342.0,2635.0,-230.6,3.0541416864285345,5,3
10,1342.0,2635.0,-219.0,3.0542167123821335,5,3
11,1342.0,2635.0,-207.39999999999998,3.0542883386190263,5,3
12,1342.0,2635.0,-195.8,3.0543566232526613,5,3
13,1342.0,2635.0,-184.2,3.054421635707203,5,3
14,1342.0,2635.0,-172.60000000000002,3.0544834548662294,5,3
15,1342.0,2635.0,-161.0,3.054542167371985,5,3
16,1342.0,2635.0,-149.39999999999998,3.054597866075964,5,3
17,1342.0,2635.0,-137.8,3.0546506486383844,5,3
18,1342.0,2635.0,-126.19999999999999,3.0547006162721875,5,3
19,1342.0,2635.0,-114.60000000000002,3.054747872625499,5,3
20,1254.0,3069.0,-184.2,3.052997275650751,5,4
21,1254.0,3069.0,-172.60000000000002,3.053156001732305,5,4
22,1254.0,3069.0,-161.0,3.0533048139714634,5,4
23,1254.0,3069.0,-149.39999999999998,3.053444246649377,5,4
24,1254.0,3069.0,-137.8,3.053574817740258,5,4
25,1254.0,3069.0,-126.19999999999999,3.053697027322051,5,4
26,1254.0,3069.0,-114.60000000000002,3.0538113564382274,5,4
27,1254.0,3069.0,-103.0,3.0539182663398723,5,4
28,1254.0,3069.0,-91.39999999999998,3.0540181980460126,5,4
29,1782.0,465.0,-265.4,3.0537834556674013,5,5
30,1782.0,465.0,-253.79999999999998,3.0538749837280994,5,5
31,1782.0,465.0,-242.2,3.0539721070210706,5,5
32,1782.0,465.0,-230.6,3.054074353512555,5,5
33,1782.0,465.0,-219.0,3.054181194098845,5,5
34,946.0,93.0,-126.19999999999999,3.054940667188923,5,6
35,946.0,93.0,-114.60000000000002,3.054958996403476,5,6
36,946.0,93.0,-103.0,3.0549776956181174,5,6
37,1386.0,2697.0,-242.2,3.0539190351050927,5,7
38,1386.0,2697.0,-230.6,3.0540163785312044,5,7
39,1386.0,2697.0,-219.0,3.054108443381269,5,7
40,1386.0,2697.0,-207.39999999999998,3.0541953984182637,5,7
41,1386.0,2697.0,-195.8,3.0542774237332626,5,7
42,1386.0,2697.0,-184.2,3.0543547075996793,5,7
43,1386.0,2697.0,-172.60000000000002,3.054427443723822,5,7
44,1386.0,2697.0,-161.0,3.0544958288642765,5,7
45,1386.0,2697.0,-149.39999999999998,3.054560060791308,5,7
46,1386.0,2697.0,-137.8,3.054620336556456,5,7
47,1386.0,2697.0,-126.19999999999999,3.0546768510421907,5,7
48,2002.0,2449.0,-323.4,3.056071993733008,5,8
49,2002.0,2449.0,-311.79999999999995,3.056072355412954,5,8
