X,Y,Z,grade_value,grade,section
758,0,-12,2.06791315431259,PbI,a
760,0,-6,2.05423784332609,PbI,a
766,0,-12,2.06709155800199,PbI,a
770,0,-23,2.09711499983419,PbI,a
778,0,-25,2.06525874932447,PbI,a
779,0,-13,2.08447806866993,PbI,a
780,0,-30,2.02186869195209,PbI,a
782,0,-43,2.00094379502792,PbI,a
785,0,-40,2.07817627477574,PbI,a
785,0,-21,2.09400986996914,PbI,a
786,0,-39,2.0521207909483,PbI,a
796,0,-52,2.04585098360511,PbI,a
808,0,-53,2.05777332754094,PbI,a
800,0,-48,2.02330481291749,PbI,a
809,0,-57,2.01326107702609,PbI,a
818,0,-58,2.09204111198217,PbI,a
799,0,-52,2.03561070764318,PbI,a
801,0,-62,2.06235283857873,PbI,a
789,0,-36,2.01166311757318,PbI,a
780,0,-22,2.01156571050831,PbI,a
754,0,-13,2.02538999175748,PbI,a
774,0,-34,2.05060082291681,PbI,a
1580,0,-136,3.04831189542026,PbII,a
1597,0,-151,3.03974000363867,PbII,a
1594,0,-142,3.05280819142988,PbII,a
1589,0,-136,3.06198641131892,PbII,a
1588,0,-135,3.06151046213069,PbII,a
1583,0,-139,3.00096172042159,PbII,a
1614,0,-159,3.01042881172828,PbII,a
1608,0,-148,3.01528325497923,PbII,a
1636,0,-156,3.05389616114471,PbII,a
1635,0,-163,3.08954591147857,PbII,a
1659,0,-165,3.03927529396162,PbII,a
1618,0,-165,3.07543724434007,PbII,a
1679,0,-172,3.08205327040932,PbII,a
1657,0,-174,3.05382103102213,PbII,a
1682,0,-174,3.09316681682102,PbII,a
1686,0,-174,3.07944870351809,PbII,a
1692,0,-175,3.0587085673065,PbII,a
1687,0,-178,3.00658907097739,PbII,a
1703,0,-179,3.08227759711728,PbII,a
1711,0,-178,3.04029967657767,PbII,a
1674,0,-173,3.04654518800031,PbII,a
1709,0,-184,3.03811895058533,PbII,a
1721,0,-186,3.04027372598351,PbII,a
1734,0,-179,3.09121460274387,PbII,a
1707,0,-179,3.04558871615212,PbII,a
1730,0,-188,3.01326622740307,PbII,a
1745,0,-194,3.04577064420493,PbII,a
1753,0,-191,3.09687578591139,PbII,a
1751,0,-186,3.07608064435504,PbII,a
1737,0,-186,3.08888052700003,PbII,a
1770,0,-193,3.01892446603575,PbII,a
1789,0,-188,3.09454089330248,PbII,a
1755,0,-184,3.02635569437179,PbII,a
1804,0,-188,3.00685920897197,PbII,a
1786,0,-184,3.002642745912,PbII,a
1789,0,-180,3.09088202482676,PbII,a
1816,0,-181,3.06835668720821,PbII,a
1822,0,-185,3.02549349387174,PbII,a
1854,0,-178,3.01371453073436,PbII,a
1828,0,-179,3.04442037227496,PbII,a
1839,0,-185,3.00131089048198,PbII,a
1854,0,-183,3.07625726698507,PbII,a
1877,0,-175,3.0349846784492,PbII,a
1862,0,-187,3.02554561767424,PbII,a
1866,0,-186,3.00202973061352,PbII,a
1878,0,-179,3.08770251610309,PbII,a
1886,0,-163,3.0270387430489,PbII,a
1899,0,-168,3.09080966956968,PbII,a
1886,0,-175,3.01047454964745,PbII,a
1900,0,-180,3.09972436472505,PbII,a
1904,0,-177,3.08472584933106,PbII,a
1908,0,-171,3.00607481259266,PbII,a
1907,0,-162,3.07683445304387,PbII,a
1905,0,-170,3.00284143495355,PbII,a
1916,0,-162,3.0934628140289,PbII,a
1910,0,-163,3.0161221966593,PbII,a
1928,0,-167,3.01513606338896,PbII,a
1931,0,-158,3.08487887679635,PbII,a
1950,0,-155,3.02586427761104,PbII,a
1923,0,-157,3.01192972077187,PbII,a
1957,0,-144,3.04374415098526,PbII,a
1968,0,-138,3.06912603238957,PbII,a
1966,0,-144,3.07031716475183,PbII,a
396.3035,1500,-28.7385,2.08467112163064,PbI,b
414.3629,1500,-39.6865,2.05442899234086,PbI,b
424.3959,1500,-39.6865,2.08347947694429,PbI,b
415.3662,1500,-32.844,2.01368511749675,PbI,b
393.2936,1500,-30.107,2.07344190206154,PbI,b
