X,Y,Z,grade_value,grade,section
758,0,-12,2.06791315431259,PbI,a
760,0,-6,2.05423784332609,PbI,a
766,0,-12,2.06709155800199,PbI,a
770,0,-23,2.09711499983419,PbI,a
778,0,-25,2.06525874932447,PbI,a
779,0,-13,2.08447806866993,PbI,a
780,0,-30,2.02186869195209,PbI,a
782,0,-43,2.00094379502792,PbI,a
785,0,-40,2.07817627477574,PbI,a
785,0,-21,2.09400986996914,PbI,a
786,0,-39,2.0521207909483,PbI,a
796,0,-52,2.04585098360511,PbI,a
808,0,-53,2.05777332754094,PbI,a
800,0,-48,2.02330481291749,PbI,a
809,0,-57,2.01326107702609,PbI,a
818,0,-58,2.09204111198217,PbI,a
799,0,-52,2.03561070764318,PbI,a
801,0,-62,2.06235283857873,PbI,a
789,0,-36,2.01166311757318,PbI,a
780,0,-22,2.01156571050831,PbI,a
754,0,-13,2.02538999175748,PbI,a
774,0,-34,2.05060082291681,PbI,a
396.3035,1500,-28.7385,2.08467112163064,PbI,b
414.3629,1500,-39.6865,2.05442899234086,PbI,b
424.3959,1500,-39.6865,2.08347947694429,PbI,b
415.3662,1500,-32.844,2.01368511749675,PbI,b
393.2936,1500,-30.107,2.07344190206154,PbI,b
435.4322,1500,-38.318,2.04423070054873,PbI,b
450.4817,1500,-47.8975,2.06580406527472,PbI,b
464.5279,1500,-49.266,2.0584129344435,PbI,b
453.4916,1500,-52.003,2.05145320679901,PbI,b
476.5675,1500,-60.214,2.01562070248927,PbI,b
479.5774,1500,-53.3715,2.03909898610891,PbI,b
490.6137,1500,-64.3195,2.00936756315003,PbI,b
482.5873,1500,-64.3195,2.00125527449004,PbI,b
500.6467,1500,-75.2675,2.07196810065808,PbI,b
516.6995,1500,-83.4785,2.09628913638255,PbI,b
505.6632,1500,-72.5305,2.05602152609019,PbI,b
504.6599,1500,-83.4785,2.08915007047707,PbI,b
524.7259,1500,-95.795,2.08275181690166,PbI,b
518.7061,1500,-88.9525,2.09979591871132,PbI,b
537.7688,1500,-102.6375,2.05057318816866,PbI,b
540.7787,1500,-99.9005,2.09545475309232,PbI,b
547.8018,1500,-110.8485,2.06851322032551,PbI,b
530.7457,1500,-99.9005,2.0935735650344,PbI,b
548.8051,1500,-106.743,2.08345580596231,PbI,b
555.8282,1500,-119.0595,2.09552951040645,PbI,b
563.8546,1500,-123.165,2.02955737248475,PbI,b
585.9272,1500,-130.0075,2.09986009324098,PbI,b
580.9107,1500,-136.85,2.01819392259799,PbI,b
553.8216,1500,-110.8485,2.04935828119849,PbI,b
575.8942,1500,-130.0075,2.09334943333581,PbI,b
586.9305,1500,-140.9555,2.02638133565917,PbI,b
598.9701,1500,-161.483,2.08678121986333,PbI,b
859.85811,3000,-569.444862,2.06669681113984,PbI,c
864.88652,3000,-575.12511,2.05800517416736,PbI,c
875.949022,3000,-575.12511,2.01044411506459,PbI,c
875.949022,3000,-580.805358,2.00309478856117,PbI,c
891.034252,3000,-582.22542,2.09190578450628,PbI,c
883.994478,3000,-575.12511,2.074204760269,PbI,c
894.051298,3000,-590.745792,2.06435612383881,PbI,c
898.074026,3000,-593.585916,2.08875481292587,PbI,c
909.136528,3000,-593.585916,2.0007553016591,PbI,c
913.159256,3000,-609.206598,2.001083040707,PbI,c
902.096754,3000,-593.585916,2.03318210717664,PbI,c
938.301306,3000,-613.466784,2.02940337258478,PbI,c
931.261532,3000,-610.62666,2.0124354505497,PbI,c
925.22744,3000,-604.946412,2.09703205003734,PbI,c
950.36949,3000,-631.92759,2.02170095996573,PbI,c
960.42631,3000,-641.868024,2.07821127160743,PbI,c
972.494494,3000,-646.12821,2.04557757055679,PbI,c
977.522904,3000,-653.22852,2.00646283752887,PbI,c
964.449038,3000,-656.068644,2.00750929305375,PbI,c
956.403582,3000,-626.247342,2.00828933379346,PbI,c
981.545632,3000,-648.968334,2.05549831690384,PbI,c
992.608134,3000,-657.488706,2.02298750583156,PbI,c
967.466084,3000,-647.548272,2.04012494064137,PbI,c
943.329716,3000,-627.667404,2.07740247220695,PbI,c
