X,Y,Z,grade_value,grade,section
1580,0,-136,3.04831189542026,PbII,a
1597,0,-151,3.03974000363867,PbII,a
1594,0,-142,3.05280819142988,PbII,a
1589,0,-136,3.06198641131892,PbII,a
1588,0,-135,3.06151046213069,PbII,a
1583,0,-139,3.00096172042159,PbII,a
1614,0,-159,3.01042881172828,PbII,a
1608,0,-148,3.01528325497923,PbII,a
1636,0,-156,3.05389616114471,PbII,a
1635,0,-163,3.08954591147857,PbII,a
1659,0,-165,3.03927529396162,PbII,a
1618,0,-165,3.07543724434007,PbII,a
1679,0,-172,3.08205327040932,PbII,a
1657,0,-174,3.05382103102213,PbII,a
1682,0,-174,3.09316681682102,PbII,a
1686,0,-174,3.07944870351809,PbII,a
1692,0,-175,3.0587085673065,PbII,a
1687,0,-178,3.00658907097739,PbII,a
1703,0,-179,3.08227759711728,PbII,a
1711,0,-178,3.04029967657767,PbII,a
1674,0,-173,3.04654518800031,PbII,a
1709,0,-184,3.03811895058533,PbII,a
1721,0,-186,3.04027372598351,PbII,a
1734,0,-179,3.09121460274387,PbII,a
1707,0,-179,3.04558871615212,PbII,a
1730,0,-188,3.01326622740307,PbII,a
1745,0,-194,3.04577064420493,PbII,a
1753,0,-191,3.09687578591139,PbII,a
1751,0,-186,3.07608064435504,PbII,a
1737,0,-186,3.08888052700003,PbII,a
1770,0,-193,3.01892446603575,PbII,a
1789,0,-188,3.09454089330248,PbII,a
1755,0,-184,3.02635569437179,PbII,a
1804,0,-188,3.00685920897197,PbII,a
1786,0,-184,3.002642745912,PbII,a
1789,0,-180,3.09088202482676,PbII,a
1816,0,-181,3.06835668720821,PbII,a
1822,0,-185,3.02549349387174,PbII,a
1854,0,-178,3.01371453073436,PbII,a
1828,0,-179,3.04442037227496,PbII,a
1839,0,-185,3.00131089048198,PbII,a
1854,0,-183,3.07625726698507,PbII,a
1877,0,-175,3.0349846784492,PbII,a
1862,0,-187,3.02554561767424,PbII,a
1866,0,-186,3.00202973061352,PbII,a
1878,0,-179,3.08770251610309,PbII,a
1886,0,-163,3.0270387430489,PbII,a
1899,0,-168,3.09080966956968,PbII,a
1886,0,-175,3.01047454964745,PbII,a
1900,0,-180,3.09972436472505,PbII,a
1904,0,-177,3.08472584933106,PbII,a
1908,0,-171,3.00607481259266,PbII,a
1907,0,-162,3.07683445304387,PbII,a
1905,0,-170,3.00284143495355,PbII,a
1916,0,-162,3.0934628140289,PbII,a
1910,0,-163,3.0161221966593,PbII,a
1928,0,-167,3.01513606338896,PbII,a
1931,0,-158,3.08487887679635,PbII,a
1950,0,-155,3.02586427761104,PbII,a
1923,0,-157,3.01192972077187,PbII,a
1957,0,-144,3.04374415098526,PbII,a
1968,0,-138,3.06912603238957,PbII,a
1966,0,-144,3.07031716475183,PbII,a
1112.6597,1500,-165.5885,3.08016354080611,PbII,b
1133.729,1500,-164.22,3.00099334008315,PbII,b
1135.7356,1500,-162.8515,3.01531170460054,PbII,b
1140.7521,1500,-160.1145,3.06821392672103,PbII,b
