X,Y,Z,grade_value,grade,section
821,0,-616,2.06791315431259,PbI,a
823,0,-610,2.0542378433260904,PbI,a
829,0,-616,2.067091558001995,PbI,a
833,0,-627,2.097114999834194,PbI,a
841,0,-629,2.0652587493244736,PbI,a
842,0,-617,2.084478068669935,PbI,a
843,0,-634,2.0218686919520956,PbI,a
845,0,-647,2.0009437950279203,PbI,a
848,0,-644,2.078176274775749,PbI,a
848,0,-625,2.0940098699691485,PbI,a
849,0,-643,2.052120790948302,PbI,a
859,0,-656,2.0458509836051197,PbI,a
871,0,-657,2.0577733275409495,PbI,a
863,0,-652,2.023304812917493,PbI,a
872,0,-661,2.0132610770260957,PbI,a
881,0,-662,2.092041111982176,PbI,a
862,0,-656,2.035610707643187,PbI,a
864,0,-666,2.062352838578731,PbI,a
852,0,-640,2.011663117573181,PbI,a
843,0,-626,2.0115657105083145,PbI,a
817,0,-617,2.0253899917574887,PbI,a
837,0,-638,2.050600822916819,PbI,a
1643,0,-740,3.048311895420261,PbII,a
1660,0,-755,3.039740003638679,PbII,a
1657,0,-746,3.0528081914298877,PbII,a
1652,0,-740,3.061986411318929,PbII,a
1651,0,-739,3.061510462130699,PbII,a
1646,0,-743,3.0009617204215937,PbII,a
1677,0,-763,3.0104288117282803,PbII,a
1671,0,-752,3.015283254979235,PbII,a
1699,0,-760,3.0538961611447166,PbII,a
1698,0,-767,3.0895459114785786,PbII,a
1722,0,-769,3.0392752939616243,PbII,a
1681,0,-769,3.0754372443400775,PbII,a
1742,0,-776,3.082053270409323,PbII,a
1720,0,-778,3.053821031022131,PbII,a
1745,0,-778,3.0931668168210233,PbII,a
1749,0,-778,3.0794487035180946,PbII,a
1755,0,-779,3.058708567306506,PbII,a
1750,0,-782,3.0065890709773955,PbII,a
1766,0,-783,3.082277597117285,PbII,a
1774,0,-782,3.0402996765776775,PbII,a
1737,0,-777,3.046545188000311,PbII,a
1772,0,-788,3.0381189505853303,PbII,a
1784,0,-790,3.040273725983516,PbII,a
1797,0,-783,3.0912146027438783,PbII,a
1770,0,-783,3.045588716152128,PbII,a
1793,0,-792,3.0132662274030757,PbII,a
1808,0,-798,3.045770644204939,PbII,a
1816,0,-795,3.0968757859113984,PbII,a
1814,0,-790,3.0760806443550406,PbII,a
1800,0,-790,3.0888805270000326,PbII,a
1833,0,-797,3.018924466035757,PbII,a
1852,0,-792,3.0945408933024896,PbII,a
1818,0,-788,3.0263556943717917,PbII,a
1867,0,-792,3.006859208971975,PbII,a
1849,0,-788,3.0026427459120058,PbII,a
1852,0,-784,3.0908820248267697,PbII,a
1879,0,-785,3.0683566872082193,PbII,a
1885,0,-789,3.025493493871743,PbII,a
1917,0,-782,3.0137145307343602,PbII,a
1891,0,-783,3.0444203722749656,PbII,a
1902,0,-789,3.0013108904819807,PbII,a
1917,0,-787,3.0762572669850723,PbII,a
1940,0,-779,3.0349846784492094,PbII,a
1925,0,-791,3.0255456176742452,PbII,a
1929,0,-790,3.002029730613524,PbII,a
1941,0,-783,3.087702516103092,PbII,a
1949,0,-767,3.0270387430489096,PbII,a
1962,0,-772,3.090809669569682,PbII,a
1949,0,-779,3.01047454964745,PbII,a
1963,0,-784,3.0997243647250587,PbII,a
1967,0,-781,3.0847258493310625,PbII,a
1971,0,-775,3.0060748125926606,PbII,a
1970,0,-766,3.0768344530438774,PbII,a
1968,0,-774,3.0028414349535515,PbII,a
1979,0,-766,3.093462814028909,PbII,a
1973,0,-767,3.0161221966593006,PbII,a
1991,0,-771,3.0151360633889657,PbII,a
1994,0,-762,3.084878876796355,PbII,a
2013,0,-759,3.025864277611047,PbII,a
1986,0,-761,3.0119297207718714,PbII,a
2020,0,-748,3.043744150985263,PbII,a
2031,0,-742,3.069126032389573,PbII,a
2029,0,-748,3.0703171647518386,PbII,a
456,1500,-679,2.084671121630649,PbI,b
474,1500,-687,2.0544289923408683,PbI,b
484,1500,-687,2.0834794769442904,PbI,b
475,1500,-682,2.0136851174967503,PbI,b
453,1500,-680,2.073441902061542,PbI,b
495,1500,-686,2.0442307005487343,PbI,b
510,1500,-693,2.0658040652747243,PbI,b
524,1500,-694,2.0584129344435094,PbI,b
513,1500,-696,2.051453206799016,PbI,b
536,1500,-702,2.0156207024892736,PbI,b
539,1500,-697,2.039098986108913,PbI,b
550,1500,-705,2.00936756315003,PbI,b
542,1500,-705,2.001255274490049,PbI,b
560,1500,-713,2.0719681006580806,PbI,b
576,1500,-719,2.0962891363825578,PbI,b
565,1500,-711,2.0560215260901975,PbI,b
564,1500,-719,2.08915007047707,PbI,b
584,1500,-728,2.082751816901663,PbI,b
578,1500,-723,2.099795918711321,PbI,b
597,1500,-733,2.050573188168669,PbI,b
600,1500,-731,2.095454753092328,PbI,b
607,1500,-739,2.06851322032551,PbI,b
590,1500,-731,2.0935735650344016,PbI,b
608,1500,-736,2.0834558059623123,PbI,b
615,1500,-745,2.0955295104064584,PbI,b
623,1500,-748,2.029557372484754,PbI,b
645,1500,-753,2.0998600932409888,PbI,b
640,1500,-758,2.018193922597994,PbI,b
613,1500,-739,2.049358281198494,PbI,b
635,1500,-753,2.0933494333358174,PbI,b
646,1500,-761,2.0263813356591713,PbI,b
658,1500,-776,2.086781219863335,PbI,b
1170,1500,-779,3.0801635408061108,PbII,b
1191,1500,-778,3.0009933400831517,PbII,b
1193,1500,-777,3.015311704600549,PbII,b
1198,1500,-775,3.0682139267210387,PbII,b
1207,1500,-777,3.015302839743187,PbII,b
1237,1500,-776,3.022882545394443,PbII,b
1220,1500,-777,3.053817020700319,PbII,b
1242,1500,-769,3.0267598492712615,PbII,b
1233,1500,-777,3.0416381789674123,PbII,b
1266,1500,-767,3.0157199080740207,PbII,b
1247,1500,-769,3.045405245890234,PbII,b
1268,1500,-769,3.0431619991397807,PbII,b
1286,1500,-762,3.0300037771490755,PbII,b
1269,1500,-772,3.061334682862774,PbII,b
1296,1500,-756,3.0410632217384186,PbII,b
1314,1500,-754,3.0671326147037004,PbII,b
1300,1500,-754,3.018952358414978,PbII,b
1322,1500,-758,3.0913311330736666,PbII,b
1317,1500,-758,3.014146401862824,PbII,b
1333,1500,-750,3.033079779110142,PbII,b
1332,1500,-750,3.046552410177431,PbII,b
1340,1500,-753,3.086240209439233,PbII,b
1355,1500,-763,3.0166325045569637,PbII,b
1385,1500,-765,3.086418910812093,PbII,b
1384,1500,-769,3.0155519239134567,PbII,b
1361,1500,-752,3.076358882625673,PbII,b
1390,1500,-779,3.0065184567974135,PbII,b
1404,1500,-772,3.097534659750586,PbII,b
1422,1500,-771,3.0799893187766196,PbII,b
1410,1500,-773,3.091733007330348,PbII,b
