X,Y,Z,grade_value,grade,section
1038,1500,-750,2.517912829032345,PbI-II,b
1049,1500,-761,2.54793241319374,PbI-II,b
1049,1500,-757,2.570368445981732,PbI-II,b
1061,1500,-767,2.542586194863458,PbI-II,b
1072,1500,-770,2.538561857911688,PbI-II,b
1064,1500,-765,2.5851987866543866,PbI-II,b
1076,1500,-772,2.5958692861024684,PbI-II,b
1084,1500,-774,2.539062636024571,PbI-II,b
1094,1500,-780,2.5643572128619527,PbI-II,b
1078,1500,-779,2.593398783916537,PbI-II,b
1068,1500,-766,2.5424265112435105,PbI-II,b
1059,1500,-767,2.5036838819725338,PbI-II,b
1055,1500,-762,2.5637985674456245,PbI-II,b
1052,1500,-762,2.5018034519735393,PbI-II,b
1050,1500,-755,2.5712445198619847,PbI-II,b
1052,1500,-764,2.50574277149799,PbI-II,b
1074,1500,-773,2.5659096708310805,PbI-II,b
