X,Y,Z,grade_value,grade,section
1643,0,-740,3.048311895420261,PbII,a
1660,0,-755,3.039740003638679,PbII,a
1657,0,-746,3.0528081914298877,PbII,a
1652,0,-740,3.061986411318929,PbII,a
1651,0,-739,3.061510462130699,PbII,a
1646,0,-743,3.0009617204215937,PbII,a
1677,0,-763,3.0104288117282803,PbII,a
1671,0,-752,3.015283254979235,PbII,a
1699,0,-760,3.0538961611447166,PbII,a
1698,0,-767,3.0895459114785786,PbII,a
1722,0,-769,3.0392752939616243,PbII,a
1681,0,-769,3.0754372443400775,PbII,a
1742,0,-776,3.082053270409323,PbII,a
1720,0,-778,3.053821031022131,PbII,a
1745,0,-778,3.0931668168210233,PbII,a
1749,0,-778,3.0794487035180946,PbII,a
1755,0,-779,3.058708567306506,PbII,a
1750,0,-782,3.0065890709773955,PbII,a
1766,0,-783,3.082277597117285,PbII,a
1774,0,-782,3.0402996765776775,PbII,a
1737,0,-777,3.046545188000311,PbII,a
1772,0,-788,3.0381189505853303,PbII,a
1784,0,-790,3.040273725983516,PbII,a
1797,0,-783,3.0912146027438783,PbII,a
1770,0,-783,3.045588716152128,PbII,a
1793,0,-792,3.0132662274030757,PbII,a
1808,0,-798,3.045770644204939,PbII,a
1816,0,-795,3.0968757859113984,PbII,a
1814,0,-790,3.0760806443550406,PbII,a
1800,0,-790,3.0888805270000326,PbII,a
1833,0,-797,3.018924466035757,PbII,a
1852,0,-792,3.0945408933024896,PbII,a
1818,0,-788,3.0263556943717917,PbII,a
1867,0,-792,3.006859208971975,PbII,a
1849,0,-788,3.0026427459120058,PbII,a
1852,0,-784,3.0908820248267697,PbII,a
1879,0,-785,3.0683566872082193,PbII,a
1885,0,-789,3.025493493871743,PbII,a
1917,0,-782,3.0137145307343602,PbII,a
1891,0,-783,3.0444203722749656,PbII,a
1902,0,-789,3.0013108904819807,PbII,a
1917,0,-787,3.0762572669850723,PbII,a
1940,0,-779,3.0349846784492094,PbII,a
1925,0,-791,3.0255456176742452,PbII,a
1929,0,-790,3.002029730613524,PbII,a
1941,0,-783,3.087702516103092,PbII,a
1949,0,-767,3.0270387430489096,PbII,a
1962,0,-772,3.090809669569682,PbII,a
1949,0,-779,3.01047454964745,PbII,a
1963,0,-784,3.0997243647250587,PbII,a
1967,0,-781,3.0847258493310625,PbII,a
1971,0,-775,3.0060748125926606,PbII,a
1970,0,-766,3.0768344530438774,PbII,a
1968,0,-774,3.0028414349535515,PbII,a
1979,0,-766,3.093462814028909,PbII,a
1973,0,-767,3.0161221966593006,PbII,a
1991,0,-771,3.0151360633889657,PbII,a
1994,0,-762,3.084878876796355,PbII,a
2013,0,-759,3.025864277611047,PbII,a
1986,0,-761,3.0119297207718714,PbII,a
2020,0,-748,3.043744150985263,PbII,a
2031,0,-742,3.069126032389573,PbII,a
2029,0,-748,3.0703171647518386,PbII,a
