X,Y,Z,grade_value,grade,section
1170,1500,-779,3.0801635408061108,PbII,b
1191,1500,-778,3.0009933400831517,PbII,b
1193,1500,-777,3.015311704600549,PbII,b
1198,1500,-775,3.0682139267210387,PbII,b
1207,1500,-777,3.015302839743187,PbII,b
1237,1500,-776,3.022882545394443,PbII,b
1220,1500,-777,3.053817020700319,PbII,b
1242,1500,-769,3.0267598492712615,PbII,b
1233,1500,-777,3.0416381789674123,PbII,b
1266,1500,-767,3.0157199080740207,PbII,b
1247,1500,-769,3.045405245890234,PbII,b
1268,1500,-769,3.0431619991397807,PbII,b
1286,1500,-762,3.0300037771490755,PbII,b
1269,1500,-772,3.061334682862774,PbII,b
1296,1500,-756,3.0410632217384186,PbII,b
1314,1500,-754,3.0671326147037004,PbII,b
1300,1500,-754,3.018952358414978,PbII,b
1322,1500,-758,3.0913311330736666,PbII,b
1317,1500,-758,3.014146401862824,PbII,b
1333,1500,-750,3.033079779110142,PbII,b
1332,1500,-750,3.046552410177431,PbII,b
1340,1500,-753,3.086240209439233,PbII,b
1355,1500,-763,3.0166325045569637,PbII,b
1385,1500,-765,3.086418910812093,PbII,b
1384,1500,-769,3.0155519239134567,PbII,b
1361,1500,-752,3.076358882625673,PbII,b
1390,1500,-779,3.0065184567974135,PbII,b
1404,1500,-772,3.097534659750586,PbII,b
1422,1500,-771,3.0799893187766196,PbII,b
1410,1500,-773,3.091733007330348,PbII,b
1454,1500,-784,3.0745379354961138,PbII,b
1435,1500,-782,3.080910447478199,PbII,b
1474,1500,-788,3.031906481041836,PbII,b
1465,1500,-788,3.017572000162983,PbII,b
1501,1500,-793,3.052692293838505,PbII,b
1496,1500,-793,3.086051678905644,PbII,b
1483,1500,-796,3.0648524434275854,PbII,b
1451,1500,-784,3.0088948056143465,PbII,b
1507,1500,-799,3.0652552985756203,PbII,b
1490,1500,-797,3.0439490476102904,PbII,b
1500,1500,-795,3.0752362333556875,PbII,b
1522,1500,-805,3.0179391816557013,PbII,b
1508,1500,-805,3.059661858745905,PbII,b
1521,1500,-799,3.0298308332016908,PbII,b
1543,1500,-806,3.0271650192767754,PbII,b
1532,1500,-809,3.094559263956019,PbII,b
1553,1500,-809,3.073600370706833,PbII,b
1564,1500,-817,3.0837207859306304,PbII,b
1572,1500,-815,3.079691965003443,PbII,b
1562,1500,-814,3.0134452591184138,PbII,b
1601,1500,-824,3.065688187779129,PbII,b
1584,1500,-824,3.0744306683388984,PbII,b
1601,1500,-828,3.059725067055542,PbII,b
1616,1500,-829,3.0808814248136445,PbII,b
1639,1500,-831,3.0512784565980278,PbII,b
1656,1500,-840,3.0973818252387977,PbII,b
1629,1500,-834,3.076057424284831,PbII,b
1611,1500,-831,3.0119902397430596,PbII,b
1577,1500,-818,3.0337334308466897,PbII,b
