X,Y,Z,grade_value,grade,section
1504,3000,-792,3.015597776518428,PbII,c
1522,3000,-788,3.069401118093665,PbII,c
1530,3000,-778,3.077568789124227,PbII,c
1508,3000,-785,3.072625731980099,PbII,c
1530,3000,-784,3.0763498979628583,PbII,c
1554,3000,-780,3.07207265206259,PbII,c
1580,3000,-776,3.0234843031469456,PbII,c
1603,3000,-772,3.0842330115910443,PbII,c
1618,3000,-770,3.074718802971944,PbII,c
1629,3000,-769,3.02395690798334,PbII,c
1653,3000,-770,3.0484608740198174,PbII,c
1691,3000,-769,3.0538884733211793,PbII,c
1660,3000,-771,3.0605211035636266,PbII,c
1637,3000,-767,3.080760618795089,PbII,c
1702,3000,-767,3.056005178944133,PbII,c
1704,3000,-773,3.023047733254903,PbII,c
1732,3000,-773,3.082077330858045,PbII,c
1688,3000,-772,3.0779348125523134,PbII,c
1744,3000,-772,3.0824693600593727,PbII,c
1747,3000,-776,3.00483620658612,PbII,c
1764,3000,-776,3.0527325022399507,PbII,c
1774,3000,-778,3.05202681942736,PbII,c
1785,3000,-779,3.0594668832785623,PbII,c
1774,3000,-772,3.0921303929606245,PbII,c
1806,3000,-777,3.048710670962056,PbII,c
1808,3000,-780,3.0308217675393125,PbII,c
1796,3000,-780,3.0582933577977767,PbII,c
1813,3000,-787,3.042329867600311,PbII,c
1843,3000,-796,3.030254297115377,PbII,c
1846,3000,-806,3.0313224424235647,PbII,c
1839,3000,-789,3.0775629519321357,PbII,c
1828,3000,-786,3.0689815930763285,PbII,c
1798,3000,-779,3.06571859972705,PbII,c
1755,3000,-780,3.0753761584695316,PbII,c
1692,3000,-767,3.062478274097926,PbII,c
1631,3000,-770,3.0656928550310387,PbII,c
1596,3000,-770,3.071317738964573,PbII,c
1528,3000,-772,3.0043208898295384,PbII,c
1518,3000,-783,3.0628132436104596,PbII,c
