X,Y,Z,grade_value,grade,section
821,0,-616,2.06791315431259,PbI,a
823,0,-610,2.0542378433260904,PbI,a
829,0,-616,2.067091558001995,PbI,a
833,0,-627,2.097114999834194,PbI,a
841,0,-629,2.0652587493244736,PbI,a
842,0,-617,2.084478068669935,PbI,a
843,0,-634,2.0218686919520956,PbI,a
845,0,-647,2.0009437950279203,PbI,a
848,0,-644,2.078176274775749,PbI,a
848,0,-625,2.0940098699691485,PbI,a
849,0,-643,2.052120790948302,PbI,a
859,0,-656,2.0458509836051197,PbI,a
871,0,-657,2.0577733275409495,PbI,a
863,0,-652,2.023304812917493,PbI,a
872,0,-661,2.0132610770260957,PbI,a
881,0,-662,2.092041111982176,PbI,a
862,0,-656,2.035610707643187,PbI,a
864,0,-666,2.062352838578731,PbI,a
852,0,-640,2.011663117573181,PbI,a
843,0,-626,2.0115657105083145,PbI,a
817,0,-617,2.0253899917574887,PbI,a
837,0,-638,2.050600822916819,PbI,a
