X,Y,Z,grade_value,grade,section
456,1500,-679,2.084671121630649,PbI,b
474,1500,-687,2.0544289923408683,PbI,b
484,1500,-687,2.0834794769442904,PbI,b
475,1500,-682,2.0136851174967503,PbI,b
453,1500,-680,2.073441902061542,PbI,b
495,1500,-686,2.0442307005487343,PbI,b
510,1500,-693,2.0658040652747243,PbI,b
524,1500,-694,2.0584129344435094,PbI,b
513,1500,-696,2.051453206799016,PbI,b
536,1500,-702,2.0156207024892736,PbI,b
539,1500,-697,2.039098986108913,PbI,b
550,1500,-705,2.00936756315003,PbI,b
542,1500,-705,2.001255274490049,PbI,b
560,1500,-713,2.0719681006580806,PbI,b
576,1500,-719,2.0962891363825578,PbI,b
565,1500,-711,2.0560215260901975,PbI,b
564,1500,-719,2.08915007047707,PbI,b
584,1500,-728,2.082751816901663,PbI,b
578,1500,-723,2.099795918711321,PbI,b
597,1500,-733,2.050573188168669,PbI,b
600,1500,-731,2.095454753092328,PbI,b
607,1500,-739,2.06851322032551,PbI,b
590,1500,-731,2.0935735650344016,PbI,b
608,1500,-736,2.0834558059623123,PbI,b
615,1500,-745,2.0955295104064584,PbI,b
623,1500,-748,2.029557372484754,PbI,b
645,1500,-753,2.0998600932409888,PbI,b
640,1500,-758,2.018193922597994,PbI,b
613,1500,-739,2.049358281198494,PbI,b
635,1500,-753,2.0933494333358174,PbI,b
646,1500,-761,2.0263813356591713,PbI,b
658,1500,-776,2.086781219863335,PbI,b
