X,Y,Z,grade_value,grade,section
917,3000,-720,2.0666968111398485,PbI,c
922,3000,-724,2.0580051741673637,PbI,c
933,3000,-724,2.0104441150645926,PbI,c
933,3000,-728,2.0030947885611754,PbI,c
948,3000,-729,2.0919057845062894,PbI,c
941,3000,-724,2.074204760269008,PbI,c
951,3000,-735,2.064356123838811,PbI,c
955,3000,-737,2.0887548129258766,PbI,c
966,3000,-737,2.0007553016591038,PbI,c
970,3000,-748,2.001083040707001,PbI,c
959,3000,-737,2.0331821071766467,PbI,c
995,3000,-751,2.029403372584785,PbI,c
988,3000,-749,2.0124354505497095,PbI,c
982,3000,-745,2.097032050037342,PbI,c
1007,3000,-764,2.0217009599657376,PbI,c
1017,3000,-771,2.0782112716074335,PbI,c
1029,3000,-774,2.0455775705567936,PbI,c
1034,3000,-779,2.006462837528875,PbI,c
1021,3000,-781,2.007509293053755,PbI,c
1013,3000,-760,2.0082893337934693,PbI,c
1038,3000,-776,2.0554983169038468,PbI,c
1049,3000,-782,2.0229875058315603,PbI,c
1024,3000,-775,2.040124940641378,PbI,c
1000,3000,-761,2.077402472206953,PbI,c
