X,Y,Z,dip,azimuth,polarity,formation,section
64,0,-867,0,90,1,topo,sectiona
162,0,-868,0,90,1,topo,sectiona
295,0,-863,0,90,1,topo,sectiona
461,0,-839,0,90,1,topo,sectiona
645,0,-781,0,90,1,topo,sectiona
730,0,-698,0,90,1,topo,sectiona
829,0,-604,0,90,1,topo,sectiona
874,0,-618,0,90,1,topo,sectiona
974,0,-686,0,90,1,topo,sectiona
1035,0,-734,0,90,1,topo,sectiona
1127,0,-661,0,90,1,topo,sectiona
1266,0,-657,0,90,1,topo,sectiona
1424,0,-672,0,90,1,topo,sectiona
1491,0,-678,0,90,1,topo,sectiona
1598,0,-753,0,90,1,topo,sectiona
1635,0,-737,0,90,1,topo,sectiona
1789,0,-716,0,90,1,topo,sectiona
1993,0,-724,0,90,1,topo,sectiona
2184,0,-713,0,90,1,topo,sectiona
1658,0,-721,0,90,1,lowercenomonian,sectiona
1678,0,-730,0,90,1,lowercenomonian,sectiona
1728,0,-743,0,90,1,lowercenomonian,sectiona
1796,0,-755,0,90,1,lowercenomonian,sectiona
1856,0,-758,0,90,1,lowercenomonian,sectiona
1903,0,-758,0,90,1,lowercenomonian,sectiona
1949,0,-758,0,90,1,lowercenomonian,sectiona
1989,0,-747,0,90,1,lowercenomonian,sectiona
2072,0,-736,0,90,1,lowercenomonian,sectiona
2119,0,-730,0,90,1,lowercenomonian,sectiona
2187,0,-718,0,90,1,lowercenomonian,sectiona
1649,0,-730,0,90,1,toarcian,sectiona
1681,0,-750,0,90,1,toarcian,sectiona
1730,0,-763,0,90,1,toarcian,sectiona
1794,0,-783,0,90,1,toarcian,sectiona
1855,0,-786,0,90,1,toarcian,sectiona
1912,0,-784,0,90,1,toarcian,sectiona
1965,0,-772,0,90,1,toarcian,sectiona
2014,0,-764,0,90,1,toarcian,sectiona
2087,0,-754,0,90,1,toarcian,sectiona
2172,0,-746,0,90,1,toarcian,sectiona
1073,0,-649,0,90,1,upperliassic,sectiona
1120,0,-679,0,90,1,upperliassic,sectiona
1176,0,-683,0,90,1,upperliassic,sectiona
1205,0,-693,0,90,1,upperliassic,sectiona
1273,0,-700,0,90,1,upperliassic,sectiona
1365,0,-701,0,90,1,upperliassic,sectiona
1430,0,-702,0,90,1,upperliassic,sectiona
1506,0,-715,0,90,1,upperliassic,sectiona
1542,0,-715,0,90,1,upperliassic,sectiona
1558,0,-715,0,90,1,upperliassic,sectiona
1578,0,-722,0,90,1,upperliassic,sectiona
1589,0,-743,0,90,1,upperliassic,sectiona
1606,0,-766,0,90,1,upperliassic,sectiona
1652,0,-788,0,90,1,upperliassic,sectiona
1705,0,-810,0,90,1,upperliassic,sectiona
1768,0,-822,0,90,1,upperliassic,sectiona
1820,0,-826,0,90,1,upperliassic,sectiona
1863,0,-826,0,90,1,upperliassic,sectiona
1909,0,-825,0,90,1,upperliassic,sectiona
1978,0,-809,0,90,1,upperliassic,sectiona
2037,0,-800,0,90,1,upperliassic,sectiona
2107,0,-791,0,90,1,upperliassic,sectiona
2166,0,-775,0,90,1,upperliassic,sectiona
922,0,-647,0,90,1,middleliassic,sectiona
946,0,-669,0,90,1,middleliassic,sectiona
958,0,-689,0,90,1,middleliassic,sectiona
986,0,-718,0,90,1,middleliassic,sectiona
1024,0,-744,0,90,1,middleliassic,sectiona
1096,0,-782,0,90,1,middleliassic,sectiona
1169,0,-803,0,90,1,middleliassic,sectiona
1260,0,-810,0,90,1,middleliassic,sectiona
1349,0,-807,0,90,1,middleliassic,sectiona
1419,0,-803,0,90,1,middleliassic,sectiona
1503,0,-821,0,90,1,middleliassic,sectiona
1580,0,-844,0,90,1,middleliassic,sectiona
1658,0,-877,0,90,1,middleliassic,sectiona
1740,0,-909,0,90,1,middleliassic,sectiona
1821,0,-913,0,90,1,middleliassic,sectiona
1919,0,-914,0,90,1,middleliassic,sectiona
1982,0,-907,0,90,1,middleliassic,sectiona
2044,0,-882,0,90,1,middleliassic,sectiona
2103,0,-868,0,90,1,middleliassic,sectiona
2158,0,-859,0,90,1,middleliassic,sectiona
692,0,-722,0,90,1,lowerliassic,sectiona
713,0,-748,0,90,1,lowerliassic,sectiona
760,0,-781,0,90,1,lowerliassic,sectiona
803,0,-815,0,90,1,lowerliassic,sectiona
868,0,-838,0,90,1,lowerliassic,sectiona
985,0,-884,0,90,1,lowerliassic,sectiona
1100,0,-925,0,90,1,lowerliassic,sectiona
1230,0,-948,0,90,1,lowerliassic,sectiona
1361,0,-943,0,90,1,lowerliassic,sectiona
1456,0,-947,0,90,1,lowerliassic,sectiona
1544,0,-981,0,90,1,lowerliassic,sectiona
1693,0,-1021,0,90,1,lowerliassic,sectiona
1886,0,-1035,0,90,1,lowerliassic,sectiona
2049,0,-1029,0,90,1,lowerliassic,sectiona
2159,0,-992,0,90,1,lowerliassic,sectiona
320,0,-841,0,90,1,permiantriassic,sectiona
374,0,-849,0,90,1,permiantriassic,sectiona
442,0,-864,0,90,1,permiantriassic,sectiona
491,0,-874,0,90,1,permiantriassic,sectiona
533,0,-887,0,90,1,permiantriassic,sectiona
563,0,-915,0,90,1,permiantriassic,sectiona
590,0,-939,0,90,1,permiantriassic,sectiona
707,0,-993,0,90,1,permiantriassic,sectiona
823,0,-1025,0,90,1,permiantriassic,sectiona
1020,0,-1034,0,90,1,permiantriassic,sectiona
1192,0,-1057,0,90,1,permiantriassic,sectiona
63,0,-926,0,90,1,lowererosion,sectiona
316,0,-927,0,90,1,lowererosion,sectiona
545,0,-929,0,90,1,lowererosion,sectiona
684,0,-878,0,90,1,lowererosion,sectiona
808,0,-811,0,90,1,lowererosion,sectiona
939,0,-760,0,90,1,lowererosion,sectiona
1023,0,-764,0,90,1,lowererosion,sectiona
1064,0,-789,0,90,1,lowererosion,sectiona
1110,0,-781,0,90,1,lowererosion,sectiona
1281,0,-805,0,90,1,lowererosion,sectiona
1456,0,-809,0,90,1,lowererosion,sectiona
1659,0,-886,0,90,1,lowererosion,sectiona
1870,0,-926,0,90,1,lowererosion,sectiona
2024,0,-899,0,90,1,lowererosion,sectiona
2164,0,-850,0,90,1,lowererosion,sectiona
62,1500,-843,0,90,1,topo,sectionb
147,1500,-845,0,90,1,topo,sectionb
232,1500,-837,0,90,1,topo,sectionb
371,1500,-787,0,90,1,topo,sectionb
423,1500,-719,0,90,1,topo,sectionb
469,1500,-658,0,90,1,topo,sectionb
537,1500,-678,0,90,1,topo,sectionb
602,1500,-702,0,90,1,topo,sectionb
673,1500,-742,0,90,1,topo,sectionb
737,1500,-750,0,90,1,topo,sectionb
795,1500,-745,0,90,1,topo,sectionb
825,1500,-751,0,90,1,topo,sectionb
915,1500,-766,0,90,1,topo,sectionb
991,1500,-758,0,90,1,topo,sectionb
1068,1500,-743,0,90,1,topo,sectionb
1234,1500,-747,0,90,1,topo,sectionb
1349,1500,-745,0,90,1,topo,sectionb
1468,1500,-746,0,90,1,topo,sectionb
1576,1500,-765,0,90,1,topo,sectionb
1659,1500,-758,0,90,1,topo,sectionb
1761,1500,-763,0,90,1,topo,sectionb
1914,1500,-764,0,90,1,topo,sectionb
2003,1500,-739,0,90,1,topo,sectionb
2094,1500,-733,0,90,1,topo,sectionb
2178,1500,-723,0,90,1,topo,sectionb
1316,1500,-725,0,90,1,lowercenomonian,sectionb
1382,1500,-745,0,90,1,lowercenomonian,sectionb
1520,1500,-777,0,90,1,lowercenomonian,sectionb
1596,1500,-793,0,90,1,lowercenomonian,sectionb
1666,1500,-800,0,90,1,lowercenomonian,sectionb
1733,1500,-800,0,90,1,lowercenomonian,sectionb
1801,1500,-791,0,90,1,lowercenomonian,sectionb
1869,1500,-798,0,90,1,lowercenomonian,sectionb
1910,1500,-817,0,90,1,lowercenomonian,sectionb
1919,1500,-856,0,90,1,lowercenomonian,sectionb
1963,1500,-832,0,90,1,lowercenomonian,sectionb
2033,1500,-795,0,90,1,lowercenomonian,sectionb
2082,1500,-758,0,90,1,lowercenomonian,sectionb
2119,1500,-720,0,90,1,lowercenomonian,sectionb
1317,1500,-724,0,90,1,toarcian,sectionb
1334,1500,-741,0,90,1,toarcian,sectionb
1372,1500,-755,0,90,1,toarcian,sectionb
1388,1500,-761,0,90,1,toarcian,sectionb
1432,1500,-770,0,90,1,toarcian,sectionb
1481,1500,-785,0,90,1,toarcian,sectionb
1517,1500,-792,0,90,1,toarcian,sectionb
1578,1500,-813,0,90,1,toarcian,sectionb
1628,1500,-825,0,90,1,toarcian,sectionb
1663,1500,-834,0,90,1,toarcian,sectionb
