X,Y,Z,formation,section
1316,1500,-725,lowercenomonian,sectionb
1348,1500,-734,lowercenomonian,sectionb
1382,1500,-745,lowercenomonian,sectionb
1449,1500,-759,lowercenomonian,sectionb
1520,1500,-777,lowercenomonian,sectionb
1556,1500,-783,lowercenomonian,sectionb
1596,1500,-793,lowercenomonian,sectionb
1635,1500,-799,lowercenomonian,sectionb
1666,1500,-800,lowercenomonian,sectionb
1694,1500,-802,lowercenomonian,sectionb
1733,1500,-800,lowercenomonian,sectionb
1765,1500,-794,lowercenomonian,sectionb
1801,1500,-791,lowercenomonian,sectionb
1841,1500,-791,lowercenomonian,sectionb
1869,1500,-798,lowercenomonian,sectionb
1905,1500,-813,lowercenomonian,sectionb
1910,1500,-817,lowercenomonian,sectionb
1912,1500,-835,lowercenomonian,sectionb
1919,1500,-856,lowercenomonian,sectionb
1936,1500,-855,lowercenomonian,sectionb
1963,1500,-832,lowercenomonian,sectionb
1996,1500,-812,lowercenomonian,sectionb
2033,1500,-795,lowercenomonian,sectionb
2063,1500,-776,lowercenomonian,sectionb
2082,1500,-758,lowercenomonian,sectionb
2092,1500,-742,lowercenomonian,sectionb
2119,1500,-720,lowercenomonian,sectionb
