X,Y,Z,formation,section
1418,3000,-729,lowercenomonian,sectionc
1433,3000,-745,lowercenomonian,sectionc
1466,3000,-758,lowercenomonian,sectionc
1517,3000,-758,lowercenomonian,sectionc
1588,3000,-758,lowercenomonian,sectionc
1639,3000,-759,lowercenomonian,sectionc
1704,3000,-766,lowercenomonian,sectionc
1785,3000,-772,lowercenomonian,sectionc
1820,3000,-783,lowercenomonian,sectionc
1853,3000,-785,lowercenomonian,sectionc
1890,3000,-792,lowercenomonian,sectionc
1921,3000,-801,lowercenomonian,sectionc
1973,3000,-802,lowercenomonian,sectionc
2021,3000,-807,lowercenomonian,sectionc
2051,3000,-811,lowercenomonian,sectionc
2130,3000,-810,lowercenomonian,sectionc
2174,3000,-802,lowercenomonian,sectionc
