X,Y,Z,formation,section
61,1500,-943,lowererosion,sectionb
104,1500,-939,lowererosion,sectionb
161,1500,-933,lowererosion,sectionb
250,1500,-925,lowererosion,sectionb
309,1500,-913,lowererosion,sectionb
392,1500,-890,lowererosion,sectionb
441,1500,-878,lowererosion,sectionb
474,1500,-852,lowererosion,sectionb
505,1500,-826,lowererosion,sectionb
521,1500,-801,lowererosion,sectionb
574,1500,-779,lowererosion,sectionb
630,1500,-768,lowererosion,sectionb
672,1500,-768,lowererosion,sectionb
721,1500,-781,lowererosion,sectionb
763,1500,-799,lowererosion,sectionb
807,1500,-825,lowererosion,sectionb
881,1500,-837,lowererosion,sectionb
964,1500,-842,lowererosion,sectionb
1022,1500,-842,lowererosion,sectionb
1108,1500,-842,lowererosion,sectionb
1201,1500,-834,lowererosion,sectionb
1230,1500,-813,lowererosion,sectionb
1269,1500,-790,lowererosion,sectionb
1326,1500,-784,lowererosion,sectionb
1362,1500,-787,lowererosion,sectionb
1428,1500,-810,lowererosion,sectionb
1484,1500,-824,lowererosion,sectionb
1563,1500,-846,lowererosion,sectionb
1617,1500,-867,lowererosion,sectionb
1675,1500,-874,lowererosion,sectionb
1748,1500,-870,lowererosion,sectionb
1785,1500,-864,lowererosion,sectionb
1831,1500,-863,lowererosion,sectionb
1875,1500,-872,lowererosion,sectionb
1914,1500,-880,lowererosion,sectionb
1923,1500,-866,lowererosion,sectionb
1919,1500,-862,lowererosion,sectionb
1949,1500,-842,lowererosion,sectionb
1980,1500,-819,lowererosion,sectionb
2033,1500,-799,lowererosion,sectionb
2073,1500,-771,lowererosion,sectionb
2101,1500,-737,lowererosion,sectionb
2117,1500,-719,lowererosion,sectionb
2147,1500,-692,lowererosion,sectionb
2170,1500,-680,lowererosion,sectionb
