X,Y,Z,formation,section
71,3000,-823,lowererosion,sectionc
132,3000,-837,lowererosion,sectionc
187,3000,-849,lowererosion,sectionc
293,3000,-847,lowererosion,sectionc
411,3000,-841,lowererosion,sectionc
476,3000,-815,lowererosion,sectionc
519,3000,-798,lowererosion,sectionc
566,3000,-787,lowererosion,sectionc
611,3000,-790,lowererosion,sectionc
657,3000,-803,lowererosion,sectionc
718,3000,-799,lowererosion,sectionc
805,3000,-784,lowererosion,sectionc
866,3000,-780,lowererosion,sectionc
932,3000,-780,lowererosion,sectionc
997,3000,-798,lowererosion,sectionc
1057,3000,-810,lowererosion,sectionc
1089,3000,-815,lowererosion,sectionc
1132,3000,-831,lowererosion,sectionc
1148,3000,-838,lowererosion,sectionc
1176,3000,-840,lowererosion,sectionc
1214,3000,-836,lowererosion,sectionc
1272,3000,-826,lowererosion,sectionc
1322,3000,-824,lowererosion,sectionc
1364,3000,-824,lowererosion,sectionc
1405,3000,-838,lowererosion,sectionc
1449,3000,-865,lowererosion,sectionc
1473,3000,-878,lowererosion,sectionc
1508,3000,-877,lowererosion,sectionc
1588,3000,-865,lowererosion,sectionc
1655,3000,-863,lowererosion,sectionc
1750,3000,-867,lowererosion,sectionc
1803,3000,-878,lowererosion,sectionc
1866,3000,-903,lowererosion,sectionc
1908,3000,-927,lowererosion,sectionc
1928,3000,-938,lowererosion,sectionc
1940,3000,-938,lowererosion,sectionc
1972,3000,-938,lowererosion,sectionc
2002,3000,-950,lowererosion,sectionc
2013,3000,-956,lowererosion,sectionc
2043,3000,-984,lowererosion,sectionc
2064,3000,-1003,lowererosion,sectionc
