X,Y,Z,formation,section
692,0,-722,lowerliassic,sectiona
713,0,-748,lowerliassic,sectiona
760,0,-781,lowerliassic,sectiona
803,0,-815,lowerliassic,sectiona
868,0,-838,lowerliassic,sectiona
985,0,-884,lowerliassic,sectiona
1100,0,-925,lowerliassic,sectiona
1230,0,-948,lowerliassic,sectiona
1361,0,-943,lowerliassic,sectiona
1456,0,-947,lowerliassic,sectiona
1544,0,-981,lowerliassic,sectiona
1693,0,-1021,lowerliassic,sectiona
1886,0,-1035,lowerliassic,sectiona
2049,0,-1029,lowerliassic,sectiona
2159,0,-992,lowerliassic,sectiona
