X,Y,Z,formation,section
899,3000,-704,middleliassic,sectionc
944,3000,-737,middleliassic,sectionc
984,3000,-758,middleliassic,sectionc
1026,3000,-780,middleliassic,sectionc
1061,3000,-801,middleliassic,sectionc
1093,3000,-817,middleliassic,sectionc
1127,3000,-831,middleliassic,sectionc
1158,3000,-842,middleliassic,sectionc
1201,3000,-838,middleliassic,sectionc
1253,3000,-826,middleliassic,sectionc
1300,3000,-823,middleliassic,sectionc
1340,3000,-815,middleliassic,sectionc
1371,3000,-828,middleliassic,sectionc
1406,3000,-840,middleliassic,sectionc
1432,3000,-860,middleliassic,sectionc
1467,3000,-872,middleliassic,sectionc
1515,3000,-875,middleliassic,sectionc
1580,3000,-854,middleliassic,sectionc
1628,3000,-854,middleliassic,sectionc
1702,3000,-853,middleliassic,sectionc
1769,3000,-864,middleliassic,sectionc
1806,3000,-880,middleliassic,sectionc
1875,3000,-911,middleliassic,sectionc
1910,3000,-927,middleliassic,sectionc
1930,3000,-942,middleliassic,sectionc
1936,3000,-942,middleliassic,sectionc
1968,3000,-934,middleliassic,sectionc
1984,3000,-935,middleliassic,sectionc
2014,3000,-950,middleliassic,sectionc
2016,3000,-964,middleliassic,sectionc
2045,3000,-984,middleliassic,sectionc
2082,3000,-1008,middleliassic,sectionc
