X,Y,Z,formation,section
1317,1500,-724,toarcian,sectionb
1334,1500,-741,toarcian,sectionb
1372,1500,-755,toarcian,sectionb
1388,1500,-761,toarcian,sectionb
1432,1500,-770,toarcian,sectionb
1481,1500,-785,toarcian,sectionb
1517,1500,-792,toarcian,sectionb
1578,1500,-813,toarcian,sectionb
1628,1500,-825,toarcian,sectionb
1663,1500,-834,toarcian,sectionb
1696,1500,-835,toarcian,sectionb
1742,1500,-829,toarcian,sectionb
1765,1500,-825,toarcian,sectionb
1805,1500,-822,toarcian,sectionb
1847,1500,-822,toarcian,sectionb
1875,1500,-829,toarcian,sectionb
1910,1500,-844,toarcian,sectionb
