X,Y,Z,formation,section
1421,3000,-720,toarcian,sectionc
1422,3000,-735,toarcian,sectionc
1434,3000,-762,toarcian,sectionc
1456,3000,-775,toarcian,sectionc
1486,3000,-781,toarcian,sectionc
1522,3000,-780,toarcian,sectionc
1563,3000,-769,toarcian,sectionc
1617,3000,-760,toarcian,sectionc
1654,3000,-759,toarcian,sectionc
1705,3000,-758,toarcian,sectionc
1755,3000,-758,toarcian,sectionc
1800,3000,-771,toarcian,sectionc
1834,3000,-784,toarcian,sectionc
1860,3000,-796,toarcian,sectionc
1885,3000,-808,toarcian,sectionc
1922,3000,-828,toarcian,sectionc
1933,3000,-836,toarcian,sectionc
1967,3000,-836,toarcian,sectionc
2010,3000,-832,toarcian,sectionc
2033,3000,-843,toarcian,sectionc
2060,3000,-851,toarcian,sectionc
2112,3000,-855,toarcian,sectionc
2173,3000,-864,toarcian,sectionc
