X,Y,Z,formation,section
62,1500,-843,topo,sectionb
113,1500,-845,topo,sectionb
147,1500,-845,topo,sectionb
182,1500,-844,topo,sectionb
232,1500,-837,topo,sectionb
301,1500,-816,topo,sectionb
371,1500,-787,topo,sectionb
389,1500,-759,topo,sectionb
423,1500,-719,topo,sectionb
443,1500,-684,topo,sectionb
469,1500,-658,topo,sectionb
494,1500,-657,topo,sectionb
537,1500,-678,topo,sectionb
560,1500,-678,topo,sectionb
602,1500,-702,topo,sectionb
643,1500,-726,topo,sectionb
673,1500,-742,topo,sectionb
702,1500,-757,topo,sectionb
737,1500,-750,topo,sectionb
764,1500,-746,topo,sectionb
795,1500,-745,topo,sectionb
901,1500,-769,topo,sectionb
825,1500,-751,topo,sectionb
877,1500,-766,topo,sectionb
915,1500,-766,topo,sectionb
947,1500,-759,topo,sectionb
991,1500,-758,topo,sectionb
1039,1500,-743,topo,sectionb
1068,1500,-743,topo,sectionb
1138,1500,-744,topo,sectionb
1234,1500,-747,topo,sectionb
1291,1500,-747,topo,sectionb
1349,1500,-745,topo,sectionb
1401,1500,-745,topo,sectionb
1468,1500,-746,topo,sectionb
1523,1500,-753,topo,sectionb
1576,1500,-765,topo,sectionb
1620,1500,-762,topo,sectionb
1659,1500,-758,topo,sectionb
1703,1500,-763,topo,sectionb
1761,1500,-763,topo,sectionb
1843,1500,-764,topo,sectionb
1914,1500,-764,topo,sectionb
1948,1500,-753,topo,sectionb
2003,1500,-739,topo,sectionb
2044,1500,-739,topo,sectionb
2094,1500,-733,topo,sectionb
2178,1500,-723,topo,sectionb
