X,Y,Z,formation,section
62,3000,-831,topo,sectionc
102,3000,-822,topo,sectionc
140,3000,-797,topo,sectionc
191,3000,-780,topo,sectionc
227,3000,-775,topo,sectionc
322,3000,-768,topo,sectionc
361,3000,-766,topo,sectionc
404,3000,-759,topo,sectionc
437,3000,-741,topo,sectionc
475,3000,-721,topo,sectionc
502,3000,-698,topo,sectionc
550,3000,-695,topo,sectionc
582,3000,-695,topo,sectionc
608,3000,-689,topo,sectionc
639,3000,-699,topo,sectionc
659,3000,-709,topo,sectionc
689,3000,-709,topo,sectionc
713,3000,-721,topo,sectionc
739,3000,-713,topo,sectionc
777,3000,-708,topo,sectionc
812,3000,-721,topo,sectionc
840,3000,-717,topo,sectionc
914,3000,-717,topo,sectionc
973,3000,-722,topo,sectionc
1003,3000,-728,topo,sectionc
1080,3000,-728,topo,sectionc
1140,3000,-733,topo,sectionc
1162,3000,-739,topo,sectionc
1229,3000,-735,topo,sectionc
1293,3000,-728,topo,sectionc
1361,3000,-728,topo,sectionc
1418,3000,-731,topo,sectionc
1449,3000,-731,topo,sectionc
1493,3000,-734,topo,sectionc
1514,3000,-744,topo,sectionc
1560,3000,-739,topo,sectionc
1621,3000,-733,topo,sectionc
1682,3000,-732,topo,sectionc
1732,3000,-738,topo,sectionc
1786,3000,-753,topo,sectionc
1862,3000,-769,topo,sectionc
1962,3000,-780,topo,sectionc
2007,3000,-779,topo,sectionc
2052,3000,-764,topo,sectionc
2108,3000,-744,topo,sectionc
2165,3000,-720,topo,sectionc
