X,Y,Z,formation,section
1073,0,-649,upperliassic,sectiona
1120,0,-679,upperliassic,sectiona
1176,0,-683,upperliassic,sectiona
1205,0,-693,upperliassic,sectiona
1273,0,-700,upperliassic,sectiona
1365,0,-701,upperliassic,sectiona
1430,0,-702,upperliassic,sectiona
1506,0,-715,upperliassic,sectiona
1542,0,-715,upperliassic,sectiona
1558,0,-715,upperliassic,sectiona
1578,0,-722,upperliassic,sectiona
1589,0,-743,upperliassic,sectiona
1606,0,-766,upperliassic,sectiona
1652,0,-788,upperliassic,sectiona
1705,0,-810,upperliassic,sectiona
1768,0,-822,upperliassic,sectiona
1820,0,-826,upperliassic,sectiona
1863,0,-826,upperliassic,sectiona
1909,0,-825,upperliassic,sectiona
1978,0,-809,upperliassic,sectiona
2037,0,-800,upperliassic,sectiona
2107,0,-791,upperliassic,sectiona
2166,0,-775,upperliassic,sectiona
