X,Y,Z,formation,section
1023,1500,-736,upperliassic,sectionb
1047,1500,-748,upperliassic,sectionb
1081,1500,-770,upperliassic,sectionb
1124,1500,-783,upperliassic,sectionb
1171,1500,-793,upperliassic,sectionb
1221,1500,-798,upperliassic,sectionb
1265,1500,-790,upperliassic,sectionb
1305,1500,-781,upperliassic,sectionb
1342,1500,-781,upperliassic,sectionb
1366,1500,-789,upperliassic,sectionb
1411,1500,-805,upperliassic,sectionb
1432,1500,-805,upperliassic,sectionb
1462,1500,-814,upperliassic,sectionb
1518,1500,-827,upperliassic,sectionb
1563,1500,-840,upperliassic,sectionb
1616,1500,-855,upperliassic,sectionb
1660,1500,-864,upperliassic,sectionb
1702,1500,-868,upperliassic,sectionb
1750,1500,-860,upperliassic,sectionb
1797,1500,-858,upperliassic,sectionb
1825,1500,-858,upperliassic,sectionb
1879,1500,-862,upperliassic,sectionb
1919,1500,-878,upperliassic,sectionb
1975,1500,-897,upperliassic,sectionb
2028,1500,-908,upperliassic,sectionb
2133,1500,-914,upperliassic,sectionb
