X,Y,Z,formation,section
1070,3000,-706,upperliassic,sectionc
1100,3000,-736,upperliassic,sectionc
1116,3000,-752,upperliassic,sectionc
1145,3000,-765,upperliassic,sectionc
1207,3000,-764,upperliassic,sectionc
1266,3000,-755,upperliassic,sectionc
1308,3000,-753,upperliassic,sectionc
1368,3000,-753,upperliassic,sectionc
1391,3000,-756,upperliassic,sectionc
1424,3000,-771,upperliassic,sectionc
1444,3000,-792,upperliassic,sectionc
1474,3000,-807,upperliassic,sectionc
1522,3000,-804,upperliassic,sectionc
1583,3000,-801,upperliassic,sectionc
1645,3000,-791,upperliassic,sectionc
1698,3000,-791,upperliassic,sectionc
1781,3000,-794,upperliassic,sectionc
1817,3000,-813,upperliassic,sectionc
1843,3000,-822,upperliassic,sectionc
1885,3000,-840,upperliassic,sectionc
1928,3000,-860,upperliassic,sectionc
1956,3000,-861,upperliassic,sectionc
1997,3000,-861,upperliassic,sectionc
2020,3000,-878,upperliassic,sectionc
2048,3000,-893,upperliassic,sectionc
2090,3000,-908,upperliassic,sectionc
2168,3000,-925,upperliassic,sectionc
