X,Y,Z,formation
330.0,1705.0,-184.2,4
330.0,1705.0,-172.60000000000002,4
330.0,1767.0,-207.39999999999998,4
330.0,1767.0,-195.8,4
330.0,1767.0,-184.2,4
330.0,1767.0,-172.60000000000002,4
330.0,1767.0,-161.0,4
330.0,1767.0,-149.39999999999998,4
330.0,1829.0,-219.0,4
330.0,1829.0,-207.39999999999998,4
330.0,1829.0,-195.8,4
330.0,1829.0,-184.2,4
330.0,1829.0,-172.60000000000002,4
330.0,1829.0,-161.0,4
330.0,1829.0,-149.39999999999998,4
330.0,1829.0,-137.8,4
330.0,1891.0,-172.60000000000002,4
330.0,1891.0,-161.0,4
330.0,1891.0,-149.39999999999998,4
330.0,1891.0,-137.8,4
330.0,1891.0,-126.19999999999999,4
330.0,1891.0,-114.60000000000002,4
330.0,1891.0,-103.0,4
330.0,1891.0,-91.39999999999998,4
330.0,1891.0,-79.80000000000001,4
330.0,1891.0,-68.19999999999999,4
330.0,1953.0,-56.60000000000002,4
374.0,713.0,-137.8,4
374.0,775.0,-126.19999999999999,4
374.0,775.0,-114.60000000000002,4
374.0,837.0,-91.39999999999998,4
374.0,1705.0,-207.39999999999998,4
374.0,1705.0,-195.8,4
374.0,1705.0,-184.2,4
374.0,1705.0,-172.60000000000002,4
374.0,1705.0,-161.0,4
374.0,1767.0,-230.6,4
374.0,1767.0,-219.0,4
374.0,1767.0,-207.39999999999998,4
374.0,1767.0,-195.8,4
374.0,1767.0,-184.2,4
374.0,1829.0,-230.6,4
374.0,1829.0,-219.0,4
374.0,1829.0,-207.39999999999998,4
374.0,1829.0,-195.8,4
374.0,1829.0,-184.2,4
374.0,1891.0,-207.39999999999998,4
374.0,1891.0,-195.8,4
374.0,1891.0,-184.2,4
374.0,1891.0,-172.60000000000002,4
374.0,1891.0,-161.0,4
374.0,1891.0,-149.39999999999998,4
374.0,1891.0,-137.8,4
374.0,1891.0,-126.19999999999999,4
374.0,1953.0,-126.19999999999999,4
374.0,1953.0,-114.60000000000002,4
374.0,1953.0,-103.0,4
374.0,1953.0,-91.39999999999998,4
374.0,1953.0,-79.80000000000001,4
374.0,1953.0,-68.19999999999999,4
374.0,1953.0,-56.60000000000002,4
374.0,1953.0,-45.0,4
418.0,651.0,-184.2,4
418.0,651.0,-172.60000000000002,4
418.0,651.0,-161.0,4
418.0,651.0,-149.39999999999998,4
418.0,713.0,-184.2,4
418.0,713.0,-172.60000000000002,4
418.0,713.0,-161.0,4
418.0,713.0,-149.39999999999998,4
418.0,713.0,-137.8,4
418.0,775.0,-161.0,4
418.0,775.0,-149.39999999999998,4
418.0,775.0,-137.8,4
418.0,775.0,-126.19999999999999,4
418.0,837.0,-126.19999999999999,4
418.0,837.0,-114.60000000000002,4
418.0,837.0,-103.0,4
