X,Y,Z,formation,section
5,0,-37,topo,sectiona
94,0,-37,topo,sectiona
191,0,-21,topo,sectiona
314,0,-29,topo,sectiona
388,0,-32,topo,sectiona
493,0,-16,topo,sectiona
637,0,-13,topo,sectiona
801,0,-13,topo,sectiona
927,0,-19,topo,sectiona
1059,0,-20,topo,sectiona
1149,0,-25,topo,sectiona
1235,0,-21,topo,sectiona
1315,0,-8,topo,sectiona
1405,0,-21,topo,sectiona
1459,0,-11,topo,sectiona
1538,0,-11,topo,sectiona
1584,0,-8,topo,sectiona
8,0,-903,linglongbiotitegranite,sectiona
77,0,-856,linglongbiotitegranite,sectiona
172,0,-801,linglongbiotitegranite,sectiona
245,0,-741,linglongbiotitegranite,sectiona
344,0,-671,linglongbiotitegranite,sectiona
418,0,-632,linglongbiotitegranite,sectiona
494,0,-617,linglongbiotitegranite,sectiona
546,0,-547,linglongbiotitegranite,sectiona
569,0,-483,linglongbiotitegranite,sectiona
688,0,-432,linglongbiotitegranite,sectiona
793,0,-383,linglongbiotitegranite,sectiona
881,0,-331,linglongbiotitegranite,sectiona
989,0,-262,linglongbiotitegranite,sectiona
1091,0,-201,linglongbiotitegranite,sectiona
1187,0,-147,linglongbiotitegranite,sectiona
1301,0,-97,linglongbiotitegranite,sectiona
1384,0,-60,linglongbiotitegranite,sectiona
1455,0,-24,linglongbiotitegranite,sectiona

4,0,-953,pyritesericitequartzalterationzone,sectiona
92,0,-910,pyritesericitequartzalterationzone,sectiona
198,0,-854,pyritesericitequartzalterationzone,sectiona
277,0,-811,pyritesericitequartzalterationzone,sectiona
396,0,-718,pyritesericitequartzalterationzone,sectiona
509,0,-647,pyritesericitequartzalterationzone,sectiona
613,0,-577,pyritesericitequartzalterationzone,sectiona
697,0,-507,pyritesericitequartzalterationzone,sectiona
815,0,-422,pyritesericitequartzalterationzone,sectiona
925,0,-359,pyritesericitequartzalterationzone,sectiona
1040,0,-291,pyritesericitequartzalterationzone,sectiona
1221,0,-189,pyritesericitequartzalterationzone,sectiona
1287,0,-149,pyritesericitequartzalterationzone,sectiona
1397,0,-96,pyritesericitequartzalterationzone,sectiona
1511,0,-27,pyritesericitequartzalterationzone,sectiona
1588,0,0,pyritesericitequartzalterationzone,sectiona
1537,0,-47,pyritesericitequartzalterationzone,sectiona
1483,0,-73,pyritesericitequartzalterationzone,sectiona
1415,0,-126,pyritesericitequartzalterationzone,sectiona
1352,0,-159,pyritesericitequartzalterationzone,sectiona
1299,0,-199,pyritesericitequartzalterationzone,sectiona
1192,0,-240,pyritesericitequartzalterationzone,sectiona
1072,0,-289,pyritesericitequartzalterationzone,sectiona
992,0,-340,pyritesericitequartzalterationzone,sectiona
929,0,-388,pyritesericitequartzalterationzone,sectiona
872,0,-433,pyritesericitequartzalterationzone,sectiona
806,0,-477,pyritesericitequartzalterationzone,sectiona
762,0,-520,pyritesericitequartzalterationzone,sectiona
727,0,-544,pyritesericitequartzalterationzone,sectiona
682,0,-590,pyritesericitequartzalterationzone,sectiona
616,0,-626,pyritesericitequartzalterationzone,sectiona
574,0,-667,pyritesericitequartzalterationzone,sectiona
528,0,-689,pyritesericitequartzalterationzone,sectiona
490,0,-729,pyritesericitequartzalterationzone,sectiona
418,0,-766,pyritesericitequartzalterationzone,sectiona
363,0,-789,pyritesericitequartzalterationzone,sectiona
293,0,-829,pyritesericitequartzalterationzone,sectiona
224,0,-863,pyritesericitequartzalterationzone,sectiona
150,0,-895,pyritesericitequartzalterationzone,sectiona
77,0,-937,pyritesericitequartzalterationzone,sectiona
7,0,-972,pyritesericitequartzalterationzone,sectiona
3,0,-1065,sericitequartzalterationzone,sectiona
116,0,-993,sericitequartzalterationzone,sectiona
238,0,-925,sericitequartzalterationzone,sectiona
359,0,-857,sericitequartzalterationzone,sectiona
434,0,-801,sericitequartzalterationzone,sectiona
508,0,-742,sericitequartzalterationzone,sectiona
597,0,-692,sericitequartzalterationzone,sectiona
673,0,-632,sericitequartzalterationzone,sectiona
751,0,-574,sericitequartzalterationzone,sectiona
822,0,-509,sericitequartzalterationzone,sectiona
894,0,-456,sericitequartzalterationzone,sectiona
1016,0,-379,sericitequartzalterationzone,sectiona
1152,0,-312,sericitequartzalterationzone,sectiona
1262,0,-252,sericitequartzalterationzone,sectiona
1381,0,-197,sericitequartzalterationzone,sectiona
1467,0,-138,sericitequartzalterationzone,sectiona
1542,0,-86,sericitequartzalterationzone,sectiona
1582,0,-49,sericitequartzalterationzone,sectiona
3,0,-1164,Kfeldspathizationzone,sectiona
199,0,-1116,Kfeldspathizationzone,sectiona
368,0,-1075,Kfeldspathizationzone,sectiona
530,0,-994,Kfeldspathizationzone,sectiona
709,0,-900,Kfeldspathizationzone,sectiona
846,0,-818,Kfeldspathizationzone,sectiona
951,0,-726,Kfeldspathizationzone,sectiona
1049,0,-655,Kfeldspathizationzone,sectiona
1174,0,-557,Kfeldspathizationzone,sectiona
1265,0,-475,Kfeldspathizationzone,sectiona
1317,0,-423,Kfeldspathizationzone,sectiona
1416,0,-331,Kfeldspathizationzone,sectiona
1513,0,-246,Kfeldspathizationzone,sectiona
1574,0,-180,Kfeldspathizationzone,sectiona

1.100485,1000,-22.26774,topo,sectionb
168.374205,1000,-28.34076,topo,sectionb
365.36102,1000,-26.31642,topo,sectionb
550.2425,1000,-8.09736,topo,sectionb
743.92786,1000,-5.06085,topo,sectionb
911.20158,1000,-5.06085,topo,sectionb
1079.575785,1000,-13.15821,topo,sectionb
1221.53835,1000,-17.20689,topo,sectionb
1351.39558,1000,-10.1217,topo,sectionb
