X,Y,Z,dip,azimuth,polarity,formation,section
5,0,-37,0,90,1,topo,sectiona
191,0,-21,0,90,1,topo,sectiona
388,0,-32,0,90,1,topo,sectiona
637,0,-13,0,90,1,topo,sectiona
927,0,-19,0,90,1,topo,sectiona
1149,0,-25,0,90,1,topo,sectiona
1315,0,-8,0,90,1,topo,sectiona
1459,0,-11,0,90,1,topo,sectiona
1584,0,-8,0,90,1,topo,sectiona
8,0,-903,-40,90,1,linglongbiotitegranite,sectiona
172,0,-801,-40,90,1,linglongbiotitegranite,sectiona
344,0,-671,-40,90,1,linglongbiotitegranite,sectiona
494,0,-617,-40,90,1,linglongbiotitegranite,sectiona
569,0,-483,-40,90,1,linglongbiotitegranite,sectiona
793,0,-383,-40,90,1,linglongbiotitegranite,sectiona
989,0,-262,-40,90,1,linglongbiotitegranite,sectiona
1187,0,-147,-40,90,1,linglongbiotitegranite,sectiona
1384,0,-60,-40,90,1,linglongbiotitegranite,sectiona
1455,0,-24,-40,90,1,linglongbiotitegranite,sectiona
4,0,-953,130,90,.5,pyritesericitequartzalterationzone,sectiona
92,0,-910,130,90,.5,pyritesericitequartzalterationzone,sectiona
198,0,-854,130,90,.5,pyritesericitequartzalterationzone,sectiona
277,0,-811,130,90,.5,pyritesericitequartzalterationzone,sectiona
396,0,-718,130,90,.5,pyritesericitequartzalterationzone,sectiona
509,0,-647,130,90,.5,pyritesericitequartzalterationzone,sectiona
613,0,-577,130,90,.5,pyritesericitequartzalterationzone,sectiona
697,0,-507,130,90,.5,pyritesericitequartzalterationzone,sectiona
815,0,-422,130,90,.5,pyritesericitequartzalterationzone,sectiona
925,0,-359,130,90,.5,pyritesericitequartzalterationzone,sectiona
1040,0,-291,130,90,.5,pyritesericitequartzalterationzone,sectiona
1221,0,-189,130,90,.5,pyritesericitequartzalterationzone,sectiona
1287,0,-149,130,90,.5,pyritesericitequartzalterationzone,sectiona
1397,0,-96,130,90,.5,pyritesericitequartzalterationzone,sectiona
1511,0,-27,130,90,.5,pyritesericitequartzalterationzone,sectiona
1588,0,0,130,90,.5,pyritesericitequartzalterationzone,sectiona
1537,0,-47,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1483,0,-73,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1415,0,-126,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1352,0,-159,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1299,0,-199,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1192,0,-240,-40,90,.5,pyritesericitequartzalterationzone,sectiona
1072,0,-289,-40,90,.5,pyritesericitequartzalterationzone,sectiona
992,0,-340,-40,90,.5,pyritesericitequartzalterationzone,sectiona
929,0,-388,-40,90,.5,pyritesericitequartzalterationzone,sectiona
872,0,-433,-40,90,.5,pyritesericitequartzalterationzone,sectiona
806,0,-477,-40,90,.5,pyritesericitequartzalterationzone,sectiona
762,0,-520,-40,90,.5,pyritesericitequartzalterationzone,sectiona
727,0,-544,-40,90,.5,pyritesericitequartzalterationzone,sectiona
682,0,-590,-40,90,.5,pyritesericitequartzalterationzone,sectiona
616,0,-626,-40,90,.5,pyritesericitequartzalterationzone,sectiona
574,0,-667,-40,90,.5,pyritesericitequartzalterationzone,sectiona
528,0,-689,-40,90,.5,pyritesericitequartzalterationzone,sectiona
490,0,-729,-40,90,.5,pyritesericitequartzalterationzone,sectiona
418,0,-766,-40,90,.5,pyritesericitequartzalterationzone,sectiona
363,0,-789,-40,90,.5,pyritesericitequartzalterationzone,sectiona
293,0,-829,-40,90,.5,pyritesericitequartzalterationzone,sectiona
224,0,-863,-40,90,.5,pyritesericitequartzalterationzone,sectiona
150,0,-895,-40,90,.5,pyritesericitequartzalterationzone,sectiona
77,0,-937,-40,90,.5,pyritesericitequartzalterationzone,sectiona
7,0,-972,-40,90,.5,pyritesericitequartzalterationzone,sectiona
3,0,-1065,-40,90,1,sericitequartzalterationzone,sectiona
238,0,-925,-40,90,1,sericitequartzalterationzone,sectiona
434,0,-801,-40,90,1,sericitequartzalterationzone,sectiona
597,0,-692,-40,90,1,sericitequartzalterationzone,sectiona
751,0,-574,-40,90,1,sericitequartzalterationzone,sectiona
894,0,-456,-40,90,1,sericitequartzalterationzone,sectiona
1152,0,-312,-40,90,1,sericitequartzalterationzone,sectiona
1381,0,-197,-40,90,1,sericitequartzalterationzone,sectiona
1542,0,-86,-40,90,1,sericitequartzalterationzone,sectiona
1582,0,-49,-40,90,1,sericitequartzalterationzone,sectiona
3,0,-1164,-40,90,1,Kfeldspathizationzone,sectiona
368,0,-1075,-40,90,1,Kfeldspathizationzone,sectiona
709,0,-900,-40,90,1,Kfeldspathizationzone,sectiona
951,0,-726,-40,90,1,Kfeldspathizationzone,sectiona
1174,0,-557,-40,90,1,Kfeldspathizationzone,sectiona
1317,0,-423,-40,90,1,Kfeldspathizationzone,sectiona
1513,0,-246,-40,90,1,Kfeldspathizationzone,sectiona
1574,0,-180,-40,90,1,Kfeldspathizationzone,sectiona

1.100485,1000,-22.26774,0,90,1,topo,sectionb
365.36102,1000,-26.31642,0,90,1,topo,sectionb
743.92786,1000,-5.06085,0,90,1,topo,sectionb
1079.575785,1000,-13.15821,0,90,1,topo,sectionb
1351.39558,1000,-10.1217,0,90,1,topo,sectionb
1575.89452,1000,0,0,90,1,topo,sectionb

5.502425,1000,-893.74611,-40,90,1,linglongbiotitegranite,sectionb
173.87663,1000,-789.4926,-40,90,1,linglongbiotitegranite,sectionb
400.57654,1000,-640.70361,-40,90,1,linglongbiotitegranite,sectionb
565.64929,1000,-513.17019,-40,90,1,linglongbiotitegranite,sectionb
820.96181,1000,-410.94102,-40,90,1,linglongbiotitegranite,sectionb
1092.781605,1000,-273.2859,-40,90,1,linglongbiotitegranite,sectionb
1364.6014,1000,-145.75248,-40,90,1,linglongbiotitegranite,sectionb
1569.29161,1000,-66.80322,-40,90,1,linglongbiotitegranite,sectionb
1.100485,1000,-944.35461,130,90,3,pyritesericitequartzalterationzone,sectionb
138.66111,1000,-872.49054,130,90,3,pyritesericitequartzalterationzone,sectionb
266.31737,1000,-783.41958,130,90,3,pyritesericitequartzalterationzone,sectionb
397.275085,1000,-710.54334,130,90,3,pyritesericitequartzalterationzone,sectionb
557.945895,1000,-625.52106,130,90,3,pyritesericitequartzalterationzone,sectionb
704.3104,1000,-546.5718,130,90,3,pyritesericitequartzalterationzone,sectionb
826.464235,1000,-481.79292,130,90,3,pyritesericitequartzalterationzone,sectionb
949.718555,1000,-411.95319,130,90,3,pyritesericitequartzalterationzone,sectionb
1077.374815,1000,-346.16214,130,90,3,pyritesericitequartzalterationzone,sectionb
1188.5238,1000,-289.48062,130,90,3,pyritesericitequartzalterationzone,sectionb
1322.78297,1000,-226.72608,130,90,3,pyritesericitequartzalterationzone,sectionb
1448.23826,1000,-164.98371,130,90,3,pyritesericitequartzalterationzone,sectionb
1549.48288,1000,-117.41172,130,90,3,pyritesericitequartzalterationzone,sectionb
1587.999855,1000,-121.4604,130,90,3,pyritesericitequartzalterationzone,sectionb
1507.66445,1000,-189.27579,-40,90,3,pyritesericitequartzalterationzone,sectionb
1398.716435,1000,-230.77476,-40,90,3,pyritesericitequartzalterationzone,sectionb
1287.56745,1000,-264.17637,-40,90,3,pyritesericitequartzalterationzone,sectionb
1186.32283,1000,-317.82138,-40,90,3,pyritesericitequartzalterationzone,sectionb
1090.580635,1000,-360.33252,-40,90,3,pyritesericitequartzalterationzone,sectionb
982.733105,1000,-425.1114,-40,90,3,pyritesericitequartzalterationzone,sectionb
