,X,Y,Z,grade,borehole
0,682.8399999999999,1065.5,-666.26,7.822056604982117,1.0
2,682.8399999999999,1065.5,-617.6999999999999,7.819028996518896,1.0
4,682.8399999999999,1065.5,-569.14,7.816038319274966,1.0
6,174.67999999999998,559.5,-957.6199999999999,7.895665057440714,2.0
8,174.67999999999998,559.5,-909.06,7.856157417929731,2.0
10,174.67999999999998,559.5,-860.5,7.815059665839518,2.0
12,873.3999999999999,858.5,-544.86,7.819545599687835,3.0
14,873.3999999999999,858.5,-496.29999999999995,7.810597574493513,3.0
16,460.5199999999999,536.5,-811.9399999999999,7.9466129896321585,4.0
18,460.5199999999999,536.5,-763.3799999999999,7.882954096660125,4.0
20,460.5199999999999,536.5,-714.8199999999999,7.816542465115904,4.0
22,714.5999999999999,651.5,-666.26,7.870624901006091,5.0
24,714.5999999999999,651.5,-617.6999999999999,7.837595324783739,5.0
26,714.5999999999999,651.5,-569.14,7.804552495329416,5.0
28,365.23999999999995,628.5,-860.5,7.893020719620452,6.0
30,365.23999999999995,628.5,-811.9399999999999,7.8594250400201,6.0
32,365.23999999999995,628.5,-763.3799999999999,7.824395066455659,6.0
34,269.96,513.5,-933.3399999999999,7.960889650989993,7.0
36,269.96,513.5,-884.78,7.901478453016178,7.0
38,269.96,513.5,-836.2199999999999,7.8378386808476295,7.0
40,1191.0,1065.5,-374.9,7.815084462588327,8.0
42,1191.0,1065.5,-326.34000000000003,7.813276791510926,8.0
44,365.23999999999995,697.5,-860.5,7.871015089864607,9.0
46,365.23999999999995,697.5,-811.9399999999999,7.848937595821285,9.0
48,365.23999999999995,697.5,-763.3799999999999,7.825845696029123,9.0
50,1000.4399999999998,214.5,-423.4599999999999,7.446870502499009,10.0
52,1000.4399999999998,214.5,-374.9,7.243601714158534,10.0
54,1063.96,720.5,-472.02,7.813219173239535,11.0
56,1063.96,720.5,-423.4599999999999,7.797290574379329,11.0
58,1063.96,720.5,-374.9,7.782763030640005,11.0
60,1349.8,996.5,-302.05999999999995,7.81568712451782,12.0
62,1349.8,996.5,-253.5,7.813585841438024,12.0
64,1349.8,996.5,-204.93999999999994,7.811635266136909,12.0
66,1349.8,996.5,-277.78,7.814622017810123,13.0
68,1349.8,996.5,-229.22000000000003,7.812587446650257,13.0
70,873.3999999999999,421.5,-569.14,7.960650698584637,14.0
72,873.3999999999999,421.5,-520.5799999999999,7.828152473071846,14.0
74,873.3999999999999,421.5,-472.02,7.701039620021052,14.0
76,428.75999999999993,398.5,-836.2199999999999,8.106775384803223,15.0
78,428.75999999999993,398.5,-787.6599999999999,7.956100288570171,15.0
80,428.75999999999993,398.5,-739.0999999999999,7.793515208013749,15.0
82,1222.76,605.5,-374.9,7.785218323649143,16.0
84,1222.76,605.5,-326.34000000000003,7.764400757119115,16.0
86,1222.76,605.5,-277.78,7.746093295901323,16.0
88,1254.52,352.5,-326.34000000000003,7.624099309341095,17.0
90,1254.52,352.5,-277.78,7.560544378755773,17.0
92,1254.52,352.5,-229.22000000000003,7.511788739378416,17.0
94,1095.72,30.5,-326.34000000000003,7.450586393205415,18.0
96,1095.72,30.5,-277.78,7.34121531302185,18.0
98,1222.76,76.5,-253.5,7.343140771763777,19.0
100,1222.76,76.5,-204.93999999999994,7.296307479527265,19.0
102,238.19999999999996,237.5,-909.06,7.886134034014743,20.0
104,238.19999999999996,237.5,-860.5,7.542061060838567,20.0
106,1095.72,421.5,-423.4599999999999,7.727661754073907,21.0
108,1095.72,421.5,-374.9,7.6509495036752355,21.0
110,1095.72,421.5,-326.34000000000003,7.593720947698696,21.0
112,333.47999999999996,812.5,-860.5,7.843544050780185,22.0
114,333.47999999999996,812.5,-811.9399999999999,7.832540616194578,22.0
116,333.47999999999996,812.5,-763.3799999999999,7.821153858733284,22.0
118,206.43999999999997,766.5,-909.06,7.842428292173911,23.0
120,206.43999999999997,766.5,-860.5,7.830097633339018,23.0
122,333.47999999999996,628.5,-884.78,7.895969159364682,24.0
124,333.47999999999996,628.5,-836.2199999999999,7.863877022723514,24.0
126,333.47999999999996,628.5,-787.6599999999999,7.829987429940484,24.0
128,809.8799999999999,53.5,-520.5799999999999,8.07968547937992,25.0
130,809.8799999999999,53.5,-472.02,7.468485604122721,25.0
132,1159.24,789.5,-399.17999999999995,7.806128199627279,26.0
134,1159.24,789.5,-350.62,7.797484808616478,26.0
136,1159.24,789.5,-302.05999999999995,7.789802982708484,26.0
138,1222.76,398.5,-326.34000000000003,7.640997214122612,27.0
140,1222.76,398.5,-277.78,7.592325999858676,27.0
142,1222.76,398.5,-229.22000000000003,7.55716691011776,27.0
144,1381.56,145.5,-156.38,7.230464914780852,28.0
146,1381.56,145.5,-107.81999999999994,7.200505603681141,28.0
148,1445.08,973.5,-229.22000000000003,7.816193907010383,29.0
150,1445.08,973.5,-180.65999999999997,7.814072901988867,29.0
152,682.8399999999999,582.5,-666.26,7.8829927400567845,30.0
154,682.8399999999999,582.5,-617.6999999999999,7.831830023834196,30.0
156,682.8399999999999,582.5,-569.14,7.781883911986352,30.0
158,238.19999999999996,168.5,-909.06,7.833096632533558,31.0
160,238.19999999999996,168.5,-860.5,7.467876717753096,31.0
162,396.99999999999994,444.5,-860.5,8.049332294899395,32.0
164,396.99999999999994,444.5,-811.9399999999999,7.943364594379759,32.0
166,396.99999999999994,444.5,-763.3799999999999,7.828225714991571,32.0
168,1254.52,490.5,-350.62,7.74783394865033,33.0
170,1254.52,490.5,-302.05999999999995,7.712649886363006,33.0
172,1254.52,490.5,-253.5,7.682099420549888,33.0
174,428.75999999999993,237.5,-811.9399999999999,8.39744689609437,34.0
176,428.75999999999993,237.5,-763.3799999999999,7.776797438091481,34.0
178,428.75999999999993,237.5,-714.8199999999999,7.318615688069951,34.0
180,301.71999999999997,122.5,-860.5,7.762677311866369,35.0
182,301.71999999999997,122.5,-811.9399999999999,7.437987094475542,35.0
184,79.39999999999999,329.5,-1006.18,7.936373344550132,36.0
186,79.39999999999999,329.5,-957.6199999999999,7.79674809041942,36.0
188,1318.04,766.5,-326.34000000000003,7.809763041101452,37.0
190,1318.04,766.5,-277.78,7.802117228173672,37.0
192,1318.04,766.5,-229.22000000000003,7.795001159439701,37.0
194,1222.76,720.5,-350.62,7.796316076360379,38.0
196,1222.76,720.5,-302.05999999999995,7.785571343943681,38.0
198,1540.36,858.5,-204.93999999999994,7.82123227088087,39.0
200,1540.36,858.5,-156.38,7.817215859463842,39.0
202,1540.36,858.5,-107.81999999999994,7.813401681125771,39.0
