X,Y,Z,grade_value,grade,section
944,0,-961,8.75410596452126,No. II,a
974,0,-945,8.750801830619455,No. II,a
994,0,-928,8.777941868871016,No. II,a
982,0,-939,8.74102422103155,No. II,a
1028,0,-918,8.724259138489252,No. II,a
1040,0,-907,8.780863033636525,No. II,a
1059,0,-892,8.708177544120327,No. II,a
1091,0,-868,8.711883231656444,No. II,a
1092,0,-880,8.748082136988435,No. II,a
1110,0,-866,8.721235301066184,No. II,a
1135,0,-841,8.773304360802875,No. II,a
1164,0,-831,8.704157913028515,No. II,a
1138,0,-844,8.7026448180253,No. II,a
1165,0,-811,8.743266186799012,No. II,a
1149,0,-834,8.725670462142006,No. II,a
1171,0,-831,8.76332712204919,No. II,a
1205,0,-822,8.76330721965694,No. II,a
1182,0,-844,8.77375527672297,No. II,a
1166,0,-857,8.749539121766503,No. II,a
1207,0,-826,8.727930768101334,No. II,a
1232,0,-817,8.726840989808716,No. II,a
1201,0,-811,8.785360874206553,No. II,a
1218,0,-792,8.744984893650482,No. II,a
1195,0,-799,8.734508501694256,No. II,a
1192,0,-791,8.704601483281781,No. II,a
1237,0,-812,8.70615612724636,No. II,a
1237,0,-790,8.700835167116328,No. II,a
1245,0,-771,8.72393470756576,No. II,a
1222,0,-789,8.712305782216937,No. II,a
1256,0,-780,8.711390402186401,No. II,a
1272,0,-775,8.777681055353645,No. II,a
1253,0,-791,8.786206485632883,No. II,a
1279,0,-775,8.791001097397821,No. II,a
1254,0,-765,8.762210014903124,No. II,a
1272,0,-757,8.710289607666345,No. II,a
1298,0,-752,8.776278545692717,No. II,a
1254,0,-770,8.70103505312498,No. II,a
1270,0,-753,8.747995280067107,No. II,a
1284,0,-743,8.776551294586195,No. II,a
1310,0,-732,8.720875017889535,No. II,a
1343,0,-719,8.71903601089057,No. II,a
1313,0,-725,8.760794439104798,No. II,a
1301,0,-736,8.763404796624206,No. II,a
1258,0,-797,8.788164898591793,No. II,a
1245,0,-804,8.770719475828264,No. II,a
1227,0,-823,8.781460778311374,No. II,a
1192,0,-829,8.740515953459726,No. II,a
1182,0,-843,8.746316966865798,No. II,a
1174,0,-852,8.726125832496502,No. II,a
1145,0,-868,8.745405132030147,No. II,a
1129,0,-878,8.758376967374854,No. II,a
1114,0,-888,8.722784676616417,No. II,a
1076,0,-910,8.740515184929103,No. II,a
1056,0,-923,8.772082848825487,No. II,a
1026,0,-939,8.744821886523644,No. II,a
1016,0,-944,8.726205921251408,No. II,a
983,0,-963,8.73117418130134,No. II,a
964,0,-975,8.767851549155669,No. II,a
951,0,-985,8.753975669330849,No. II,a
995,0,-964,8.78653156222763,No. II,a
1017,0,-945,8.77695517174481,No. II,a
1032,0,-945,8.728554643899546,No. II,a
1036,0,-933,8.795839457675374,No. II,a
1057,0,-921,8.760787814443574,No. II,a
1106,0,-896,8.731591252448151,No. II,a
1120,0,-880,8.772167485102761,No. II,a
1136,0,-878,8.748880174350457,No. II,a
1176,0,-868,8.73734693079016,No. II,a
1143,0,-892,8.722143234674673,No. II,a
1122,0,-896,8.723039040906778,No. II,a
1156,0,-890,8.777668175600514,No. II,a
