X,Y,Z,grade_value,grade,section
848,200,-1143,8.725079093435856,No. II,b
836,200,-1153,8.764398033127774,No. II,b
818,200,-1166,8.787509859185663,No. II,b
803,200,-1181,8.731779686694791,No. II,b
784,200,-1197,8.742129364896376,No. II,b
770,200,-1212,8.75773924333764,No. II,b
759,200,-1218,8.735053811856934,No. II,b
719,200,-1247,8.77204409998874,No. II,b
690,200,-1269,8.777903247582206,No. II,b
664,200,-1291,8.729296345018398,No. II,b
742,200,-1232,8.75338723618262,No. II,b
755,200,-1219,8.758741443925071,No. II,b
774,200,-1200,8.78330871345493,No. II,b
1022,200,-955,8.730142388386396,No. II,b
992,200,-977,8.776864962270013,No. II,b
967,200,-990,8.766376830810634,No. II,b
954,200,-1006,8.792117328588512,No. II,b
935,200,-1025,8.796216672114571,No. II,b
906,200,-1039,8.760545204466483,No. II,b
873,200,-1059,8.770725529191681,No. II,b
861,200,-1071,8.753321902643409,No. II,b
1026,200,-971,8.792266187571242,No. II,b
998,200,-995,8.740553376496395,No. II,b
983,200,-1005,8.74878025381846,No. II,b
948,200,-1026,8.707968146196507,No. II,b
936,200,-1039,8.729054653395515,No. II,b
913,200,-1047,8.791600207691069,No. II,b
959,200,-1039,8.787528927032943,No. II,b
976,200,-1024,8.774544513843287,No. II,b
991,200,-1006,8.76615885028167,No. II,b
953,200,-1031,8.751101002689948,No. II,b
1377,200,-738,8.78625703980624,No. II,b
1351,200,-760,8.738071901692278,No. II,b
1339,200,-771,8.705149522128337,No. II,b
1307,200,-789,8.715012553864986,No. II,b
1284,200,-803,8.733457547429435,No. II,b
1252,200,-819,8.797313350776836,No. II,b
1231,200,-830,8.774843976629718,No. II,b
1206,200,-843,8.729502636087576,No. II,b
1186,200,-857,8.796445682631152,No. II,b
1111,200,-890,8.763871147808645,No. II,b
1166,200,-872,8.775484464660561,No. II,b
1194,200,-860,8.722045605105006,No. II,b
1238,200,-842,8.777208714988424,No. II,b
1266,200,-828,8.747074088815772,No. II,b
1290,200,-811,8.72362044833799,No. II,b
1325,200,-794,8.725552886633604,No. II,b
1349,200,-780,8.752150664790983,No. II,b
1368,200,-768,8.760948989166998,No. II,b
1942,200,-419,8.747487200409156,No. II,b
1936,200,-421,8.789121047621096,No. II,b
1920,200,-430,8.715123420091567,No. II,b
1912,200,-437,8.725412869132896,No. II,b
1900,200,-444,8.742110841506424,No. II,b
1879,200,-453,8.76499415887107,No. II,b
1865,200,-463,8.798270985234746,No. II,b
1899,200,-442,8.785402677419281,No. II,b
