X,Y,Z,grade_value,grade,section
731,0,-1041,7.333752240869442,No. I,a
740,0,-1026,7.340433695082722,No. I,a
760,0,-1016,7.340124598550687,No. I,a
728,0,-1046,7.3303532312341995,No. I,a
763,0,-1017,7.3322301440103255,No. I,a
804,0,-985,7.347716045076754,No. I,a
829,0,-962,7.33776132183945,No. I,a
850,0,-942,7.340404573426502,No. I,a
824,0,-973,7.347749021707866,No. I,a
863,0,-945,7.347262593111545,No. I,a
912,0,-915,7.334752745070081,No. I,a
899,0,-914,7.339915821888187,No. I,a
877,0,-926,7.340465114972959,No. I,a
907,0,-921,7.349536821359408,No. I,a
937,0,-899,7.343436085328078,No. I,a
957,0,-877,7.335484502185567,No. I,a
1001,0,-858,7.330158280261598,No. I,a
989,0,-871,7.340737193162606,No. I,a
978,0,-874,7.33518947467366,No. I,a
1019,0,-838,7.347218500755401,No. I,a
1057,0,-806,7.331872594757013,No. I,a
1085,0,-776,7.347435259686147,No. I,a
1090,0,-790,7.336292986615069,No. I,a
1120,0,-764,7.341260399040415,No. I,a
1111,0,-755,7.3388951253091115,No. I,a
1146,0,-752,7.34764035848913,No. I,a
1151,0,-761,7.330677142796318,No. I,a
1184,0,-726,7.337784211470812,No. I,a
1214,0,-711,7.34981110863041,No. I,a
1244,0,-691,7.332910238466953,No. I,a
1264,0,-677,7.335052644649677,No. I,a
1283,0,-663,7.347734803496215,No. I,a
1303,0,-651,7.337528016069975,No. I,a
1310,0,-644,7.342470064256251,No. I,a
1264,0,-667,7.335258566288518,No. I,a
1229,0,-691,7.345878438587194,No. I,a
1211,0,-707,7.339867241190692,No. I,a
1529,0,-489,7.336055917663421,No. I,a
1569,0,-468,7.33575318845735,No. I,a
1587,0,-456,7.340264426840904,No. I,a
1621,0,-442,7.33484832949317,No. I,a
1667,0,-417,7.346937552459999,No. I,a
1707,0,-395,7.33977366245223,No. I,a
1715,0,-405,7.345702131867789,No. I,a
1731,0,-384,7.3375017025899005,No. I,a
1762,0,-390,7.33947848002413,No. I,a
1739,0,-395,7.33995686899494,No. I,a
1766,0,-361,7.342652182008557,No. I,a
1771,0,-374,7.348227467892433,No. I,a
1813,0,-353,7.336616676301054,No. I,a
1792,0,-359,7.345689624895626,No. I,a
1816,0,-332,7.336714345275914,No. I,a
1830,0,-340,7.334081603327584,No. I,a
1847,0,-318,7.331321049069997,No. I,a
1872,0,-304,7.333435743484691,No. I,a
1908,0,-291,7.3418285387360065,No. I,a
1931,0,-279,7.331310836871898,No. I,a
1957,0,-272,7.338257530809878,No. I,a
1937,0,-282,7.337628209157027,No. I,a
1957,0,-256,7.348094702235084,No. I,a
1988,0,-251,7.3375928566746325,No. I,a
