X,Y,Z,grade_value,grade,section
605,200,-1128,7.338393637998085,No. I,b
625,200,-1110,7.330165903928057,No. I,b
619,200,-1123,7.348279162589636,No. I,b
664,200,-1096,7.349916260025245,No. I,b
688,200,-1076,7.3356310153967135,No. I,b
655,200,-1087,7.33211632088089,No. I,b
725,200,-1045,7.342369241014991,No. I,b
748,200,-1039,7.333836615440772,No. I,b
729,200,-1054,7.3337984814854495,No. I,b
781,200,-1020,7.348140925437676,No. I,b
811,200,-1002,7.346724174084633,No. I,b
841,200,-978,7.342539314053132,No. I,b
875,200,-973,7.3350179045175095,No. I,b
835,200,-987,7.332160523539126,No. I,b
804,200,-999,7.338081533562612,No. I,b
892,200,-953,7.348735429551142,No. I,b
932,200,-929,7.338471224970568,No. I,b
949,200,-912,7.337829319868085,No. I,b
938,200,-915,7.348482884413552,No. I,b
974,200,-900,7.342821634863094,No. I,b
988,200,-881,7.345069109081592,No. I,b
982,200,-898,7.33655818427423,No. I,b
1040,200,-863,7.332045717900304,No. I,b
1006,200,-876,7.337245764024897,No. I,b
1086,200,-839,7.339910497607883,No. I,b
1107,200,-817,7.347676671215921,No. I,b
1081,200,-830,7.338503685458009,No. I,b
1117,200,-805,7.33152575431366,No. I,b
1148,200,-793,7.3416036302593515,No. I,b
1133,200,-815,7.3499631554215235,No. I,b
1156,200,-790,7.346169447472608,No. I,b
1168,200,-793,7.337997872618834,No. I,b
1191,200,-779,7.339587882221226,No. I,b
1193,200,-769,7.3360179033458,No. I,b
1151,200,-780,7.330747390116797,No. I,b
1197,200,-760,7.344684053275012,No. I,b
1225,200,-732,7.336129130726898,No. I,b
1207,200,-753,7.340185592003254,No. I,b
1261,200,-716,7.337085449969173,No. I,b
1232,200,-717,7.3404770649903766,No. I,b
1229,200,-734,7.349930132671981,No. I,b
1272,200,-703,7.347510482643572,No. I,b
1305,200,-684,7.334230479836927,No. I,b
1330,200,-674,7.3321883801640135,No. I,b
1333,200,-674,7.344733317479904,No. I,b
1298,200,-695,7.335825535863376,No. I,b
1342,200,-666,7.349243182682475,No. I,b
1359,200,-652,7.33983507138611,No. I,b
1351,200,-673,7.347230629382113,No. I,b
1370,200,-643,7.3338925835819895,No. I,b
1400,200,-634,7.343406585580068,No. I,b
1423,200,-628,7.335507522573915,No. I,b
1448,200,-605,7.330228537694096,No. I,b
1463,200,-596,7.340187542440013,No. I,b
1491,200,-577,7.34112422595271,No. I,b
1511,200,-568,7.342858350204033,No. I,b
1529,200,-560,7.340183782496705,No. I,b
1566,200,-537,7.340843805207579,No. I,b
1590,200,-523,7.335799703190322,No. I,b
1609,200,-506,7.347134271442273,No. I,b
1691,200,-468,7.34158152191159,No. I,b
1721,200,-452,7.336027153230503,No. I,b
1749,200,-448,7.348860923878565,No. I,b
1785,200,-432,7.3453336296181835,No. I,b
1802,200,-425,7.331467809744794,No. I,b
1874,200,-390,7.332353801349983,No. I,b
1834,200,-415,7.344100215471603,No. I,b
1805,200,-434,7.331535548599615,No. I,b
1794,200,-443,7.338681188559152,No. I,b
1830,200,-422,7.333661226963487,No. I,b
1855,200,-409,7.332571993360828,No. I,b
1875,200,-387,7.336904520264239,No. I,b
1918,200,-383,7.3425896234785215,No. I,b
1892,200,-383,7.33156335003945,No. I,b
1863,200,-395,7.343472952934362,No. I,b
1827,200,-411,7.331123127783241,No. I,b
1805,200,-422,7.348059635190791,No. I,b
1862,200,-393,7.346398600586877,No. I,b
