X,Y,Z,grade_value,grade,section
731,0,-1041,7.333752240869442,No. I,a
740,0,-1026,7.340433695082722,No. I,a
760,0,-1016,7.340124598550687,No. I,a
728,0,-1046,7.3303532312341995,No. I,a
763,0,-1017,7.3322301440103255,No. I,a
804,0,-985,7.347716045076754,No. I,a
829,0,-962,7.33776132183945,No. I,a
850,0,-942,7.340404573426502,No. I,a
824,0,-973,7.347749021707866,No. I,a
863,0,-945,7.347262593111545,No. I,a
912,0,-915,7.334752745070081,No. I,a
899,0,-914,7.339915821888187,No. I,a
877,0,-926,7.340465114972959,No. I,a
907,0,-921,7.349536821359408,No. I,a
937,0,-899,7.343436085328078,No. I,a
957,0,-877,7.335484502185567,No. I,a
1001,0,-858,7.330158280261598,No. I,a
989,0,-871,7.340737193162606,No. I,a
978,0,-874,7.33518947467366,No. I,a
1019,0,-838,7.347218500755401,No. I,a
1057,0,-806,7.331872594757013,No. I,a
1085,0,-776,7.347435259686147,No. I,a
1090,0,-790,7.336292986615069,No. I,a
1120,0,-764,7.341260399040415,No. I,a
1111,0,-755,7.3388951253091115,No. I,a
1146,0,-752,7.34764035848913,No. I,a
1151,0,-761,7.330677142796318,No. I,a
1184,0,-726,7.337784211470812,No. I,a
1214,0,-711,7.34981110863041,No. I,a
1244,0,-691,7.332910238466953,No. I,a
1264,0,-677,7.335052644649677,No. I,a
1283,0,-663,7.347734803496215,No. I,a
1303,0,-651,7.337528016069975,No. I,a
1310,0,-644,7.342470064256251,No. I,a
1264,0,-667,7.335258566288518,No. I,a
1229,0,-691,7.345878438587194,No. I,a
1211,0,-707,7.339867241190692,No. I,a
1529,0,-489,7.336055917663421,No. I,a
1569,0,-468,7.33575318845735,No. I,a
1587,0,-456,7.340264426840904,No. I,a
1621,0,-442,7.33484832949317,No. I,a
1667,0,-417,7.346937552459999,No. I,a
1707,0,-395,7.33977366245223,No. I,a
1715,0,-405,7.345702131867789,No. I,a
1731,0,-384,7.3375017025899005,No. I,a
1762,0,-390,7.33947848002413,No. I,a
1739,0,-395,7.33995686899494,No. I,a
1766,0,-361,7.342652182008557,No. I,a
1771,0,-374,7.348227467892433,No. I,a
1813,0,-353,7.336616676301054,No. I,a
1792,0,-359,7.345689624895626,No. I,a
1816,0,-332,7.336714345275914,No. I,a
1830,0,-340,7.334081603327584,No. I,a
1847,0,-318,7.331321049069997,No. I,a
1872,0,-304,7.333435743484691,No. I,a
1908,0,-291,7.3418285387360065,No. I,a
1931,0,-279,7.331310836871898,No. I,a
1957,0,-272,7.338257530809878,No. I,a
1937,0,-282,7.337628209157027,No. I,a
1957,0,-256,7.348094702235084,No. I,a
1988,0,-251,7.3375928566746325,No. I,a
944,0,-961,8.75410596452126,No. II,a
974,0,-945,8.750801830619455,No. II,a
994,0,-928,8.777941868871016,No. II,a
982,0,-939,8.74102422103155,No. II,a
1028,0,-918,8.724259138489252,No. II,a
1040,0,-907,8.780863033636525,No. II,a
1059,0,-892,8.708177544120327,No. II,a
1091,0,-868,8.711883231656444,No. II,a
1092,0,-880,8.748082136988435,No. II,a
1110,0,-866,8.721235301066184,No. II,a
1135,0,-841,8.773304360802875,No. II,a
1164,0,-831,8.704157913028515,No. II,a
1138,0,-844,8.7026448180253,No. II,a
1165,0,-811,8.743266186799012,No. II,a
1149,0,-834,8.725670462142006,No. II,a
1171,0,-831,8.76332712204919,No. II,a
1205,0,-822,8.76330721965694,No. II,a
1182,0,-844,8.77375527672297,No. II,a
1166,0,-857,8.749539121766503,No. II,a
1207,0,-826,8.727930768101334,No. II,a
1232,0,-817,8.726840989808716,No. II,a
1201,0,-811,8.785360874206553,No. II,a
1218,0,-792,8.744984893650482,No. II,a
1195,0,-799,8.734508501694256,No. II,a
1192,0,-791,8.704601483281781,No. II,a
1237,0,-812,8.70615612724636,No. II,a
1237,0,-790,8.700835167116328,No. II,a
1245,0,-771,8.72393470756576,No. II,a
1222,0,-789,8.712305782216937,No. II,a
1256,0,-780,8.711390402186401,No. II,a
1272,0,-775,8.777681055353645,No. II,a
1253,0,-791,8.786206485632883,No. II,a
1279,0,-775,8.791001097397821,No. II,a
1254,0,-765,8.762210014903124,No. II,a
1272,0,-757,8.710289607666345,No. II,a
1298,0,-752,8.776278545692717,No. II,a
1254,0,-770,8.70103505312498,No. II,a
1270,0,-753,8.747995280067107,No. II,a
1284,0,-743,8.776551294586195,No. II,a
1310,0,-732,8.720875017889535,No. II,a
1343,0,-719,8.71903601089057,No. II,a
1313,0,-725,8.760794439104798,No. II,a
1301,0,-736,8.763404796624206,No. II,a
1258,0,-797,8.788164898591793,No. II,a
1245,0,-804,8.770719475828264,No. II,a
1227,0,-823,8.781460778311374,No. II,a
1192,0,-829,8.740515953459726,No. II,a
1182,0,-843,8.746316966865798,No. II,a
1174,0,-852,8.726125832496502,No. II,a
1145,0,-868,8.745405132030147,No. II,a
1129,0,-878,8.758376967374854,No. II,a
1114,0,-888,8.722784676616417,No. II,a
1076,0,-910,8.740515184929103,No. II,a
1056,0,-923,8.772082848825487,No. II,a
1026,0,-939,8.744821886523644,No. II,a
1016,0,-944,8.726205921251408,No. II,a
983,0,-963,8.73117418130134,No. II,a
964,0,-975,8.767851549155669,No. II,a
951,0,-985,8.753975669330849,No. II,a
995,0,-964,8.78653156222763,No. II,a
1017,0,-945,8.77695517174481,No. II,a
1032,0,-945,8.728554643899546,No. II,a
1036,0,-933,8.795839457675374,No. II,a
1057,0,-921,8.760787814443574,No. II,a
1106,0,-896,8.731591252448151,No. II,a
1120,0,-880,8.772167485102761,No. II,a
1136,0,-878,8.748880174350457,No. II,a
1176,0,-868,8.73734693079016,No. II,a
1143,0,-892,8.722143234674673,No. II,a
1122,0,-896,8.723039040906778,No. II,a
1156,0,-890,8.777668175600514,No. II,a
605,200,-1128,7.338393637998085,No. I,b
625,200,-1110,7.330165903928057,No. I,b
619,200,-1123,7.348279162589636,No. I,b
664,200,-1096,7.349916260025245,No. I,b
688,200,-1076,7.3356310153967135,No. I,b
655,200,-1087,7.33211632088089,No. I,b
725,200,-1045,7.342369241014991,No. I,b
748,200,-1039,7.333836615440772,No. I,b
729,200,-1054,7.3337984814854495,No. I,b
781,200,-1020,7.348140925437676,No. I,b
811,200,-1002,7.346724174084633,No. I,b
841,200,-978,7.342539314053132,No. I,b
875,200,-973,7.3350179045175095,No. I,b
835,200,-987,7.332160523539126,No. I,b
804,200,-999,7.338081533562612,No. I,b
892,200,-953,7.348735429551142,No. I,b
932,200,-929,7.338471224970568,No. I,b
949,200,-912,7.337829319868085,No. I,b
938,200,-915,7.348482884413552,No. I,b
974,200,-900,7.342821634863094,No. I,b
988,200,-881,7.345069109081592,No. I,b
982,200,-898,7.33655818427423,No. I,b
1040,200,-863,7.332045717900304,No. I,b
1006,200,-876,7.337245764024897,No. I,b
1086,200,-839,7.339910497607883,No. I,b
1107,200,-817,7.347676671215921,No. I,b
1081,200,-830,7.338503685458009,No. I,b
1117,200,-805,7.33152575431366,No. I,b
1148,200,-793,7.3416036302593515,No. I,b
1133,200,-815,7.3499631554215235,No. I,b
1156,200,-790,7.346169447472608,No. I,b
1168,200,-793,7.337997872618834,No. I,b
1191,200,-779,7.339587882221226,No. I,b
1193,200,-769,7.3360179033458,No. I,b
1151,200,-780,7.330747390116797,No. I,b
1197,200,-760,7.344684053275012,No. I,b
1225,200,-732,7.336129130726898,No. I,b
1207,200,-753,7.340185592003254,No. I,b
1261,200,-716,7.337085449969173,No. I,b
1232,200,-717,7.3404770649903766,No. I,b
1229,200,-734,7.349930132671981,No. I,b
1272,200,-703,7.347510482643572,No. I,b
1305,200,-684,7.334230479836927,No. I,b
1330,200,-674,7.3321883801640135,No. I,b
1333,200,-674,7.344733317479904,No. I,b
1298,200,-695,7.335825535863376,No. I,b
1342,200,-666,7.349243182682475,No. I,b
1359,200,-652,7.33983507138611,No. I,b
1351,200,-673,7.347230629382113,No. I,b
1370,200,-643,7.3338925835819895,No. I,b
1400,200,-634,7.343406585580068,No. I,b
1423,200,-628,7.335507522573915,No. I,b
1448,200,-605,7.330228537694096,No. I,b
1463,200,-596,7.340187542440013,No. I,b
1491,200,-577,7.34112422595271,No. I,b
1511,200,-568,7.342858350204033,No. I,b
1529,200,-560,7.340183782496705,No. I,b
1566,200,-537,7.340843805207579,No. I,b
1590,200,-523,7.335799703190322,No. I,b
1609,200,-506,7.347134271442273,No. I,b
1691,200,-468,7.34158152191159,No. I,b
1721,200,-452,7.336027153230503,No. I,b
1749,200,-448,7.348860923878565,No. I,b
1785,200,-432,7.3453336296181835,No. I,b
1802,200,-425,7.331467809744794,No. I,b
1874,200,-390,7.332353801349983,No. I,b
1834,200,-415,7.344100215471603,No. I,b
1805,200,-434,7.331535548599615,No. I,b
1794,200,-443,7.338681188559152,No. I,b
1830,200,-422,7.333661226963487,No. I,b
1855,200,-409,7.332571993360828,No. I,b
1875,200,-387,7.336904520264239,No. I,b
1918,200,-383,7.3425896234785215,No. I,b
1892,200,-383,7.33156335003945,No. I,b
1863,200,-395,7.343472952934362,No. I,b
1827,200,-411,7.331123127783241,No. I,b
1805,200,-422,7.348059635190791,No. I,b
1862,200,-393,7.346398600586877,No. I,b
848,200,-1143,8.725079093435856,No. II,b
836,200,-1153,8.764398033127774,No. II,b
