X,Y,Z,dip,azimuth,polarity,formation,section
5.0,0,-37.0,-40,90,1,topo,sectiona
94.0,0,-37.0,-40,90,1,topo,sectiona
191.0,0,-21.0,-40,90,1,topo,sectiona
314.0,0,-29.0,-40,90,1,topo,sectiona
388.0,0,-32.0,-40,90,1,topo,sectiona
493.0,0,-16.0,-40,90,1,topo,sectiona
637.0,0,-13.0,-40,90,1,topo,sectiona
801.0,0,-13.0,-40,90,1,topo,sectiona
927.0,0,-19.0,-40,90,1,topo,sectiona
1059.0,0,-20.0,-40,90,1,topo,sectiona
1149.0,0,-25.0,-40,90,1,topo,sectiona
1235.0,0,-21.0,-40,90,1,topo,sectiona
1315.0,0,-8.0,-40,90,1,topo,sectiona
1405.0,0,-21.0,-40,90,1,topo,sectiona
1459.0,0,-11.0,-40,90,1,topo,sectiona
1538.0,0,-11.0,-40,90,1,topo,sectiona
1584.0,0,-8.0,-40,90,1,topo,sectiona
8.0,0,-903.0,-40,90,1,linglongbiotitegranite,sectiona
77.0,0,-856.0,-40,90,1,linglongbiotitegranite,sectiona
172.0,0,-801.0,-40,90,1,linglongbiotitegranite,sectiona
245.0,0,-741.0,-40,90,1,linglongbiotitegranite,sectiona
344.0,0,-671.0,-40,90,1,linglongbiotitegranite,sectiona
418.0,0,-632.0,-40,90,1,linglongbiotitegranite,sectiona
494.0,0,-617.0,-40,90,1,linglongbiotitegranite,sectiona
546.0,0,-547.0,-40,90,1,linglongbiotitegranite,sectiona
569.0,0,-483.0,-40,90,1,linglongbiotitegranite,sectiona
688.0,0,-432.0,-40,90,1,linglongbiotitegranite,sectiona
793.0,0,-383.0,-40,90,1,linglongbiotitegranite,sectiona
881.0,0,-331.0,-40,90,1,linglongbiotitegranite,sectiona
989.0,0,-262.0,-40,90,1,linglongbiotitegranite,sectiona
1091.0,0,-201.0,-40,90,1,linglongbiotitegranite,sectiona
1187.0,0,-147.0,-40,90,1,linglongbiotitegranite,sectiona
1301.0,0,-97.0,-40,90,1,linglongbiotitegranite,sectiona
1384.0,0,-60.0,-40,90,1,linglongbiotitegranite,sectiona
1455.0,0,-24.0,-40,90,1,linglongbiotitegranite,sectiona
0.0,0,-964.0,-40,90,1,fault,sectiona
157.0,0,-879.0,-40,90,1,fault,sectiona
288.0,0,-809.0,-40,90,1,fault,sectiona
441.0,0,-697.0,-40,90,1,fault,sectiona
550.0,0,-626.0,-40,90,1,fault,sectiona
669.0,0,-528.0,-40,90,1,fault,sectiona
825.0,0,-436.0,-40,90,1,fault,sectiona
974.0,0,-340.0,-40,90,1,fault,sectiona
1098.0,0,-264.0,-40,90,1,fault,sectiona
1250.0,0,-182.0,-40,90,1,fault,sectiona
1346.0,0,-118.0,-40,90,1,fault,sectiona
1460.0,0,-59.0,-40,90,1,fault,sectiona
1543.0,0,-21.0,-40,90,1,fault,sectiona
4.0,0,-953.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
92.0,0,-910.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
198.0,0,-854.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
277.0,0,-811.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
396.0,0,-718.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
509.0,0,-647.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
613.0,0,-577.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
697.0,0,-507.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
815.0,0,-422.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
925.0,0,-359.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1040.0,0,-291.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1221.0,0,-189.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1287.0,0,-149.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1397.0,0,-96.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1511.0,0,-27.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1588.0,0,0.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1537.0,0,-47.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1483.0,0,-73.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1415.0,0,-126.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1352.0,0,-159.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1299.0,0,-199.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1192.0,0,-240.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
1072.0,0,-289.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
992.0,0,-340.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
929.0,0,-388.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
872.0,0,-433.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
806.0,0,-477.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
762.0,0,-520.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
727.0,0,-544.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
682.0,0,-590.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
616.0,0,-626.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
574.0,0,-667.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
528.0,0,-689.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
490.0,0,-729.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
418.0,0,-766.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
363.0,0,-789.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
293.0,0,-829.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
224.0,0,-863.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
150.0,0,-895.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
77.0,0,-937.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
7.0,0,-972.0,-40,90,1,pyritesericitequartzalterationzone,sectiona
3.0,0,-1065.0,-40,90,1,sericitequartzalterationzone,sectiona
116.0,0,-993.0,-40,90,1,sericitequartzalterationzone,sectiona
238.0,0,-925.0,-40,90,1,sericitequartzalterationzone,sectiona
359.0,0,-857.0,-40,90,1,sericitequartzalterationzone,sectiona
434.0,0,-801.0,-40,90,1,sericitequartzalterationzone,sectiona
