X,Y,Z,formation,section
427,0,-1390,Kfeldspathizationzone,sectiona
498,0,-1374,Kfeldspathizationzone,sectiona
623,0,-1342,Kfeldspathizationzone,sectiona
709,0,-1323,Kfeldspathizationzone,sectiona
792,0,-1301,Kfeldspathizationzone,sectiona
881,0,-1262,Kfeldspathizationzone,sectiona
954,0,-1220,Kfeldspathizationzone,sectiona
1056,0,-1169,Kfeldspathizationzone,sectiona
1133,0,-1126,Kfeldspathizationzone,sectiona
1188,0,-1092,Kfeldspathizationzone,sectiona
1270,0,-1044,Kfeldspathizationzone,sectiona
1317,0,-996,Kfeldspathizationzone,sectiona
1375,0,-952,Kfeldspathizationzone,sectiona
1429,0,-921,Kfeldspathizationzone,sectiona
1473,0,-881,Kfeldspathizationzone,sectiona
1542,0,-831,Kfeldspathizationzone,sectiona
1598,0,-783,Kfeldspathizationzone,sectiona
1642,0,-741,Kfeldspathizationzone,sectiona
1689,0,-701,Kfeldspathizationzone,sectiona
1715,0,-684,Kfeldspathizationzone,sectiona
1741,0,-649,Kfeldspathizationzone,sectiona
1785,0,-602,Kfeldspathizationzone,sectiona
1840,0,-557,Kfeldspathizationzone,sectiona
1880,0,-519,Kfeldspathizationzone,sectiona
1937,0,-472,Kfeldspathizationzone,sectiona
1971,0,-434,Kfeldspathizationzone,sectiona
1998,0,-406,Kfeldspathizationzone,sectiona
