X,Y,Z,formation,section
507,200,-1375,Kfeldspathizationzone,sectionb
581,200,-1360,Kfeldspathizationzone,sectionb
668,200,-1321,Kfeldspathizationzone,sectionb
789,200,-1283,Kfeldspathizationzone,sectionb
859,200,-1244,Kfeldspathizationzone,sectionb
938,200,-1205,Kfeldspathizationzone,sectionb
1017,200,-1159,Kfeldspathizationzone,sectionb
1091,200,-1116,Kfeldspathizationzone,sectionb
1148,200,-1080,Kfeldspathizationzone,sectionb
1218,200,-1044,Kfeldspathizationzone,sectionb
1261,200,-1017,Kfeldspathizationzone,sectionb
1309,200,-1000,Kfeldspathizationzone,sectionb
1375,200,-976,Kfeldspathizationzone,sectionb
1387,200,-965,Kfeldspathizationzone,sectionb
1439,200,-921,Kfeldspathizationzone,sectionb
1480,200,-877,Kfeldspathizationzone,sectionb
1535,200,-826,Kfeldspathizationzone,sectionb
1580,200,-786,Kfeldspathizationzone,sectionb
1646,200,-736,Kfeldspathizationzone,sectionb
1700,200,-698,Kfeldspathizationzone,sectionb
1776,200,-656,Kfeldspathizationzone,sectionb
1816,200,-633,Kfeldspathizationzone,sectionb
1857,200,-605,Kfeldspathizationzone,sectionb
1893,200,-576,Kfeldspathizationzone,sectionb
1919,200,-550,Kfeldspathizationzone,sectionb
