X,Y,Z,formation,section
429,0,-263,topo,sectiona
518,0,-263,topo,sectiona
615,0,-247,topo,sectiona
738,0,-255,topo,sectiona
812,0,-258,topo,sectiona
917,0,-242,topo,sectiona
1061,0,-239,topo,sectiona
1225,0,-239,topo,sectiona
1351,0,-245,topo,sectiona
1483,0,-246,topo,sectiona
1573,0,-251,topo,sectiona
1659,0,-247,topo,sectiona
1739,0,-234,topo,sectiona
1829,0,-247,topo,sectiona
1883,0,-237,topo,sectiona
1962,0,-237,topo,sectiona
2008,0,-234,topo,sectiona
432,0,-1129,linglongbiotitegranite,sectiona
501,0,-1082,linglongbiotitegranite,sectiona
596,0,-1027,linglongbiotitegranite,sectiona
669,0,-967,linglongbiotitegranite,sectiona
768,0,-897,linglongbiotitegranite,sectiona
842,0,-858,linglongbiotitegranite,sectiona
918,0,-843,linglongbiotitegranite,sectiona
970,0,-773,linglongbiotitegranite,sectiona
993,0,-709,linglongbiotitegranite,sectiona
1112,0,-658,linglongbiotitegranite,sectiona
1217,0,-609,linglongbiotitegranite,sectiona
1305,0,-557,linglongbiotitegranite,sectiona
1413,0,-488,linglongbiotitegranite,sectiona
1515,0,-427,linglongbiotitegranite,sectiona
1611,0,-373,linglongbiotitegranite,sectiona
1725,0,-323,linglongbiotitegranite,sectiona
1808,0,-286,linglongbiotitegranite,sectiona
1879,0,-250,linglongbiotitegranite,sectiona
424,0,-1190,fault,sectiona
581,0,-1105,fault,sectiona
712,0,-1035,fault,sectiona
865,0,-923,fault,sectiona
974,0,-852,fault,sectiona
1093,0,-754,fault,sectiona
1249,0,-662,fault,sectiona
1398,0,-566,fault,sectiona
1522,0,-490,fault,sectiona
1674,0,-408,fault,sectiona
1770,0,-344,fault,sectiona
1884,0,-285,fault,sectiona
1967,0,-247,fault,sectiona
428,0,-1179,pyritesericitequartzalterationzone,sectiona
516,0,-1136,pyritesericitequartzalterationzone,sectiona
622,0,-1080,pyritesericitequartzalterationzone,sectiona
701,0,-1037,pyritesericitequartzalterationzone,sectiona
820,0,-944,pyritesericitequartzalterationzone,sectiona
933,0,-873,pyritesericitequartzalterationzone,sectiona
1037,0,-803,pyritesericitequartzalterationzone,sectiona
1121,0,-733,pyritesericitequartzalterationzone,sectiona
1239,0,-648,pyritesericitequartzalterationzone,sectiona
1349,0,-585,pyritesericitequartzalterationzone,sectiona
1464,0,-517,pyritesericitequartzalterationzone,sectiona
1645,0,-415,pyritesericitequartzalterationzone,sectiona
1711,0,-375,pyritesericitequartzalterationzone,sectiona
1821,0,-322,pyritesericitequartzalterationzone,sectiona
1935,0,-253,pyritesericitequartzalterationzone,sectiona
2012,0,-226,pyritesericitequartzalterationzone,sectiona
1961,0,-273,pyritesericitequartzalterationzone,sectiona
1907,0,-299,pyritesericitequartzalterationzone,sectiona
1839,0,-352,pyritesericitequartzalterationzone,sectiona
1776,0,-385,pyritesericitequartzalterationzone,sectiona
1723,0,-425,pyritesericitequartzalterationzone,sectiona
1616,0,-466,pyritesericitequartzalterationzone,sectiona
1496,0,-515,pyritesericitequartzalterationzone,sectiona
1416,0,-566,pyritesericitequartzalterationzone,sectiona
1353,0,-614,pyritesericitequartzalterationzone,sectiona
1296,0,-659,pyritesericitequartzalterationzone,sectiona
