X,Y,Z,formation,section
424,0,-1190,fault,sectiona
516,0,-1133,fault,sectiona
581,0,-1105,fault,sectiona
644,0,-1071,fault,sectiona
712,0,-1035,fault,sectiona
795,0,-971,fault,sectiona
865,0,-923,fault,sectiona
909,0,-885,fault,sectiona
974,0,-852,fault,sectiona
1034,0,-805,fault,sectiona
1093,0,-754,fault,sectiona
1209,0,-689,fault,sectiona
1249,0,-662,fault,sectiona
1320,0,-615,fault,sectiona
1398,0,-566,fault,sectiona
1461,0,-527,fault,sectiona
1522,0,-490,fault,sectiona
1601,0,-449,fault,sectiona
1674,0,-408,fault,sectiona
1719,0,-370,fault,sectiona
1770,0,-344,fault,sectiona
1813,0,-318,fault,sectiona
1884,0,-285,fault,sectiona
1930,0,-262,fault,sectiona
1967,0,-247,fault,sectiona
