X,Y,Z,formation,section
504,200,-1164,fault,sectionb
555,200,-1137,fault,sectionb
620,200,-1102,fault,sectionb
660,200,-1062,fault,sectionb
719,200,-1023,fault,sectionb
790,200,-982,fault,sectionb
854,200,-940,fault,sectionb
932,200,-892,fault,sectionb
999,200,-846,fault,sectionb
1069,200,-805,fault,sectionb
1136,200,-761,fault,sectionb
1185,200,-741,fault,sectionb
1234,200,-720,fault,sectionb
1300,200,-680,fault,sectionb
1397,200,-619,fault,sectionb
1492,200,-570,fault,sectionb
1553,200,-530,fault,sectionb
1620,200,-495,fault,sectionb
1691,200,-456,fault,sectionb
1763,200,-426,fault,sectionb
1828,200,-383,fault,sectionb
1864,200,-367,fault,sectionb
1917,200,-333,fault,sectionb
