X,Y,Z,formation,section
432,0,-1129,linglongbiotitegranite,sectiona
465,0,-1109,linglongbiotitegranite,sectiona
501,0,-1082,linglongbiotitegranite,sectiona
554,0,-1051,linglongbiotitegranite,sectiona
596,0,-1027,linglongbiotitegranite,sectiona
619,0,-1009,linglongbiotitegranite,sectiona
669,0,-967,linglongbiotitegranite,sectiona
719,0,-926,linglongbiotitegranite,sectiona
768,0,-897,linglongbiotitegranite,sectiona
807,0,-875,linglongbiotitegranite,sectiona
842,0,-858,linglongbiotitegranite,sectiona
877,0,-855,linglongbiotitegranite,sectiona
918,0,-843,linglongbiotitegranite,sectiona
956,0,-820,linglongbiotitegranite,sectiona
970,0,-773,linglongbiotitegranite,sectiona
979,0,-733,linglongbiotitegranite,sectiona
993,0,-709,linglongbiotitegranite,sectiona
1020,0,-680,linglongbiotitegranite,sectiona
1112,0,-658,linglongbiotitegranite,sectiona
1157,0,-639,linglongbiotitegranite,sectiona
1217,0,-609,linglongbiotitegranite,sectiona
1247,0,-591,linglongbiotitegranite,sectiona
1305,0,-557,linglongbiotitegranite,sectiona
1374,0,-509,linglongbiotitegranite,sectiona
1413,0,-488,linglongbiotitegranite,sectiona
1459,0,-466,linglongbiotitegranite,sectiona
1515,0,-427,linglongbiotitegranite,sectiona
1555,0,-405,linglongbiotitegranite,sectiona
1611,0,-373,linglongbiotitegranite,sectiona
1658,0,-347,linglongbiotitegranite,sectiona
1725,0,-323,linglongbiotitegranite,sectiona
1761,0,-307,linglongbiotitegranite,sectiona
1808,0,-286,linglongbiotitegranite,sectiona
1843,0,-271,linglongbiotitegranite,sectiona
1879,0,-250,linglongbiotitegranite,sectiona
