X,Y,Z,formation,section
509,200,-1108,linglongbiotitegranite,sectionb
530,200,-1091,linglongbiotitegranite,sectionb
586,200,-1058,linglongbiotitegranite,sectionb
625,200,-1035,linglongbiotitegranite,sectionb
662,200,-1005,linglongbiotitegranite,sectionb
729,200,-965,linglongbiotitegranite,sectionb
769,200,-926,linglongbiotitegranite,sectionb
819,200,-892,linglongbiotitegranite,sectionb
868,200,-858,linglongbiotitegranite,sectionb
921,200,-835,linglongbiotitegranite,sectionb
964,200,-796,linglongbiotitegranite,sectionb
993,200,-767,linglongbiotitegranite,sectionb
1018,200,-732,linglongbiotitegranite,sectionb
1078,200,-679,linglongbiotitegranite,sectionb
1116,200,-669,linglongbiotitegranite,sectionb
1185,200,-651,linglongbiotitegranite,sectionb
1250,200,-631,linglongbiotitegranite,sectionb
1313,200,-604,linglongbiotitegranite,sectionb
1369,200,-570,linglongbiotitegranite,sectionb
1432,200,-529,linglongbiotitegranite,sectionb
1497,200,-495,linglongbiotitegranite,sectionb
1600,200,-436,linglongbiotitegranite,sectionb
1665,200,-402,linglongbiotitegranite,sectionb
1682,200,-408,linglongbiotitegranite,sectionb
1744,200,-369,linglongbiotitegranite,sectionb
1788,200,-355,linglongbiotitegranite,sectionb
1836,200,-340,linglongbiotitegranite,sectionb
1883,200,-317,linglongbiotitegranite,sectionb
1930,200,-291,linglongbiotitegranite,sectionb
