X,Y,Z,formation,section
428,0,-1179,pyritesericitequartzalterationzone,sectiona
480,0,-1155,pyritesericitequartzalterationzone,sectiona
516,0,-1136,pyritesericitequartzalterationzone,sectiona
578,0,-1106,pyritesericitequartzalterationzone,sectiona
622,0,-1080,pyritesericitequartzalterationzone,sectiona
668,0,-1056,pyritesericitequartzalterationzone,sectiona
701,0,-1037,pyritesericitequartzalterationzone,sectiona
755,0,-999,pyritesericitequartzalterationzone,sectiona
820,0,-944,pyritesericitequartzalterationzone,sectiona
883,0,-899,pyritesericitequartzalterationzone,sectiona
933,0,-873,pyritesericitequartzalterationzone,sectiona
992,0,-846,pyritesericitequartzalterationzone,sectiona
1037,0,-803,pyritesericitequartzalterationzone,sectiona
1077,0,-764,pyritesericitequartzalterationzone,sectiona
1121,0,-733,pyritesericitequartzalterationzone,sectiona
1185,0,-684,pyritesericitequartzalterationzone,sectiona
1239,0,-648,pyritesericitequartzalterationzone,sectiona
1292,0,-617,pyritesericitequartzalterationzone,sectiona
1349,0,-585,pyritesericitequartzalterationzone,sectiona
1420,0,-543,pyritesericitequartzalterationzone,sectiona
1464,0,-517,pyritesericitequartzalterationzone,sectiona
1548,0,-469,pyritesericitequartzalterationzone,sectiona
1645,0,-415,pyritesericitequartzalterationzone,sectiona
1684,0,-393,pyritesericitequartzalterationzone,sectiona
1711,0,-375,pyritesericitequartzalterationzone,sectiona
1766,0,-347,pyritesericitequartzalterationzone,sectiona
1821,0,-322,pyritesericitequartzalterationzone,sectiona
1895,0,-281,pyritesericitequartzalterationzone,sectiona
1935,0,-253,pyritesericitequartzalterationzone,sectiona
1974,0,-238,pyritesericitequartzalterationzone,sectiona
2012,0,-226,pyritesericitequartzalterationzone,sectiona
1995,0,-248,pyritesericitequartzalterationzone,sectiona
1961,0,-273,pyritesericitequartzalterationzone,sectiona
1941,0,-292,pyritesericitequartzalterationzone,sectiona
1907,0,-299,pyritesericitequartzalterationzone,sectiona
1873,0,-321,pyritesericitequartzalterationzone,sectiona
1839,0,-352,pyritesericitequartzalterationzone,sectiona
1810,0,-368,pyritesericitequartzalterationzone,sectiona
1776,0,-385,pyritesericitequartzalterationzone,sectiona
1756,0,-407,pyritesericitequartzalterationzone,sectiona
1723,0,-425,pyritesericitequartzalterationzone,sectiona
1680,0,-437,pyritesericitequartzalterationzone,sectiona
1616,0,-466,pyritesericitequartzalterationzone,sectiona
1574,0,-480,pyritesericitequartzalterationzone,sectiona
1496,0,-515,pyritesericitequartzalterationzone,sectiona
1451,0,-545,pyritesericitequartzalterationzone,sectiona
1416,0,-566,pyritesericitequartzalterationzone,sectiona
1390,0,-584,pyritesericitequartzalterationzone,sectiona
1353,0,-614,pyritesericitequartzalterationzone,sectiona
1329,0,-639,pyritesericitequartzalterationzone,sectiona
1296,0,-659,pyritesericitequartzalterationzone,sectiona
1285,0,-667,pyritesericitequartzalterationzone,sectiona
1230,0,-703,pyritesericitequartzalterationzone,sectiona
1201,0,-721,pyritesericitequartzalterationzone,sectiona
1186,0,-746,pyritesericitequartzalterationzone,sectiona
1160,0,-759,pyritesericitequartzalterationzone,sectiona
1151,0,-770,pyritesericitequartzalterationzone,sectiona
1135,0,-789,pyritesericitequartzalterationzone,sectiona
1106,0,-816,pyritesericitequartzalterationzone,sectiona
1066,0,-840,pyritesericitequartzalterationzone,sectiona
1040,0,-852,pyritesericitequartzalterationzone,sectiona
1020,0,-870,pyritesericitequartzalterationzone,sectiona
998,0,-893,pyritesericitequartzalterationzone,sectiona
974,0,-903,pyritesericitequartzalterationzone,sectiona
952,0,-915,pyritesericitequartzalterationzone,sectiona
932,0,-937,pyritesericitequartzalterationzone,sectiona
914,0,-955,pyritesericitequartzalterationzone,sectiona
885,0,-973,pyritesericitequartzalterationzone,sectiona
842,0,-992,pyritesericitequartzalterationzone,sectiona
812,0,-1004,pyritesericitequartzalterationzone,sectiona
787,0,-1015,pyritesericitequartzalterationzone,sectiona
753,0,-1040,pyritesericitequartzalterationzone,sectiona
717,0,-1055,pyritesericitequartzalterationzone,sectiona
676,0,-1075,pyritesericitequartzalterationzone,sectiona
648,0,-1089,pyritesericitequartzalterationzone,sectiona
607,0,-1101,pyritesericitequartzalterationzone,sectiona
574,0,-1121,pyritesericitequartzalterationzone,sectiona
538,0,-1140,pyritesericitequartzalterationzone,sectiona
501,0,-1163,pyritesericitequartzalterationzone,sectiona
460,0,-1185,pyritesericitequartzalterationzone,sectiona
431,0,-1198,pyritesericitequartzalterationzone,sectiona
