X,Y,Z,formation,section
505,200,-1158,pyritesericitequartzalterationzone,sectionb
567,200,-1130,pyritesericitequartzalterationzone,sectionb
630,200,-1087,pyritesericitequartzalterationzone,sectionb
690,200,-1043,pyritesericitequartzalterationzone,sectionb
746,200,-999,pyritesericitequartzalterationzone,sectionb
811,200,-959,pyritesericitequartzalterationzone,sectionb
865,200,-927,pyritesericitequartzalterationzone,sectionb
954,200,-876,pyritesericitequartzalterationzone,sectionb
1011,200,-843,pyritesericitequartzalterationzone,sectionb
1060,200,-813,pyritesericitequartzalterationzone,sectionb
1144,200,-765,pyritesericitequartzalterationzone,sectionb
1182,200,-737,pyritesericitequartzalterationzone,sectionb
1255,200,-701,pyritesericitequartzalterationzone,sectionb
1313,200,-668,pyritesericitequartzalterationzone,sectionb
1367,200,-632,pyritesericitequartzalterationzone,sectionb
1428,200,-599,pyritesericitequartzalterationzone,sectionb
1483,200,-567,pyritesericitequartzalterationzone,sectionb
1531,200,-547,pyritesericitequartzalterationzone,sectionb
1584,200,-511,pyritesericitequartzalterationzone,sectionb
1641,200,-477,pyritesericitequartzalterationzone,sectionb
1706,200,-449,pyritesericitequartzalterationzone,sectionb
1766,200,-417,pyritesericitequartzalterationzone,sectionb
1820,200,-388,pyritesericitequartzalterationzone,sectionb
1866,200,-366,pyritesericitequartzalterationzone,sectionb
1912,200,-341,pyritesericitequartzalterationzone,sectionb
1943,200,-326,pyritesericitequartzalterationzone,sectionb
1947,200,-345,pyritesericitequartzalterationzone,sectionb
1919,200,-374,pyritesericitequartzalterationzone,sectionb
1874,200,-412,pyritesericitequartzalterationzone,sectionb
1837,200,-422,pyritesericitequartzalterationzone,sectionb
1775,200,-453,pyritesericitequartzalterationzone,sectionb
1703,200,-468,pyritesericitequartzalterationzone,sectionb
1674,200,-486,pyritesericitequartzalterationzone,sectionb
1632,200,-509,pyritesericitequartzalterationzone,sectionb
1582,200,-539,pyritesericitequartzalterationzone,sectionb
1530,200,-564,pyritesericitequartzalterationzone,sectionb
1495,200,-581,pyritesericitequartzalterationzone,sectionb
1463,200,-607,pyritesericitequartzalterationzone,sectionb
1397,200,-645,pyritesericitequartzalterationzone,sectionb
1377,200,-663,pyritesericitequartzalterationzone,sectionb
1311,200,-695,pyritesericitequartzalterationzone,sectionb
1264,200,-729,pyritesericitequartzalterationzone,sectionb
1198,200,-771,pyritesericitequartzalterationzone,sectionb
1162,200,-805,pyritesericitequartzalterationzone,sectionb
1103,200,-831,pyritesericitequartzalterationzone,sectionb
1054,200,-855,pyritesericitequartzalterationzone,sectionb
1017,200,-884,pyritesericitequartzalterationzone,sectionb
989,200,-904,pyritesericitequartzalterationzone,sectionb
954,200,-919,pyritesericitequartzalterationzone,sectionb
920,200,-934,pyritesericitequartzalterationzone,sectionb
890,200,-960,pyritesericitequartzalterationzone,sectionb
865,200,-989,pyritesericitequartzalterationzone,sectionb
796,200,-1020,pyritesericitequartzalterationzone,sectionb
765,200,-1040,pyritesericitequartzalterationzone,sectionb
739,200,-1060,pyritesericitequartzalterationzone,sectionb
717,200,-1074,pyritesericitequartzalterationzone,sectionb
684,200,-1093,pyritesericitequartzalterationzone,sectionb
638,200,-1114,pyritesericitequartzalterationzone,sectionb
608,200,-1124,pyritesericitequartzalterationzone,sectionb
559,200,-1150,pyritesericitequartzalterationzone,sectionb
518,200,-1167,pyritesericitequartzalterationzone,sectionb
