X,Y,Z,formation,section
427,0,-1291,sericitequartzalterationzone,sectiona
485,0,-1259,sericitequartzalterationzone,sectiona
540,0,-1219,sericitequartzalterationzone,sectiona
612,0,-1179,sericitequartzalterationzone,sectiona
662,0,-1151,sericitequartzalterationzone,sectiona
709,0,-1125,sericitequartzalterationzone,sectiona
783,0,-1083,sericitequartzalterationzone,sectiona
829,0,-1051,sericitequartzalterationzone,sectiona
858,0,-1027,sericitequartzalterationzone,sectiona
890,0,-1000,sericitequartzalterationzone,sectiona
932,0,-968,sericitequartzalterationzone,sectiona
964,0,-947,sericitequartzalterationzone,sectiona
1021,0,-918,sericitequartzalterationzone,sectiona
1058,0,-886,sericitequartzalterationzone,sectiona
1097,0,-858,sericitequartzalterationzone,sectiona
1143,0,-822,sericitequartzalterationzone,sectiona
1175,0,-800,sericitequartzalterationzone,sectiona
1205,0,-773,sericitequartzalterationzone,sectiona
1246,0,-735,sericitequartzalterationzone,sectiona
1272,0,-716,sericitequartzalterationzone,sectiona
1318,0,-682,sericitequartzalterationzone,sectiona
1379,0,-640,sericitequartzalterationzone,sectiona
1440,0,-605,sericitequartzalterationzone,sectiona
1520,0,-571,sericitequartzalterationzone,sectiona
1576,0,-538,sericitequartzalterationzone,sectiona
1619,0,-513,sericitequartzalterationzone,sectiona
1686,0,-478,sericitequartzalterationzone,sectiona
1736,0,-457,sericitequartzalterationzone,sectiona
1805,0,-423,sericitequartzalterationzone,sectiona
1847,0,-396,sericitequartzalterationzone,sectiona
1891,0,-364,sericitequartzalterationzone,sectiona
1934,0,-333,sericitequartzalterationzone,sectiona
1966,0,-312,sericitequartzalterationzone,sectiona
1993,0,-291,sericitequartzalterationzone,sectiona
2006,0,-275,sericitequartzalterationzone,sectiona
