X,Y,Z,formation,section
505,200,-1221,sericitequartzalterationzone,sectionb
574,200,-1198,sericitequartzalterationzone,sectionb
618,200,-1166,sericitequartzalterationzone,sectionb
683,200,-1141,sericitequartzalterationzone,sectionb
761,200,-1098,sericitequartzalterationzone,sectionb
810,200,-1076,sericitequartzalterationzone,sectionb
859,200,-1049,sericitequartzalterationzone,sectionb
897,200,-1026,sericitequartzalterationzone,sectionb
956,200,-986,sericitequartzalterationzone,sectionb
1006,200,-951,sericitequartzalterationzone,sectionb
1061,200,-918,sericitequartzalterationzone,sectionb
1102,200,-896,sericitequartzalterationzone,sectionb
1165,200,-861,sericitequartzalterationzone,sectionb
1209,200,-837,sericitequartzalterationzone,sectionb
1266,200,-800,sericitequartzalterationzone,sectionb
1330,200,-760,sericitequartzalterationzone,sectionb
1367,200,-730,sericitequartzalterationzone,sectionb
1421,200,-698,sericitequartzalterationzone,sectionb
1480,200,-659,sericitequartzalterationzone,sectionb
1529,200,-633,sericitequartzalterationzone,sectionb
1575,200,-603,sericitequartzalterationzone,sectionb
1618,200,-581,sericitequartzalterationzone,sectionb
1680,200,-557,sericitequartzalterationzone,sectionb
1735,200,-532,sericitequartzalterationzone,sectionb
1768,200,-510,sericitequartzalterationzone,sectionb
1811,200,-487,sericitequartzalterationzone,sectionb
1858,200,-457,sericitequartzalterationzone,sectionb
1887,200,-434,sericitequartzalterationzone,sectionb
1921,200,-416,sericitequartzalterationzone,sectionb
