X,Y,Z,formation,section
429,0,-263,topo,sectiona
455,0,-268,topo,sectiona
518,0,-263,topo,sectiona
570,0,-248,topo,sectiona
615,0,-247,topo,sectiona
677,0,-245,topo,sectiona
738,0,-255,topo,sectiona
778,0,-261,topo,sectiona
812,0,-258,topo,sectiona
872,0,-252,topo,sectiona
917,0,-242,topo,sectiona
974,0,-240,topo,sectiona
1061,0,-239,topo,sectiona
1153,0,-239,topo,sectiona
1225,0,-239,topo,sectiona
1297,0,-241,topo,sectiona
1351,0,-245,topo,sectiona
1416,0,-245,topo,sectiona
1483,0,-246,topo,sectiona
1541,0,-250,topo,sectiona
1573,0,-251,topo,sectiona
1616,0,-251,topo,sectiona
1659,0,-247,topo,sectiona
1707,0,-234,topo,sectiona
1739,0,-234,topo,sectiona
1788,0,-240,topo,sectiona
1829,0,-247,topo,sectiona
1851,0,-246,topo,sectiona
1883,0,-237,topo,sectiona
1923,0,-237,topo,sectiona
1962,0,-237,topo,sectiona
1988,0,-234,topo,sectiona
2008,0,-234,topo,sectiona
