X,Y,Z,formation,section
505,200,-247,topo,sectionb
582,200,-253,topo,sectionb
657,200,-253,topo,sectionb
748,200,-253,topo,sectionb
836,200,-251,topo,sectionb
925,200,-246,topo,sectionb
1004,200,-233,topo,sectionb
1090,200,-229,topo,sectionb
1180,200,-230,topo,sectionb
1265,200,-230,topo,sectionb
1332,200,-230,topo,sectionb
1403,200,-239,topo,sectionb
1485,200,-238,topo,sectionb
1551,200,-239,topo,sectionb
1614,200,-242,topo,sectionb
1656,200,-241,topo,sectionb
1732,200,-235,topo,sectionb
1815,200,-228,topo,sectionb
1878,200,-226,topo,sectionb
1916,200,-225,topo,sectionb
1936,200,-225,topo,sectionb
