X,Y,Z,grade_value,grade,section
307,0,-815,7.33375224086944,No. I,a
316,0,-800,7.34043369508272,No. I,a
336,0,-790,7.34012459855068,No. I,a
304,0,-820,7.33035323123419,No. I,a
339,0,-791,7.33223014401032,No. I,a
380,0,-759,7.34771604507675,No. I,a
405,0,-736,7.33776132183945,No. I,a
426,0,-716,7.3404045734265,No. I,a
400,0,-747,7.34774902170786,No. I,a
439,0,-719,7.34726259311154,No. I,a
488,0,-689,7.33475274507008,No. I,a
475,0,-688,7.33991582188818,No. I,a
453,0,-700,7.34046511497295,No. I,a
483,0,-695,7.3495368213594,No. I,a
513,0,-673,7.34343608532807,No. I,a
533,0,-651,7.33548450218556,No. I,a
577,0,-632,7.33015828026159,No. I,a
565,0,-645,7.3407371931626,No. I,a
554,0,-648,7.33518947467366,No. I,a
595,0,-612,7.3472185007554,No. I,a
633,0,-580,7.33187259475701,No. I,a
661,0,-550,7.34743525968614,No. I,a
666,0,-564,7.33629298661506,No. I,a
696,0,-538,7.34126039904041,No. I,a
687,0,-529,7.33889512530911,No. I,a
722,0,-526,7.34764035848913,No. I,a
727,0,-535,7.33067714279631,No. I,a
760,0,-500,7.33778421147081,No. I,a
790,0,-485,7.34981110863041,No. I,a
820,0,-465,7.33291023846695,No. I,a
840,0,-451,7.33505264464967,No. I,a
859,0,-437,7.34773480349621,No. I,a
879,0,-425,7.33752801606997,No. I,a
886,0,-418,7.34247006425625,No. I,a
840,0,-441,7.33525856628851,No. I,a
805,0,-465,7.34587843858719,No. I,a
787,0,-481,7.33986724119069,No. I,a
1105,0,-263,7.33605591766342,No. I,a
1145,0,-242,7.33575318845735,No. I,a
1163,0,-230,7.3402644268409,No. I,a
1197,0,-216,7.33484832949317,No. I,a
1243,0,-191,7.34693755245999,No. I,a
1283,0,-169,7.33977366245223,No. I,a
1291,0,-179,7.34570213186778,No. I,a
1307,0,-158,7.3375017025899,No. I,a
1338,0,-164,7.33947848002413,No. I,a
1315,0,-169,7.33995686899494,No. I,a
1342,0,-135,7.34265218200855,No. I,a
1347,0,-148,7.34822746789243,No. I,a
1389,0,-127,7.33661667630105,No. I,a
1368,0,-133,7.34568962489562,No. I,a
1392,0,-106,7.33671434527591,No. I,a
1406,0,-114,7.33408160332758,No. I,a
1423,0,-92,7.33132104906999,No. I,a
1448,0,-78,7.33343574348469,No. I,a
1484,0,-65,7.341828538736,No. I,a
1507,0,-53,7.33131083687189,No. I,a
1533,0,-46,7.33825753080987,No. I,a
1513,0,-56,7.33762820915702,No. I,a
1533,0,-30,7.34809470223508,No. I,a
1564,0,-25,7.33759285667463,No. I,a
520,0,-735,8.75410596452126,No. II,a
550,0,-719,8.75080183061945,No. II,a
570,0,-702,8.77794186887101,No. II,a
558,0,-713,8.74102422103155,No. II,a
604,0,-692,8.72425913848925,No. II,a
616,0,-681,8.78086303363652,No. II,a
635,0,-666,8.70817754412032,No. II,a
667,0,-642,8.71188323165644,No. II,a
668,0,-654,8.74808213698843,No. II,a
686,0,-640,8.72123530106618,No. II,a
