X,Y,Z,formation
95,0,-1116,Equigranular Monzonite
100,0,-1087,Equigranular Monzonite
114,0,-1056,Equigranular Monzonite
132,0,-1020,Equigranular Monzonite
143,0,-988,Equigranular Monzonite
156,0,-954,Equigranular Monzonite
167,0,-924,Equigranular Monzonite
184,0,-884,Equigranular Monzonite
196,0,-843,Equigranular Monzonite
206,0,-796,Equigranular Monzonite
225,0,-751,Equigranular Monzonite
243,0,-707,Equigranular Monzonite
265,0,-687,Equigranular Monzonite
293,0,-673,Equigranular Monzonite
310,0,-674,Equigranular Monzonite
312,0,-661,Equigranular Monzonite
311,0,-634,Equigranular Monzonite
326,0,-608,Equigranular Monzonite
351,0,-606,Equigranular Monzonite
351,0,-587,Equigranular Monzonite
357,0,-562,Equigranular Monzonite
376,0,-555,Equigranular Monzonite
403,0,-552,Equigranular Monzonite
425,0,-542,Equigranular Monzonite
446,0,-521,Equigranular Monzonite
461,0,-489,Equigranular Monzonite
475,0,-457,Equigranular Monzonite
485,0,-436,Equigranular Monzonite
493,0,-418,Equigranular Monzonite
503,0,-399,Equigranular Monzonite
518,0,-396,Equigranular Monzonite
512,0,-371,Equigranular Monzonite
514,0,-351,Equigranular Monzonite
525,0,-347,Equigranular Monzonite
536,0,-338,Equigranular Monzonite
547,0,-327,Equigranular Monzonite
556,0,-324,Equigranular Monzonite
566,0,-312,Equigranular Monzonite
571,0,-299,Equigranular Monzonite
582,0,-283,Equigranular Monzonite
590,0,-265,Equigranular Monzonite
609,0,-249,Equigranular Monzonite
614,0,-228,Equigranular Monzonite
607,0,-213,Equigranular Monzonite
605,0,-196,Equigranular Monzonite
607,0,-190,Equigranular Monzonite
602,0,-171,Equigranular Monzonite
586,0,-166,Equigranular Monzonite
600,0,-148,Equigranular Monzonite
619,0,-143,Equigranular Monzonite
632,0,-127,Equigranular Monzonite
636,0,-106,Equigranular Monzonite
632,0,-92,Equigranular Monzonite
646,0,-79,Equigranular Monzonite
677,0,-79,Equigranular Monzonite
693,0,-58,Equigranular Monzonite
739,0,-37,Equigranular Monzonite
800,0,-20,Equigranular Monzonite
907,0,0,Equigranular Monzonite
1038,0,-2,Equigranular Monzonite
1143,0,-17,Equigranular Monzonite
1218,0,-39,Equigranular Monzonite
1273,0,-64,Equigranular Monzonite
1314,0,-88,Equigranular Monzonite
1314,0,-107,Equigranular Monzonite
1308,0,-124,Equigranular Monzonite
1282,0,-141,Equigranular Monzonite
1276,0,-165,Equigranular Monzonite
1297,0,-166,Equigranular Monzonite
1315,0,-174,Equigranular Monzonite
1297,0,-199,Equigranular Monzonite
1294,0,-219,Equigranular Monzonite
1294,0,-240,Equigranular Monzonite
1285,0,-251,Equigranular Monzonite
1285,0,-278,Equigranular Monzonite
1273,0,-302,Equigranular Monzonite
1260,0,-326,Equigranular Monzonite
1257,0,-350,Equigranular Monzonite
1243,0,-374,Equigranular Monzonite
1243,0,-374,Equigranular Monzonite
1219,0,-397,Equigranular Monzonite
1207,0,-410,Equigranular Monzonite
1216,0,-432,Equigranular Monzonite
1221,0,-457,Equigranular Monzonite
1238,0,-483,Equigranular Monzonite
1260,0,-501,Equigranular Monzonite
1270,0,-516,Equigranular Monzonite
1257,0,-547,Equigranular Monzonite
1215,0,-566,Equigranular Monzonite
1171,0,-573,Equigranular Monzonite
1119,0,-585,Equigranular Monzonite
1092,0,-601,Equigranular Monzonite
1071,0,-617,Equigranular Monzonite
1047,0,-641,Equigranular Monzonite
1037,0,-654,Equigranular Monzonite
1055,0,-675,Equigranular Monzonite
1094,0,-677,Equigranular Monzonite
1108,0,-704,Equigranular Monzonite
1113,0,-732,Equigranular Monzonite
1124,0,-780,Equigranular Monzonite
1112,0,-821,Equigranular Monzonite
1094,0,-857,Equigranular Monzonite
1077,0,-891,Equigranular Monzonite
1057,0,-934,Equigranular Monzonite
1045,0,-958,Equigranular Monzonite
1030,0,-1007,Equigranular Monzonite
