X,Y,Z,formation
463.14,970,-78.33,Premine topo
373.5,510,-100.71,Premine topo
253.98,410,-100.71,Premine topo
1329.66,230,-100.71,Premine topo
911.34,830,-123.09,Premine topo
911.34,850,-123.09,Premine topo
1479.06,570,-145.47,Premine topo
971.1,70,-78.33,Premine topo
672.3,670,-100.71,Premine topo
1449.18,750,-167.85,Premine topo
74.7,810,-33.57,Premine topo
1389.42,110,-78.33,Premine topo
732.06,470,-100.71,Premine topo
642.42,370,-78.33,Premine topo
1389.42,270,-100.71,Premine topo
164.34,350,-78.33,Premine topo
1389.42,990,-190.23,Premine topo
1120.5,970,-145.47,Premine topo
791.82,50,-55.95,Premine topo
761.94,750,-100.71,Premine topo
612.54,610,-100.71,Premine topo
702.18,570,-100.71,Premine topo
791.82,810,-100.71,Premine topo
313.74,470,-100.71,Premine topo
14.94,610,-33.57,Premine topo
104.58,150,-100.71,Premine topo
1210.14,170,-100.71,Premine topo
1449.18,330,-100.71,Premine topo
791.82,970,-123.09,Premine topo
971.1,270,-100.71,Premine topo
612.54,350,-78.33,Premine topo
1479.06,210,-78.33,Premine topo
911.34,470,-100.71,Premine topo
732.06,510,-100.71,Premine topo
44.82,110,-78.33,Premine topo
343.62,470,-100.71,Premine topo
851.58,910,-123.09,Premine topo
493.02,830,-78.33,Premine topo
74.7,430,-55.95,Premine topo
1389.42,450,-123.09,Premine topo
1000.98,130,-100.71,Premine topo
313.74,950,-55.95,Premine topo
1449.18,850,-167.85,Premine topo
971.1,670,-123.09,Premine topo
104.58,890,-33.57,Premine topo
1150.38,890,-145.47,Premine topo
791.82,890,-123.09,Premine topo
612.54,270,-78.33,Premine topo
1359.54,470,-123.09,Premine topo
732.06,810,-100.71,Premine topo
463.14,970,-1107.81,Equigranular Monzonite
373.5,510,-861.63,Equigranular Monzonite
253.98,410,-951.15,Equigranular Monzonite
1329.66,230,-1107.81,Equigranular Monzonite
911.34,830,-1107.81,Equigranular Monzonite
911.34,850,-1107.81,Equigranular Monzonite
1479.06,570,-1107.81,Equigranular Monzonite
672.3,670,-906.39,Equigranular Monzonite
1449.18,750,-1107.81,Equigranular Monzonite
74.7,810,-1107.81,Equigranular Monzonite
1389.42,110,-1107.81,Equigranular Monzonite
732.06,470,-414.03,Equigranular Monzonite
642.42,370,-346.89,Equigranular Monzonite
1389.42,270,-1107.81,Equigranular Monzonite
164.34,350,-1107.81,Equigranular Monzonite
1389.42,990,-1107.81,Equigranular Monzonite
1120.5,970,-1107.81,Equigranular Monzonite
761.94,750,-1107.81,Equigranular Monzonite
612.54,610,-772.11,Equigranular Monzonite
702.18,570,-637.83,Equigranular Monzonite
791.82,810,-1107.81,Equigranular Monzonite
313.74,470,-906.39,Equigranular Monzonite
14.94,610,-1107.81,Equigranular Monzonite
104.58,150,-1107.81,Equigranular Monzonite
1210.14,170,-1107.81,Equigranular Monzonite
1449.18,330,-1107.81,Equigranular Monzonite
791.82,970,-1107.81,Equigranular Monzonite
612.54,350,-369.27,Equigranular Monzonite
1479.06,210,-1107.81,Equigranular Monzonite
911.34,470,-369.27,Equigranular Monzonite
732.06,510,-481.17,Equigranular Monzonite
44.82,110,-1107.81,Equigranular Monzonite
343.62,470,-861.63,Equigranular Monzonite
851.58,910,-1107.81,Equigranular Monzonite
493.02,830,-1107.81,Equigranular Monzonite
74.7,430,-1107.81,Equigranular Monzonite
1389.42,450,-1107.81,Equigranular Monzonite
313.74,950,-1107.81,Equigranular Monzonite
1449.18,850,-1107.81,Equigranular Monzonite
971.1,670,-1107.81,Equigranular Monzonite
104.58,890,-1107.81,Equigranular Monzonite
1150.38,890,-1107.81,Equigranular Monzonite
791.82,890,-1107.81,Equigranular Monzonite
612.54,270,-302.13,Equigranular Monzonite
1359.54,470,-1107.81,Equigranular Monzonite
732.06,810,-1107.81,Equigranular Monzonite
373.5,510,-884.01,Quartz monzonite porphyry
253.98,410,-973.53,Quartz monzonite porphyry
971.1,70,-100.71,Quartz monzonite porphyry
672.3,670,-928.77,Quartz monzonite porphyry
732.06,470,-436.41,Quartz monzonite porphyry
642.42,370,-369.27,Quartz monzonite porphyry
791.82,50,-302.13,Quartz monzonite porphyry
612.54,610,-794.49,Quartz monzonite porphyry
702.18,570,-660.21,Quartz monzonite porphyry
313.74,470,-928.77,Quartz monzonite porphyry
1210.14,170,-123.09,Quartz monzonite porphyry
971.1,270,-123.09,Quartz monzonite porphyry
612.54,350,-391.65,Quartz monzonite porphyry
911.34,470,-391.65,Quartz monzonite porphyry
732.06,510,-503.55,Quartz monzonite porphyry
343.62,470,-884.01,Quartz monzonite porphyry
1000.98,130,-123.09,Quartz monzonite porphyry
612.54,270,-324.51,Quartz monzonite porphyry
