X,Y,Z,dip,azimuth,polarity,formation
95,0,-1119,90,90,1,Equigranular Monzonite
143,0,-991,110,90,1,Equigranular Monzonite
196,0,-846,110,90,1,Equigranular Monzonite
293,0,-676,140,90,1,Equigranular Monzonite
311,0,-637,115,90,1,Equigranular Monzonite
351,0,-590,115,90,1,Equigranular Monzonite
425,0,-545,110,90,1,Equigranular Monzonite
475,0,-460,110,90,1,Equigranular Monzonite
518,0,-399,110,90,1,Equigranular Monzonite
536,0,-341,110,90,1,Equigranular Monzonite
571,0,-302,110,90,1,Equigranular Monzonite
607,0,-216,110,90,1,Equigranular Monzonite
586,0,-169,110,90,1,Equigranular Monzonite
632,0,-95,100,90,1,Equigranular Monzonite
739,0,-40,140,90,1,Equigranular Monzonite
1273,0,-67,-120,90,1,Equigranular Monzonite
1308,0,-127,-110,90,1,Equigranular Monzonite
1294,0,-222,-90,90,1,Equigranular Monzonite
1260,0,-329,-100,90,1,Equigranular Monzonite
1216,0,-435,-80,90,1,Equigranular Monzonite
1257,0,-550,-60,90,1,Equigranular Monzonite
1092,0,-604,-60,90,1,Equigranular Monzonite
1037,0,-657,-90,90,1,Equigranular Monzonite
1108,0,-707,-80,90,1,Equigranular Monzonite
1094,0,-860,-90,90,1,Equigranular Monzonite
1045,0,-961,-90,90,1,Equigranular Monzonite
1026,0,-1118,-90,90,1,Equigranular Monzonite
237,0,-1087,90,90,1,Quartz monzonite porphyry
248,0,-968,100,90,1,Quartz monzonite porphyry
249,0,-839,90,90,1,Quartz monzonite porphyry
330,0,-678,100,90,1,Quartz monzonite porphyry
377,0,-603,120,90,1,Quartz monzonite porphyry
388,0,-567,130,90,1,Quartz monzonite porphyry
442,0,-530,160,90,1,Quartz monzonite porphyry
503,0,-501,130,90,1,Quartz monzonite porphyry
527,0,-419,120,90,1,Quartz monzonite porphyry
539,0,-360,110,90,1,Quartz monzonite porphyry
598,0,-301,100,90,1,Quartz monzonite porphyry
626,0,-232,90,90,1,Quartz monzonite porphyry
634,0,-153,90,90,1,Quartz monzonite porphyry
678,0,-83,110,90,1,Quartz monzonite porphyry
856,0,-57,-80,90,1,Quartz monzonite porphyry
827,0,-232,-90,90,1,Quartz monzonite porphyry
703,0,-420,-45,90,1,Quartz monzonite porphyry
629,0,-589,-90,90,1,Quartz monzonite porphyry
530,0,-792,-85,90,1,Quartz monzonite porphyry
464,0,-897,-80,90,1,Quartz monzonite porphyry
430,0,-1039,-90,90,1,Quartz monzonite porphyry
431,0,-1114,-90,90,1,Quartz monzonite porphyry
0,0,-94,20,90,1,Premine topo
66,0,-119,20,90,1,Premine topo
110,0,-109,-20,90,1,Premine topo
141,0,-93,20,90,1,Premine topo
178,0,-122,20,90,1,Premine topo
268,0,-159,20,90,1,Premine topo
334,0,-195,0,90,1,Premine topo
421,0,-129,-30,90,1,Premine topo
454,0,-115,-10,90,1,Premine topo
561,0,-71,-10,90,1,Premine topo
659,0,-81,10,90,1,Premine topo
747,0,-87,5,90,1,Premine topo
807,0,-63,0,90,1,Premine topo
882,0,-75,5,90,1,Premine topo
979,0,-102,5,90,1,Premine topo
1119,0,-98,-5,90,1,Premine topo
1256,0,-94,0,90,1,Premine topo
1350,0,-94,-20,90,1,Premine topo
1414,0,-60,-30,90,1,Premine topo
1494,0,-63,10,90,1,Premine topo
