,X,Y,Z,grade,borehole
0,463.14,370.0,-1107.81,0.1374326092014375,1.0
15,463.14,370.0,-772.1099999999999,0.1418584596494409,1.0
30,612.5400000000001,30.0,-951.15,0.12929554146422625,2.0
45,612.5400000000001,30.0,-615.45,0.13244143691434546,2.0
60,612.5400000000001,30.0,-279.75,0.11626160889364388,2.0
75,343.62,30.0,-816.8699999999999,0.12661080056410684,3.0
90,732.0600000000001,290.0,-995.91,0.1361864133987394,4.0
105,732.0600000000001,290.0,-660.21,0.1584560722550003,4.0
120,732.0600000000001,290.0,-324.51,0.18191023634239803,4.0
135,1030.86,190.0,-794.49,0.13591546693656884,5.0
150,1030.86,190.0,-458.78999999999996,0.14694258775814523,5.0
165,1030.86,190.0,-123.09000000000003,0.13792626263715038,5.0
180,493.02,250.0,-794.49,0.13831162550336207,6.0
195,493.02,250.0,-458.78999999999996,0.18943854537324703,6.0
210,851.58,190.0,-794.49,0.13434976319532738,7.0
225,851.58,190.0,-458.78999999999996,0.19396859985911433,7.0
240,851.58,190.0,-123.09000000000003,0.13460447885586985,7.0
255,761.94,450.0,-816.8699999999999,0.14167661712439963,8.0
270,761.94,450.0,-481.16999999999996,0.15856745155356564,8.0
285,403.38,170.0,-906.39,0.13199433097490626,9.0
300,791.82,310.0,-1107.81,0.13710262190031253,10.0
315,791.82,310.0,-772.1099999999999,0.14183305614755523,10.0
330,791.82,310.0,-436.40999999999997,0.18311447381346663,10.0
345,761.94,150.0,-1040.6699999999998,0.13414479462837928,11.0
360,761.94,150.0,-704.97,0.13872564997908549,11.0
375,761.94,150.0,-369.27,0.2586578475061148,11.0
390,881.46,130.0,-1085.4299999999998,0.13548993182557045,12.0
405,881.46,130.0,-749.73,0.13143272863693342,12.0
420,881.46,130.0,-414.03,0.1937260324099546,12.0
435,1000.98,230.0,-1107.81,0.13726370173263805,13.0
450,1000.98,230.0,-772.1099999999999,0.136947274030869,13.0
465,1000.98,230.0,-436.40999999999997,0.15084416418787525,13.0
480,522.9,90.0,-1107.81,0.13427859600673908,14.0
495,522.9,90.0,-772.1099999999999,0.1278422788896274,14.0
510,522.9,90.0,-436.40999999999997,0.2976853140023214,14.0
525,403.38,310.0,-861.63,0.13675704352479903,15.0
540,552.7800000000001,190.0,-995.91,0.13352563212169163,16.0
555,552.7800000000001,190.0,-660.21,0.16361910107826208,16.0
570,373.5,250.0,-1107.81,0.13630063148608332,17.0
585,373.5,250.0,-772.1099999999999,0.13638302403313116,17.0
600,642.4200000000001,290.0,-884.01,0.13711164461032424,18.0
615,642.4200000000001,290.0,-548.31,0.19500501480549803,18.0
630,911.34,410.0,-1040.6699999999998,0.13819267398478427,19.0
645,911.34,410.0,-704.97,0.14349502557481494,19.0
660,911.34,410.0,-369.27,0.15188775186593106,19.0
675,791.82,350.0,-906.39,0.13806649104341953,20.0
690,791.82,350.0,-570.6899999999999,0.16351645961654407,20.0
705,791.82,350.0,-234.99,0.15237507594110447,20.0
720,881.46,430.0,-816.8699999999999,0.1405480761106015,21.0
735,881.46,430.0,-481.16999999999996,0.1532464592708901,21.0
750,911.34,450.0,-995.91,0.13860938078487797,22.0
765,911.34,450.0,-660.21,0.14484407927466406,22.0
780,911.34,450.0,-324.51,0.14847402546881014,22.0
795,702.1800000000001,10.0,-794.49,0.1258043808221609,23.0
810,702.1800000000001,10.0,-458.78999999999996,0.7678507278248996,23.0
825,702.1800000000001,10.0,-123.09000000000003,0.10333886493679013,23.0
840,881.46,170.0,-816.8699999999999,0.1331600622712309,24.0
855,881.46,170.0,-481.16999999999996,0.1790029005822347,24.0
870,881.46,170.0,-145.47000000000003,0.13604723401226163,24.0
885,493.02,50.0,-839.25,0.12548375565699754,25.0
900,493.02,50.0,-503.54999999999995,0.28721241305619033,25.0
915,851.58,10.0,-884.01,0.12946800994456223,26.0
930,851.58,10.0,-548.31,0.13546684076171375,26.0
945,851.58,10.0,-212.61,0.13349936743461693,26.0
960,1090.6200000000001,250.0,-481.16999999999996,0.14333411183403255,27.0
975,1090.6200000000001,250.0,-145.47000000000003,0.1393164635629809,27.0
