,X,Y,Z,grade,borehole
0,1240.02,370.0,-1107.81,0.4744845002830114,1.0
10,1240.02,370.0,-884.01,0.47003783913623476,1.0
20,1240.02,370.0,-660.21,0.4678459231034479,1.0
30,1240.02,370.0,-436.40999999999997,0.47035514482631885,1.0
40,1240.02,370.0,-212.61,0.4728005389083635,1.0
50,373.5,490.0,-995.91,0.4776875564238789,2.0
60,373.5,490.0,-772.1099999999999,0.47842048437146356,2.0
70,373.5,490.0,-548.31,0.4856647492713576,2.0
80,373.5,490.0,-324.51,0.4978238775398852,2.0
90,552.7800000000001,910.0,-1040.6699999999998,0.48195776556721964,3.0
100,552.7800000000001,910.0,-816.8699999999999,0.48256948436126257,3.0
110,552.7800000000001,910.0,-593.0699999999999,0.4838474345967217,3.0
120,552.7800000000001,910.0,-369.27,0.4852857573472433,3.0
130,552.7800000000001,910.0,-145.47000000000003,0.4857698046192069,3.0
140,44.82,850.0,-928.77,0.4819249946304074,4.0
150,44.82,850.0,-704.97,0.48203715718210915,4.0
160,44.82,850.0,-481.16999999999996,0.48224959970383613,4.0
170,44.82,850.0,-257.37,0.48224775135435616,4.0
180,612.5400000000001,90.0,-1018.29,0.4521646025355022,5.0
190,612.5400000000001,90.0,-794.49,0.4536955080201473,5.0
200,612.5400000000001,90.0,-570.6899999999999,0.4460538436278294,5.0
210,612.5400000000001,90.0,-346.89,0.6049754758898742,5.0
220,612.5400000000001,90.0,-123.09000000000003,0.7956275644257861,5.0
230,134.46,330.0,-928.77,0.4766025407584186,6.0
240,134.46,330.0,-704.97,0.4766704953708278,6.0
250,134.46,330.0,-481.16999999999996,0.4827194889415585,6.0
260,134.46,330.0,-257.37,0.47708820072100433,6.0
270,403.38,390.0,-1018.29,0.47475352034750146,7.0
280,403.38,390.0,-794.49,0.47385902288549275,7.0
290,403.38,390.0,-570.6899999999999,0.4828707035223426,7.0
300,403.38,390.0,-346.89,0.5090253659053695,7.0
310,403.38,390.0,-123.09000000000003,0.5116191812838169,7.0
320,582.6600000000001,470.0,-906.39,0.477845946996517,8.0
330,582.6600000000001,470.0,-682.5899999999999,0.4846972949127317,8.0
340,582.6600000000001,470.0,-458.78999999999996,0.5019911401359543,8.0
