X,Y,Z,grade_value,grade
872,0,-542,0.1433755250620406,0.3%Au
841,0,-594,0.1411125916131747,0.3%Au
854,0,-535,0.140677162032208,0.3%Au
856,0,-580,0.1424901312762971,0.3%Au
797,0,-618,0.14450780660797474,0.3%Au
807,0,-659,0.1441338227628511,0.3%Au
779,0,-672,0.14505667723572324,0.3%Au
790,0,-635,0.14116253216068403,0.3%Au
824,0,-675,0.1418358740877987,0.3%Au
765,0,-710,0.14168875873151973,0.3%Au
766,0,-746,0.14266502774900894,0.3%Au
822,0,-739,0.14473009437225903,0.3%Au
972,0,-681,0.14606982977375868,0.3%Au
964,0,-691,0.1459530305520341,0.3%Au
1012,0,-696,0.1488698165934668,0.3%Au
1054,0,-698,0.14217698103434467,0.3%Au
1046,0,-725,0.14344859306327037,0.3%Au
1010,0,-714,0.14693859434331102,0.3%Au
1057,0,-763,0.14694461850871285,0.3%Au
1045,0,-797,0.14446204625611117,0.3%Au
1065,0,-738,0.14688286189525915,0.3%Au
1111,0,-688,0.14879797656664012,0.3%Au
1140,0,-678,0.14974315273106192,0.3%Au
1162,0,-644,0.147232042894365,0.3%Au
1181,0,-670,0.14118803130933227,0.3%Au
1233,0,-681,0.1453353814615717,0.3%Au
1241,0,-703,0.14428840762057313,0.3%Au
1274,0,-670,0.1469410594486829,0.3%Au
1222,0,-632,0.1469721881466594,0.3%Au
1264,0,-603,0.14342594501424005,0.3%Au
1271,0,-640,0.1462231258918962,0.3%Au
1322,0,-638,0.14382441131912607,0.3%Au
1355,0,-637,0.14841030179003178,0.3%Au
1317,0,-581,0.14994556758253927,0.3%Au
1263,0,-581,0.14706691570356895,0.3%Au
1288,0,-540,0.14714580648798115,0.3%Au
1266,0,-529,0.14469704684332696,0.3%Au
1302,0,-507,0.14338143964013156,0.3%Au
1285,0,-485,0.14373430770629234,0.3%Au
1247,0,-507,0.14885325272179412,0.3%Au
1285,0,-459,0.14083815144860856,0.3%Au
1342,0,-448,0.1485715808447425,0.3%Au
1346,0,-490,0.14354962320552422,0.3%Au
1317,0,-531,0.14686234455298158,0.3%Au
1363,0,-539,0.14350636960925384,0.3%Au
1399,0,-545,0.14221568328503056,0.3%Au
1384,0,-592,0.1417028797102038,0.3%Au
1340,0,-573,0.1497558765999852,0.3%Au
1341,0,-630,0.14293305174905568,0.3%Au
1261,0,-699,0.14353710407978118,0.3%Au
1321,0,-535,0.14071071654119607,0.3%Au
1261,0,-518,0.14302723002160192,0.3%Au
1285,0,-488,0.14867480797299962,0.3%Au
1310,0,-458,0.14137946615179656,0.3%Au
1236,0,-428,0.14477426852626424,0.3%Au
1194,0,-467,0.14635385715040558,0.3%Au
1232,0,-485,0.1430294400991317,0.3%Au
1266,0,-444,0.14678086229255877,0.3%Au
1320,0,-439,0.14339335928913927,0.3%Au
1219,0,-418,0.14550079177226957,0.3%Au
1188,0,-458,0.14021053767480848,0.3%Au
1220,0,-475,0.1431411372903068,0.3%Au
1163,0,-467,0.14709749384605642,0.3%Au
1127,0,-444,0.14102405380658387,0.3%Au
1160,0,-417,0.14112179849307954,0.3%Au
1094,0,-417,0.14559220070758455,0.3%Au
1169,0,-413,0.1426809167195521,0.3%Au
1125,0,-406,0.141803542240111,0.3%Au
1082,0,-409,0.14880856443500629,0.3%Au
1013,0,-434,0.14975610961614896,0.3%Au
1052,0,-426,0.1415796651118095,0.3%Au
1015,0,-457,0.1467283191763662,0.3%Au
1001,0,-447,0.14695730872896845,0.3%Au
966,0,-468,0.1443886234511211,0.3%Au
968,0,-460,0.14730154792774042,0.3%Au
955,0,-485,0.14244825773325231,0.3%Au
935,0,-476,0.1499792117356656,0.3%Au
911,0,-510,0.14880884844988948,0.3%Au
953,0,-490,0.1484045042581107,0.3%Au
897,0,-502,0.14393780401996772,0.3%Au
861,0,-535,0.14034318986843322,0.3%Au
882,0,-534,0.14182832229868447,0.3%Au
877,0,-519,0.14043204688945096,0.3%Au
849,0,-590,0.14275844068567536,0.3%Au
864,0,-559,0.14102575284208388,0.3%Au
839,0,-586,0.14350732809264477,0.3%Au
869,0,-598,0.147790768269598,0.3%Au
824,0,-617,0.14913542863305457,0.3%Au
805,0,-624,0.14049849605130935,0.3%Au
783,0,-672,0.14901051299236734,0.3%Au
813,0,-647,0.14449264723680869,0.3%Au
778,0,-641,0.14400643360097182,0.3%Au
817,0,-674,0.14995129230783943,0.3%Au
788,0,-707,0.1435873354202012,0.3%Au
768,0,-712,0.14688839570465012,0.3%Au
770,0,-748,0.14278486238683427,0.3%Au
830,0,-735,0.14413310418972827,0.3%Au
