X,Y,Z,grade_value,grade
894,0,-618,0.941546777206071,1%Au
936,0,-589,0.9422445361573064,1%Au
934,0,-628,0.9140241480536919,1%Au
977,0,-641,0.9509408293566542,1%Au
1015,0,-590,0.914653201815788,1%Au
1036,0,-564,0.9293553462502258,1%Au
1076,0,-544,0.9579259487318869,1%Au
1071,0,-584,0.9904344250430248,1%Au
1034,0,-633,0.9499318781855258,1%Au
1063,0,-590,0.9025109559962559,1%Au
1050,0,-534,0.9258718137187146,1%Au
1011,0,-596,0.9513392593728053,1%Au
1054,0,-569,0.9319037595239948,1%Au
1007,0,-558,0.9764667169052492,1%Au
942,0,-589,0.9754323715897886,1%Au
887,0,-622,0.9269320685420412,1%Au
940,0,-627,0.9113331007480642,1%Au
951,0,-645,0.9813227309615387,1%Au
964,0,-649,0.9753249089727626,1%Au
1030,0,-632,0.9343222995123653,1%Au
