X,Y,Z,grade_value,grade
1356,0,-594,0.0,grade1inside
1366,0,-602,0.0,grade1inside
1369,0,-625,0.0,grade1inside
1364,0,-646,0.0,grade1inside
1360,0,-663,0.0,grade1inside
1363,0,-682,0.0,grade1inside
1348,0,-682,0.0,grade1inside
1324,0,-682,0.0,grade1inside
1313,0,-683,0.0,grade1inside
1302,0,-677,0.0,grade1inside
1320,0,-665,0.0,grade1inside
1330,0,-645,0.0,grade1inside
1317,0,-671,0.0,grade1inside
1341,0,-673,0.0,grade1inside
1349,0,-649,0.0,grade1inside
1344,0,-647,0.0,grade1inside
1348,0,-629,0.0,grade1inside
1353,0,-612,0.0,grade1inside
1359,0,-611,0.0,grade1inside
1357,0,-599,0.0,grade1inside
1345,0,-613,0.0,grade1inside
1355,0,-633,0.0,grade1inside
