X,Y,Z,grade_value,grade
994,0,-642,0.0,grade1inside
1022,0,-617,0.0,grade1inside
990,0,-579,0.0,grade1inside
978,0,-521,0.0,grade1inside
1000,0,-456,0.0,grade1inside
1027,0,-512,0.0,grade1inside
1068,0,-563,0.0,grade1inside
1042,0,-586,0.0,grade1inside
1127,0,-560,0.0,grade1inside
1196,0,-550,0.0,grade1inside
1135,0,-522,0.0,grade1inside
1138,0,-492,0.0,grade1inside
1063,0,-485,0.0,grade1inside
1058,0,-422,0.0,grade1inside
1097,0,-404,0.0,grade1inside
1068,0,-432,0.0,grade1inside
1110,0,-444,0.0,grade1inside
1173,0,-424,0.0,grade1inside
1159,0,-386,0.0,grade1inside
1143,0,-441,0.0,grade1inside
1207,0,-443,0.0,grade1inside
1246,0,-398,0.0,grade1inside
1237,0,-449,0.0,grade1inside
1230,0,-494,0.0,grade1inside
1269,0,-454,0.0,grade1inside
1320,0,-423,0.0,grade1inside
1290,0,-398,0.0,grade1inside
