X,Y,Z,grade_value,grade
631,0,-811,0.0,grade2boundary
650,0,-764,0.0,grade2boundary
675,0,-739,0.0,grade2boundary
697,0,-699,0.0,grade2boundary
742,0,-657,0.0,grade2boundary
786,0,-619,0.0,grade2boundary
816,0,-573,0.0,grade2boundary
849,0,-526,0.0,grade2boundary
875,0,-491,0.0,grade2boundary
929,0,-448,0.0,grade2boundary
951,0,-414,0.0,grade2boundary
987,0,-380,0.0,grade2boundary
1037,0,-375,0.0,grade2boundary
1070,0,-378,0.0,grade2boundary
1344,0,-405,0.0,grade2boundary
1380,0,-416,0.0,grade2boundary
1403,0,-446,0.0,grade2boundary
1387,0,-479,0.0,grade2boundary
1415,0,-529,0.0,grade2boundary
1462,0,-602,0.0,grade2boundary
1488,0,-674,0.0,grade2boundary
1487,0,-724,0.0,grade2boundary
1483,0,-776,0.0,grade2boundary
1486,0,-834,0.0,grade2boundary
1470,0,-858,0.0,grade2boundary
1428,0,-873,0.0,grade2boundary
1383,0,-903,0.0,grade2boundary
1357,0,-935,0.0,grade2boundary
1342,0,-988,0.0,grade2boundary
1348,0,-1034,0.0,grade2boundary
1360,0,-1080,0.0,grade2boundary
1351,0,-1108,0.0,grade2boundary
1319,0,-1131,0.0,grade2boundary
1293,0,-1153,0.0,grade2boundary
1263,0,-1183,0.0,grade2boundary
1239,0,-1163,0.0,grade2boundary
1239,0,-1084,0.0,grade2boundary
1239,0,-1028,0.0,grade2boundary
1249,0,-980,0.0,grade2boundary
1268,0,-942,0.0,grade2boundary
1260,0,-908,0.0,grade2boundary
1238,0,-866,0.0,grade2boundary
1232,0,-835,0.0,grade2boundary
1242,0,-781,0.0,grade2boundary
1234,0,-733,0.0,grade2boundary
1213,0,-697,0.0,grade2boundary
1180,0,-689,0.0,grade2boundary
1143,0,-714,0.0,grade2boundary
1094,0,-703,0.0,grade2boundary
1059,0,-682,0.0,grade2boundary
1001,0,-669,0.0,grade2boundary
910,0,-683,0.0,grade2boundary
855,0,-695,0.0,grade2boundary
810,0,-729,0.0,grade2boundary
777,0,-760,0.0,grade2boundary
747,0,-796,0.0,grade2boundary
708,0,-811,0.0,grade2boundary
653,0,-821,0.0,grade2boundary
629,0,-823,0.0,grade2boundary
635,0,-799,0.0,grade2boundary
673,0,-751,0.0,grade2boundary
