X,Y,Z,dip,azimuth,polarity,formation
424,0,-1412,0,0,0,Equigranular Monzonite
472,0,-1284,0,0,0,Equigranular Monzonite
525,0,-1139,0,0,0,Equigranular Monzonite
622,0,-969,0,0,0,Equigranular Monzonite
640,0,-930,0,0,0,Equigranular Monzonite
686,0,-883,0,0,0,Equigranular Monzonite
760,0,-838,0,0,0,Equigranular Monzonite
810,0,-753,0,0,0,Equigranular Monzonite
847,0,-692,0,0,0,Equigranular Monzonite
865,0,-634,0,0,0,Equigranular Monzonite
900,0,-595,0,0,0,Equigranular Monzonite
936,0,-509,0,0,0,Equigranular Monzonite
915,0,-462,0,0,0,Equigranular Monzonite
961,0,-388,0,0,0,Equigranular Monzonite
1068,0,-333,0,0,0,Equigranular Monzonite
1602,0,-360,0,0,0,Equigranular Monzonite
1637,0,-420,0,0,0,Equigranular Monzonite
1623,0,-515,0,0,0,Equigranular Monzonite
1589,0,-622,0,0,0,Equigranular Monzonite
1545,0,-728,0,0,0,Equigranular Monzonite
1586,0,-843,0,0,0,Equigranular Monzonite
1421,0,-897,0,0,0,Equigranular Monzonite
1366,0,-950,0,0,0,Equigranular Monzonite
1437,0,-1000,0,0,0,Equigranular Monzonite
1423,0,-1153,0,0,0,Equigranular Monzonite
1374,0,-1254,0,0,0,Equigranular Monzonite
1355,0,-1411,0,0,0,Equigranular Monzonite
329,0,-387,0,0,0,Premine topo
395,0,-412,0,0,0,Premine topo
439,0,-402,0,0,0,Premine topo
470,0,-386,0,0,0,Premine topo
507,0,-405,0,0,0,Premine topo
597,0,-442,0,0,0,Premine topo
663,0,-488,0,0,0,Premine topo
750,0,-422,0,0,0,Premine topo
783,0,-408,0,0,0,Premine topo
890,0,-364,0,0,0,Premine topo
988,0,-374,0,0,0,Premine topo
1076,0,-380,0,0,0,Premine topo
1136,0,-356,0,0,0,Premine topo
1211,0,-368,0,0,0,Premine topo
1308,0,-395,0,0,0,Premine topo
1448,0,-391,0,0,0,Premine topo
1585,0,-387,0,0,0,Premine topo
1679,0,-387,0,0,0,Premine topo
1743,0,-353,0,0,0,Premine topo
1823,0,-356,0,0,0,Premine topo
566,0,-1380,0,0,0,Quartz monzonite porphyry
577,0,-1261,0,0,0,Quartz monzonite porphyry
578,0,-1132,0,0,0,Quartz monzonite porphyry
647,0,-971,0,0,0,Quartz monzonite porphyry
694,0,-896,0,0,0,Quartz monzonite porphyry
705,0,-860,0,0,0,Quartz monzonite porphyry
820,0,-794,0,0,0,Quartz monzonite porphyry
868,0,-653,0,0,0,Quartz monzonite porphyry
927,0,-594,0,0,0,Quartz monzonite porphyry
955,0,-525,0,0,0,Quartz monzonite porphyry
963,0,-446,0,0,0,Quartz monzonite porphyry
1007,0,-376,0,0,0,Quartz monzonite porphyry
1185,0,-350,0,0,0,Quartz monzonite porphyry
1156,0,-525,0,0,0,Quartz monzonite porphyry
1032,0,-713,0,0,0,Quartz monzonite porphyry
958,0,-882,0,0,0,Quartz monzonite porphyry
859,0,-1085,0,0,0,Quartz monzonite porphyry
793,0,-1190,0,0,0,Quartz monzonite porphyry
759,0,-1332,0,0,0,Quartz monzonite porphyry
760,0,-1407,0,0,0,Quartz monzonite porphyry
793,0,-1404,0,0,0,baserock
820,0,-1337,0,0,0,baserock
885,0,-1272,0,0,0,baserock
991,0,-1250,0,0,0,baserock
1084,0,-1279,0,0,0,baserock
1113,0,-1337,0,0,0,baserock
